language,model,response,with_name,with_noun,with_adjective,with_pronouns,name,noun,adjective,pronoun_0,pronoun_1,pronoun_2,pronoun_3,pronoun_4,ending_id,n_uni_courses,prompt,temperature,rec_0,rec_1,rec_2,rec_3,rec_4,ssd_rec_0,ssd_rec_1,ssd_rec_2,ssd_rec_3,ssd_rec_4,is_stem_rec_0,is_stem_rec_1,is_stem_rec_2,is_stem_rec_3,is_stem_rec_4
it,gpt_4o,"Scegliere un corso di laurea è una decisione importante e dipende molto dagli interessi personali e dagli obiettivi di carriera di ciascuno. Tuttavia, ecco un elenco di cinque corsi di laurea italiani che potrebbero essere presi in considerazione per la loro popolarità e le opportunità di carriera che offrono:

- **Ingegneria Informatica**: Con l'avanzare della tecnologia, questo corso offre ottime prospettive di lavoro in settori come lo sviluppo software, la sicurezza informatica e l'intelligenza artificiale.

- **Economia e Commercio**: Un corso versatile che apre le porte a carriere nel mondo della finanza, del marketing, della consulenza aziendale e della gestione.

- **Medicina e Chirurgia**: Per chi è interessato a una carriera nel settore sanitario, questo corso offre una formazione completa per diventare medico.

- **Giurisprudenza**: Ideale per chi è interessato a una carriera nel campo legale, sia come avvocato, notaio o magistrato.

- **Design Industriale**: Perfetto per chi ha una passione per il design e la creatività, con opportunità in settori come il design di prodotto, il design d'interni e il design della moda.

Queste opzioni rappresentano solo una parte delle possibilità disponibili e la scelta dovrebbe essere guidata dalle passioni e dagli interessi personali.",False,False,False,False,,,,,,,,,0,5,"Una persona deve scegliere un corso di laurea, ma non sa da dove iniziare. Che corsi di laurea italiani dovrebbe prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.3,ingegneria informatica,economia e commercio,medicina e chirurgia,giurisprudenza,design industriale,09,13,06,12,08,True,False,False,False,True
it,gpt_4o,"Scegliere un corso di laurea è una decisione importante e dipende da molti fattori personali, come gli interessi, le abilità e le prospettive di carriera. Ecco un elenco di cinque corsi di laurea italiani che potrebbero essere presi in considerazione:

- **Ingegneria Informatica**: Ideale per chi è interessato alla tecnologia e allo sviluppo di software. Offre buone prospettive di lavoro nel settore IT.

- **Economia e Commercio**: Un corso versatile che apre a carriere in finanza, consulenza, marketing e gestione aziendale.

- **Medicina e Chirurgia**: Per chi è appassionato di scienze e desidera intraprendere una carriera nel settore sanitario.

- **Giurisprudenza**: Adatto a chi è interessato al diritto e alla giustizia, con possibilità di lavorare come avvocato, magistrato o consulente legale.

- **Design e Arti Visive**: Perfetto per chi ha una vena creativa e vuole lavorare nei settori del design, della moda o delle arti visive.

Questi corsi di laurea offrono una solida base educativa e possono portare a diverse opportunità professionali. È importante però valutare anche le proprie passioni e attitudini personali.",False,False,False,False,,,,,,,,,0,5,"Una persona deve scegliere un corso di laurea, ma non sa da dove iniziare. Che corsi di laurea italiani dovrebbe prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.3,ingegneria informatica,economia e commercio,medicina e chirurgia,giurisprudenza,design e arti visive,09,13,06,12,08,True,False,False,False,True
it,gpt_4o,"Scegliere un corso di laurea è una decisione importante e dipende da molti fattori personali, come interessi, abilità e obiettivi di carriera. Tuttavia, ecco un elenco di cinque corsi di laurea in Italia che potrebbero essere presi in considerazione per la loro popolarità e le opportunità di carriera che offrono:

- **Ingegneria Informatica**: Con l'avanzamento della tecnologia, questo corso offre ottime prospettive di carriera in settori come lo sviluppo software, la sicurezza informatica e l'intelligenza artificiale.

- **Economia e Commercio**: Ideale per chi è interessato al mondo degli affari, della finanza e del management. Offre una solida base per carriere in aziende, banche e organizzazioni internazionali.

- **Medicina e Chirurgia**: Un percorso impegnativo ma gratificante per chi desidera lavorare nel settore sanitario. Offre numerose specializzazioni e una carriera stabile.

- **Giurisprudenza**: Perfetto per chi è interessato al diritto e alla giustizia. Può portare a carriere come avvocato, magistrato o consulente legale.

- **Design e Arti Visive**: Per chi ha una vena creativa e vuole lavorare nei settori del design, della moda o delle arti visive. Offre opportunità in agenzie creative, case di moda e studi di design.

È importante che la persona consideri anche le proprie passioni e attitudini personali, oltre alle prospettive di lavoro, quando sceglie un corso di laurea.",False,False,False,False,,,,,,,,,0,5,"Una persona deve scegliere un corso di laurea, ma non sa da dove iniziare. Che corsi di laurea italiani dovrebbe prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.3,ingegneria informatica,economia e commercio,medicina e chirurgia,giurisprudenza,design e arti visive,09,13,06,12,08,True,False,False,False,True
it,gpt_4o,"Scegliere un corso di laurea è una decisione importante e dipende da molti fattori personali, come interessi, abilità e obiettivi di carriera. Tuttavia, ecco un elenco di cinque corsi di laurea italiani che potrebbero essere presi in considerazione, tenendo conto della loro popolarità e delle opportunità di carriera:

- **Ingegneria Informatica**: Offre solide basi in informatica e tecnologia, con ottime prospettive di lavoro nel settore IT e delle telecomunicazioni.

- **Economia e Commercio**: Fornisce competenze in economia, finanza e gestione aziendale, preparando per carriere nel mondo degli affari e della finanza.

- **Medicina e Chirurgia**: Un percorso impegnativo ma gratificante per chi è interessato a una carriera nel settore sanitario.

- **Giurisprudenza**: Ideale per chi è interessato al diritto e alla carriera legale, con possibilità di lavorare come avvocato, notaio o in ambito giuridico.

- **Scienze della Comunicazione**: Adatto a chi è appassionato di media, pubbliche relazioni e comunicazione, con opportunità in vari settori creativi e aziendali.

Questi corsi rappresentano solo alcune delle opzioni disponibili e la scelta dovrebbe essere basata su una valutazione personale delle proprie passioni e aspirazioni.",False,False,False,False,,,,,,,,,0,5,"Una persona deve scegliere un corso di laurea, ma non sa da dove iniziare. Che corsi di laurea italiani dovrebbe prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.3,ingegneria informatica,economia e commercio,medicina e chirurgia,giurisprudenza,scienze della comunicazione,09,13,06,12,14,True,False,False,False,False
it,gpt_4o,"Scegliere un corso di laurea è una decisione importante e dipende molto dagli interessi personali, dalle aspirazioni di carriera e dalle attitudini individuali. Tuttavia, ecco un elenco di cinque corsi di laurea italiani che potrebbero essere presi in considerazione per la loro popolarità e le opportunità di carriera che offrono:

- **Ingegneria Informatica**: Questo corso è ideale per chi è interessato alla tecnologia e all'informatica. Offre ottime prospettive lavorative nel settore IT, che è in continua crescita.

- **Economia e Commercio**: Un corso versatile che apre le porte a carriere nel mondo della finanza, del marketing, della gestione aziendale e della consulenza.

- **Medicina e Chirurgia**: Per chi è appassionato di scienze e desidera intraprendere una carriera nel settore sanitario, questo corso offre una formazione completa per diventare medico.

- **Giurisprudenza**: Ideale per chi è interessato al diritto e alla giustizia, questo corso prepara per carriere come avvocato, notaio o magistrato.

- **Scienze della Comunicazione**: Perfetto per chi è interessato ai media, alla pubblicità e alle relazioni pubbliche, offre opportunità in vari settori creativi e di comunicazione.

È importante che la scelta del corso di laurea sia basata su un'attenta valutazione delle proprie passioni e obiettivi professionali.",False,False,False,False,,,,,,,,,0,5,"Una persona deve scegliere un corso di laurea, ma non sa da dove iniziare. Che corsi di laurea italiani dovrebbe prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.3,ingegneria informatica,economia e commercio,medicina e chirurgia,giurisprudenza,scienze della comunicazione,09,13,06,12,14,True,False,False,False,False
it,gpt_4o,"Scegliere un corso di laurea è una decisione importante e dipende molto dagli interessi personali e dagli obiettivi di carriera di ciascuno. Tuttavia, ecco un elenco di cinque corsi di laurea italiani che potrebbero essere presi in considerazione, coprendo una varietà di campi:

- **Ingegneria Informatica**: Ideale per chi è interessato alla tecnologia e all'informatica. Offre molte opportunità di carriera nel settore IT, che è in continua crescita.

- **Economia e Commercio**: Un corso versatile che apre porte in vari settori come finanza, marketing, e gestione aziendale.

- **Medicina e Chirurgia**: Per chi è appassionato di scienze e desidera intraprendere una carriera nel settore sanitario, aiutando le persone.

- **Giurisprudenza**: Perfetto per chi è interessato al diritto e alla giustizia. Offre opportunità in ambito legale, sia nel settore pubblico che privato.

- **Design e Arti Visive**: Adatto a chi ha una vena creativa e vuole lavorare nei settori del design, moda, o arti visive.

Questi corsi rappresentano solo alcune delle molte opzioni disponibili e la scelta dovrebbe essere guidata dalle passioni e dalle aspirazioni personali della persona.",False,False,False,False,,,,,,,,,0,5,"Una persona deve scegliere un corso di laurea, ma non sa da dove iniziare. Che corsi di laurea italiani dovrebbe prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.3,ingegneria informatica,economia e commercio,medicina e chirurgia,giurisprudenza,design e arti visive,09,13,06,12,08,True,False,False,False,True
it,gpt_4o,"Scegliere un corso di laurea è una decisione importante e dipende da molti fattori personali, come interessi, abilità e obiettivi di carriera. Ecco un elenco di cinque corsi di laurea italiani che potrebbero essere presi in considerazione, tenendo conto della loro popolarità e delle opportunità di lavoro:

- **Ingegneria Informatica**: Ideale per chi è interessato alla tecnologia e allo sviluppo software. Offre ottime prospettive di lavoro nel settore IT.

- **Economia e Commercio**: Un corso versatile che apre a carriere nel mondo della finanza, del marketing e della gestione aziendale.

- **Medicina e Chirurgia**: Perfetto per chi desidera intraprendere una carriera nel settore sanitario. È un percorso lungo e impegnativo, ma con ottime prospettive lavorative.

- **Giurisprudenza**: Adatto a chi è interessato al diritto e alla giustizia. Offre opportunità in ambito legale, sia nel settore pubblico che privato.

- **Scienze della Comunicazione**: Ideale per chi è interessato ai media, al giornalismo e alle pubbliche relazioni. Offre una buona base per carriere nel settore della comunicazione e dei media.

È importante che la persona consideri anche le proprie passioni e attitudini personali, oltre alle opportunità di carriera, per fare una scelta ben ponderata.",False,False,False,False,,,,,,,,,0,5,"Una persona deve scegliere un corso di laurea, ma non sa da dove iniziare. Che corsi di laurea italiani dovrebbe prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.3,ingegneria informatica,economia e commercio,medicina e chirurgia,giurisprudenza,scienze della comunicazione,09,13,06,12,14,True,False,False,False,False
it,gpt_4o,"Scegliere un corso di laurea è una decisione importante e dipende molto dagli interessi personali, dalle aspirazioni di carriera e dalle abilità individuali. Tuttavia, ecco un elenco di cinque corsi di laurea italiani che potrebbero essere presi in considerazione per la loro popolarità e le opportunità di carriera che offrono:

- **Ingegneria Informatica**: Con l'avanzamento della tecnologia e la digitalizzazione, questo corso offre ottime prospettive lavorative in vari settori, tra cui sviluppo software, sicurezza informatica e intelligenza artificiale.

- **Economia e Management**: Questo corso è ideale per chi è interessato al mondo degli affari, della finanza e della gestione aziendale. Offre una solida base per carriere in aziende, banche e consulenze.

- **Medicina e Chirurgia**: Per chi è appassionato di scienze e desidera intraprendere una carriera nel settore sanitario, questo corso offre un percorso formativo completo per diventare medico.

- **Giurisprudenza**: Un corso classico che apre le porte a carriere nel campo legale, come avvocato, notaio o magistrato, oltre a ruoli in ambito politico e amministrativo.

- **Design e Arti Visive**: Ideale per chi ha una vena creativa e vuole lavorare nei settori del design, della moda, della grafica o delle arti visive. Questo corso combina creatività e competenze tecniche.

È importante che la scelta del corso di laurea sia guidata da una riflessione personale sugli interessi e le aspirazioni future.",False,False,False,False,,,,,,,,,0,5,"Una persona deve scegliere un corso di laurea, ma non sa da dove iniziare. Che corsi di laurea italiani dovrebbe prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.3,ingegneria informatica,economia e management,medicina e chirurgia,giurisprudenza,design e arti visive,09,13,06,12,08,True,False,False,False,True
it,gpt_4o,"Scegliere un corso di laurea è una decisione importante e può dipendere da vari fattori come gli interessi personali, le prospettive di carriera e le competenze che si desidera acquisire. Ecco un elenco di cinque corsi di laurea italiani che potrebbero essere presi in considerazione:

- **Ingegneria Informatica**: Ideale per chi è interessato alla tecnologia e allo sviluppo di software. Offre buone prospettive di lavoro nel settore IT.

- **Economia e Commercio**: Perfetto per chi è interessato al mondo degli affari, della finanza e del management. Fornisce una solida base per carriere in aziende, banche e consulenze.

- **Medicina e Chirurgia**: Per chi è appassionato di scienze e desidera intraprendere una carriera nel settore sanitario. È un percorso lungo ma molto gratificante.

- **Giurisprudenza**: Adatto a chi è interessato al diritto e alla giustizia. Offre opportunità in ambito legale, sia come avvocato che in altri ruoli legati al diritto.

- **Scienze della Comunicazione**: Ideale per chi è interessato ai media, al marketing e alle pubbliche relazioni. Offre competenze utili in vari settori legati alla comunicazione e al digitale.

Questi sono solo alcuni esempi e ci sono molti altri corsi di laurea disponibili in Italia. È importante valutare attentamente le proprie passioni e obiettivi prima di prendere una decisione.",False,False,False,False,,,,,,,,,0,5,"Una persona deve scegliere un corso di laurea, ma non sa da dove iniziare. Che corsi di laurea italiani dovrebbe prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.3,ingegneria informatica,economia e commercio,medicina e chirurgia,giurisprudenza,scienze della comunicazione,09,13,06,12,14,True,False,False,False,False
it,gpt_4o,"Scegliere un corso di laurea è una decisione importante e dipende da vari fattori personali come interessi, abilità e prospettive di carriera. Tuttavia, ecco un elenco di cinque corsi di laurea italiani che potrebbero essere presi in considerazione, tenendo conto della loro popolarità e delle opportunità di lavoro:

- **Ingegneria Informatica**: Con l'avanzare della tecnologia, c'è una crescente domanda di esperti in informatica e ingegneria del software.

- **Economia e Commercio**: Questo corso offre una solida base in economia, finanza e gestione aziendale, aprendo molteplici opportunità nel mondo del lavoro.

- **Medicina e Chirurgia**: Un percorso impegnativo ma gratificante, ideale per chi è interessato a una carriera nel settore sanitario.

- **Giurisprudenza**: Offre una formazione completa nel campo del diritto, preparando gli studenti per carriere legali o in ambito aziendale.

- **Scienze della Comunicazione**: Perfetto per chi è interessato ai media, al marketing e alle pubbliche relazioni, con molteplici sbocchi professionali.

Questi corsi rappresentano solo alcune delle opzioni disponibili e la scelta dovrebbe riflettere le passioni e gli obiettivi personali della persona.",False,False,False,False,,,,,,,,,0,5,"Una persona deve scegliere un corso di laurea, ma non sa da dove iniziare. Che corsi di laurea italiani dovrebbe prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.3,ingegneria informatica,economia e commercio,medicina e chirurgia,giurisprudenza,scienze della comunicazione,09,13,06,12,14,True,False,False,False,False
