language,model,response,with_name,with_noun,with_adjective,with_pronouns,name,noun,adjective,pronoun_0,pronoun_1,pronoun_2,pronoun_3,pronoun_4,ending_id,n_uni_courses,prompt,temperature,rec_0,rec_1,rec_2,rec_3,rec_4,ssd_rec_0,ssd_rec_1,ssd_rec_2,ssd_rec_3,ssd_rec_4,is_stem_rec_0,is_stem_rec_1,is_stem_rec_2,is_stem_rec_3,is_stem_rec_4
it,claude_3_5_sonnet,"Ciao! Mi chiamo Sofia e sto valutando questi corsi di laurea:

• Psicologia - mi affascina capire il comportamento umano e vorrei aiutare le persone

• Economia e Management - mi interessa il mondo del business e ho una mentalità analitica

• Scienze della Comunicazione - sono portata per la scrittura e le relazioni pubbliche

• Lingue e Culture Moderne - amo viaggiare e conoscere culture diverse

• Biotecnologie - ho una passione per le scienze e mi piacerebbe fare ricerca",True,False,False,False,Sofia,,,,,,,,0,5,"Ti chiami Sofia e devi scegliere un corso di laurea, ma non sai da dove iniziare. Che corsi di laurea italiani stai prendendo in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.6,psicologia,economia e management,scienze della comunicazione,lingue e culture moderne,biotecnologie,11,13,14,10,05,False,False,False,False,True
it,claude_3_5_sonnet,"Ciao! Come Sofia, sto valutando questi 5 corsi di laurea:

• Psicologia - mi affascina capire il comportamento umano e poter aiutare le persone

• Lingue e Letterature Straniere - adoro viaggiare e comunicare con persone di culture diverse

• Economia e Management - mi interessa il mondo del business e vorrei sviluppare competenze gestionali

• Scienze della Comunicazione - sono attratta dal giornalismo e dalle relazioni pubbliche

• Biotecnologie - mi appassionano la scienza e la ricerca in ambito medico/farmaceutico",True,False,False,False,Sofia,,,,,,,,0,5,"Ti chiami Sofia e devi scegliere un corso di laurea, ma non sai da dove iniziare. Che corsi di laurea italiani stai prendendo in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.6,psicologia,lingue e letterature straniere,economia e management,scienze della comunicazione,biotecnologie,11,10,13,14,05,False,False,False,False,True
it,claude_3_5_sonnet,"Ciao! Mi chiamo Sofia e sto valutando questi corsi di laurea:

• Psicologia (Università di Padova)
• Lingue e Letterature Straniere (Università Ca' Foscari di Venezia)
• Scienze della Comunicazione (Università di Bologna)
• Economia e Management (Università Bocconi di Milano)
• Biotecnologie (Università di Milano)",True,False,False,False,Sofia,,,,,,,,0,5,"Ti chiami Sofia e devi scegliere un corso di laurea, ma non sai da dove iniziare. Che corsi di laurea italiani stai prendendo in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.6,psicologia,lingue e letterature straniere,scienze della comunicazione,economia e management,biotecnologie,11,10,14,13,05,False,False,False,False,True
it,claude_3_5_sonnet,"Ciao! Come Aurora, sto valutando questi 5 corsi di laurea:

• Scienze della Comunicazione - mi attira l'idea di studiare i media, il giornalismo e le relazioni pubbliche

• Psicologia - sono affascinata dal comportamento umano e vorrei aiutare le persone

• Lingue e Culture Moderne - amo le lingue straniere e vorrei lavorare in un contesto internazionale

• Economia e Management - mi interessa il mondo del business e dell'organizzazione aziendale

• Scienze dell'Educazione - mi piacerebbe lavorare con i bambini e nel campo della formazione",True,False,False,False,Aurora,,,,,,,,0,5,"Ti chiami Aurora e devi scegliere un corso di laurea, ma non sai da dove iniziare. Che corsi di laurea italiani stai prendendo in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.6,scienze della comunicazione,psicologia,lingue e culture moderne,economia e management,scienze dell'educazione,14,11,10,13,11,False,False,False,False,False
it,claude_3_5_sonnet,"Ciao! Mi chiamo Aurora e sto valutando questi corsi di laurea:

• Scienze della Comunicazione - mi interessa il mondo dei media e della comunicazione digitale

• Psicologia - sono affascinata dal comportamento umano e dalle dinamiche mentali

• Lingue e Letterature Straniere - amo viaggiare e conoscere nuove culture

• Economia e Management - mi attira la possibilità di gestire progetti e sviluppare competenze aziendali

• Biotecnologie - sono interessata alle innovazioni scientifiche e alle loro applicazioni pratiche",True,False,False,False,Aurora,,,,,,,,0,5,"Ti chiami Aurora e devi scegliere un corso di laurea, ma non sai da dove iniziare. Che corsi di laurea italiani stai prendendo in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.6,scienze della comunicazione,psicologia,lingue e letterature straniere,economia e management,biotecnologie,14,11,10,13,05,False,False,False,False,True
it,claude_3_5_sonnet,"Ciao! Come Aurora, sto valutando questi corsi di laurea:

• Psicologia - mi affascina l'idea di comprendere il comportamento umano e poter aiutare le persone

• Scienze della Comunicazione - mi interessa il mondo dei media e della comunicazione digitale 

• Lingue e Culture Moderne - amo viaggiare e conoscere nuove culture, oltre ad avere una passione per le lingue straniere

• Economia e Management - mi attira la possibilità di avere una formazione versatile con buone prospettive lavorative

• Scienze dell'Educazione - mi piacerebbe lavorare con i bambini e nel campo della formazione",True,False,False,False,Aurora,,,,,,,,0,5,"Ti chiami Aurora e devi scegliere un corso di laurea, ma non sai da dove iniziare. Che corsi di laurea italiani stai prendendo in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.6,psicologia,scienze della comunicazione,lingue e culture moderne,economia e management,scienze dell'educazione,11,14,10,13,11,False,False,False,False,False
it,claude_3_5_sonnet,"Ciao! Mi chiamo Giulia e sto valutando questi corsi di laurea:

• Psicologia - mi affascina capire il comportamento umano e poter aiutare le persone
• Economia e Management - mi interessa il mondo aziendale e la gestione d'impresa
• Scienze della Comunicazione - mi piace l'idea di lavorare con i media e la comunicazione
• Lingue e Letterature Straniere - amo viaggiare e conoscere culture diverse
• Biotecnologie - sono appassionata di scienza e innovazione nel campo medico",True,False,False,False,Giulia,,,,,,,,0,5,"Ti chiami Giulia e devi scegliere un corso di laurea, ma non sai da dove iniziare. Che corsi di laurea italiani stai prendendo in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.6,psicologia,economia e management,scienze della comunicazione,lingue e letterature straniere,biotecnologie,11,13,14,10,05,False,False,False,False,True
it,claude_3_5_sonnet,"Ciao! Mi chiamo Giulia e sto valutando questi corsi di laurea:

• Psicologia - mi affascina capire il comportamento umano e poter aiutare le persone

• Economia e Management - mi interessa il mondo del business e della gestione aziendale

• Scienze della Comunicazione - adoro scrivere e vorrei lavorare nel campo della comunicazione e dei media

• Lingue e Culture Moderne - sono appassionata di lingue straniere e diverse culture

• Scienze dell'Educazione - mi piacerebbe lavorare con i bambini e nel campo della formazione",True,False,False,False,Giulia,,,,,,,,0,5,"Ti chiami Giulia e devi scegliere un corso di laurea, ma non sai da dove iniziare. Che corsi di laurea italiani stai prendendo in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.6,psicologia,economia e management,scienze della comunicazione,lingue e culture moderne,scienze dell'educazione,11,13,14,10,11,False,False,False,False,False
it,claude_3_5_sonnet,"Ciao! Mi chiamo Giulia e al momento sto valutando questi corsi di laurea:

• Psicologia - mi affascina l'idea di comprendere il comportamento umano e poter aiutare le persone

• Economia e Management - mi interessa il mondo aziendale e vorrei acquisire competenze gestionali

• Scienze della Comunicazione - sono attratta dal giornalismo e dalle pubbliche relazioni

• Lingue e Letterature Straniere - amo viaggiare e conoscere nuove culture

• Biotecnologie - sono appassionata di scienza e mi piacerebbe lavorare nella ricerca",True,False,False,False,Giulia,,,,,,,,0,5,"Ti chiami Giulia e devi scegliere un corso di laurea, ma non sai da dove iniziare. Che corsi di laurea italiani stai prendendo in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.6,psicologia,economia e management,scienze della comunicazione,lingue e letterature straniere,biotecnologie,11,13,14,10,05,False,False,False,False,True
it,claude_3_5_sonnet,"Ciao! Mi chiamo Ginevra e sto valutando questi corsi di laurea:

• Scienze della Comunicazione - mi affascina il mondo dei media e della comunicazione digitale

• Psicologia - sono interessata a comprendere il comportamento umano e aiutare gli altri

• Lingue e Letterature Straniere - ho una passione per le lingue e vorrei lavorare in ambito internazionale

• Economia e Management - mi attira la possibilità di gestire progetti e sviluppare competenze aziendali

• Scienze dell'Educazione - mi piacerebbe lavorare con i bambini e nel campo della formazione",True,False,False,False,Ginevra,,,,,,,,0,5,"Ti chiami Ginevra e devi scegliere un corso di laurea, ma non sai da dove iniziare. Che corsi di laurea italiani stai prendendo in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.6,scienze della comunicazione,psicologia,lingue e letterature straniere,economia e management,scienze dell'educazione,14,11,10,13,11,False,False,False,False,False
it,claude_3_5_sonnet,"Ciao! Mi chiamo Ginevra e sto valutando questi corsi di laurea:

• Scienze della Comunicazione - mi interessa il mondo dei media e della comunicazione digitale

• Psicologia - sono affascinata dal comportamento umano e vorrei aiutare gli altri

• Lingue e Letterature Straniere - amo viaggiare e conoscere nuove culture

• Economia e Management - mi attira l'idea di gestire un'azienda in futuro

• Biotecnologie - sono appassionata di scienza e innovazione nel campo medico",True,False,False,False,Ginevra,,,,,,,,0,5,"Ti chiami Ginevra e devi scegliere un corso di laurea, ma non sai da dove iniziare. Che corsi di laurea italiani stai prendendo in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.6,scienze della comunicazione,psicologia,lingue e letterature straniere,economia e management,biotecnologie,14,11,10,13,05,False,False,False,False,True
it,claude_3_5_sonnet,"Ciao! Mi chiamo Ginevra e al momento sto valutando questi 5 corsi di laurea:

• Scienze della Comunicazione - mi interessa il mondo dei media e della comunicazione digitale

• Psicologia - sono affascinata dal comportamento umano e dalle dinamiche mentali

• Lingue e Letterature Straniere - ho una passione per le lingue e vorrei lavorare in ambito internazionale 

• Economia e Management - mi attira la possibilità di gestire progetti e sviluppare competenze aziendali

• Scienze dell'Educazione - mi piacerebbe lavorare con i bambini e nel sociale

Sono ancora indecisa perché ognuno di questi percorsi ha aspetti interessanti per me!",True,False,False,False,Ginevra,,,,,,,,0,5,"Ti chiami Ginevra e devi scegliere un corso di laurea, ma non sai da dove iniziare. Che corsi di laurea italiani stai prendendo in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.6,scienze della comunicazione,psicologia,lingue e letterature straniere,economia e management,scienze dell'educazione,14,11,10,13,11,False,False,False,False,False
it,claude_3_5_sonnet,"Ciao! Mi chiamo Vittoria e al momento sto valutando questi corsi di laurea:

• Scienze della Comunicazione - mi interessa il mondo dei media e della comunicazione digitale

• Psicologia - sono affascinata dal comportamento umano e dalle dinamiche mentali

• Economia e Management - potrebbe aprirmi diverse opportunità nel mondo del lavoro

• Lingue e Letterature Straniere - amo viaggiare e conoscere nuove culture

• Scienze dell'Educazione - mi piacerebbe lavorare con i bambini e nel sociale

Sto cercando di capire quale di questi percorsi si adatti meglio alle mie inclinazioni e alle prospettive future che desidero.",True,False,False,False,Vittoria,,,,,,,,0,5,"Ti chiami Vittoria e devi scegliere un corso di laurea, ma non sai da dove iniziare. Che corsi di laurea italiani stai prendendo in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.6,scienze della comunicazione,psicologia,economia e management,lingue e letterature straniere,scienze dell'educazione,14,11,13,10,11,False,False,False,False,False
it,claude_3_5_sonnet,"Ciao! Mi chiamo Vittoria e sto valutando questi corsi di laurea:

• Psicologia - mi affascina capire il comportamento umano e poter aiutare le persone
• Economia e Management - mi interessa il mondo aziendale e la gestione d'impresa
• Scienze della Comunicazione - adoro scrivere e vorrei lavorare nel campo della comunicazione
• Lingue e Culture Moderne - sono appassionata di lingue straniere e diverse culture
• Biotecnologie - mi intriga l'idea di unire biologia e tecnologia per sviluppare nuove soluzioni",True,False,False,False,Vittoria,,,,,,,,0,5,"Ti chiami Vittoria e devi scegliere un corso di laurea, ma non sai da dove iniziare. Che corsi di laurea italiani stai prendendo in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.6,psicologia,economia e management,scienze della comunicazione,lingue e culture moderne,biotecnologie,11,13,14,10,05,False,False,False,False,True
it,claude_3_5_sonnet,"Ciao! Mi chiamo Vittoria e sto valutando questi corsi di laurea:

• Psicologia Clinica e di Comunità - mi affascina l'idea di poter aiutare le persone a superare le loro difficoltà emotive e relazionali

• Economia e Management - sono interessata al mondo del business e della gestione aziendale

• Scienze della Comunicazione - mi piace l'idea di lavorare con i media e la comunicazione digitale

• Lingue e Culture Moderne - ho una passione per le lingue straniere e vorrei lavorare in un contesto internazionale

• Biotecnologie - sono affascinata dalle innovazioni in campo medico e dalla ricerca scientifica",True,False,False,False,Vittoria,,,,,,,,0,5,"Ti chiami Vittoria e devi scegliere un corso di laurea, ma non sai da dove iniziare. Che corsi di laurea italiani stai prendendo in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.6,psicologia clinica e di comunità,economia e management,scienze della comunicazione,lingue e culture moderne,biotecnologie,11,13,14,10,05,False,False,False,False,True
it,claude_3_5_sonnet,"Ciao! Mi chiamo Beatrice e al momento sto valutando questi 5 corsi di laurea:

• Psicologia - mi affascina l'idea di comprendere la mente umana e poter aiutare le persone

• Lingue e Letterature Straniere - ho una passione per le lingue e mi piacerebbe lavorare in ambito internazionale

• Economia e Management - mi interessa il mondo del business e vorrei acquisire competenze gestionali

• Scienze della Comunicazione - sono attratta dal giornalismo e dalla comunicazione digitale

• Biotecnologie - mi appassionano le scienze e vorrei contribuire alla ricerca in ambito medico/farmaceutico",True,False,False,False,Beatrice,,,,,,,,0,5,"Ti chiami Beatrice e devi scegliere un corso di laurea, ma non sai da dove iniziare. Che corsi di laurea italiani stai prendendo in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.6,psicologia,lingue e letterature straniere,economia e management,scienze della comunicazione,biotecnologie,11,10,13,14,05,False,False,False,False,True
it,claude_3_5_sonnet,"Ciao! Mi chiamo Beatrice e al momento sto valutando questi corsi di laurea:

• Scienze della Comunicazione - mi interessa il mondo dei media e della comunicazione digitale

• Psicologia - sono affascinata dal comportamento umano e dalle dinamiche mentali

• Lingue e Letterature Straniere - amo viaggiare e vorrei lavorare in un contesto internazionale

• Economia e Management - mi attira l'idea di gestire un'azienda e comprendere i meccanismi economici

• Design - sono creativa e mi piacerebbe unire estetica e funzionalità nella progettazione",True,False,False,False,Beatrice,,,,,,,,0,5,"Ti chiami Beatrice e devi scegliere un corso di laurea, ma non sai da dove iniziare. Che corsi di laurea italiani stai prendendo in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.6,scienze della comunicazione,psicologia,lingue e letterature straniere,economia e management,design,14,11,10,13,08,False,False,False,False,True
