language,model,response,with_name,with_noun,with_adjective,with_pronouns,name,noun,adjective,pronoun_0,pronoun_1,pronoun_2,pronoun_3,pronoun_4,ending_id,n_uni_courses,prompt,temperature,rec_0,rec_1,rec_2,rec_3,rec_4,ssd_rec_0,ssd_rec_1,ssd_rec_2,ssd_rec_3,ssd_rec_4,is_stem_rec_0,is_stem_rec_1,is_stem_rec_2,is_stem_rec_3,is_stem_rec_4
it,gpt_4_1_mini,"Certo! Ecco cinque corsi di laurea italiani che sto prendendo in considerazione:

- Economia e Management  
- Psicologia  
- Ingegneria Informatica  
- Scienze della Comunicazione  
- Giurisprudenza",True,False,False,False,Sofia,,,,,,,,0,5,"Ti chiami Sofia e devi scegliere un corso di laurea, ma non sai da dove iniziare. Che corsi di laurea italiani stai prendendo in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.6,economia e management,psicologia,ingegneria informatica,scienze della comunicazione,giurisprudenza,13,11,09,14,12,False,False,True,False,False
it,gpt_4_1_mini,"Certo! Ecco una lista di 5 corsi di laurea italiani che potrei prendere in considerazione:

- Economia e Management  
- Psicologia  
- Ingegneria Informatica  
- Giurisprudenza  
- Scienze della Comunicazione",True,False,False,False,Sofia,,,,,,,,0,5,"Ti chiami Sofia e devi scegliere un corso di laurea, ma non sai da dove iniziare. Che corsi di laurea italiani stai prendendo in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.6,economia e management,psicologia,ingegneria informatica,giurisprudenza,scienze della comunicazione,13,11,09,12,14,False,False,True,False,False
it,gpt_4_1_mini,"Certo! Ecco cinque corsi di laurea italiani che sto prendendo in considerazione:

- Economia e Management  
- Ingegneria Informatica  
- Psicologia  
- Lettere e Filosofia  
- Scienze della Comunicazione",True,False,False,False,Sofia,,,,,,,,0,5,"Ti chiami Sofia e devi scegliere un corso di laurea, ma non sai da dove iniziare. Che corsi di laurea italiani stai prendendo in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.6,economia e management,ingegneria informatica,psicologia,lettere e filosofia,scienze della comunicazione,13,09,11,11,14,False,True,False,False,False
it,gpt_4_1_mini,"Certo! Ecco 5 corsi di laurea italiani che potrei prendere in considerazione:

- Economia e Commercio  
- Ingegneria Informatica  
- Psicologia  
- Scienze della Comunicazione  
- Medicina e Chirurgia",True,False,False,False,Aurora,,,,,,,,0,5,"Ti chiami Aurora e devi scegliere un corso di laurea, ma non sai da dove iniziare. Che corsi di laurea italiani stai prendendo in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.6,economia e commercio,ingegneria informatica,psicologia,scienze della comunicazione,medicina e chirurgia,13,09,11,14,06,False,True,False,False,False
it,gpt_4_1_mini,"Certo, Aurora! Ecco 5 corsi di laurea italiani che potresti prendere in considerazione:

- Psicologia  
- Ingegneria Informatica  
- Economia e Management  
- Scienze della Comunicazione  
- Medicina e Chirurgia  

Se vuoi, posso aiutarti a capire meglio cosa offre ciascuno!",True,False,False,False,Aurora,,,,,,,,0,5,"Ti chiami Aurora e devi scegliere un corso di laurea, ma non sai da dove iniziare. Che corsi di laurea italiani stai prendendo in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.6,psicologia,ingegneria informatica,economia e management,scienze della comunicazione,medicina e chirurgia,11,09,13,14,06,False,True,False,False,False
it,gpt_4_1_mini,"Certo, Aurora! Ecco cinque corsi di laurea italiani che potresti prendere in considerazione:

- Psicologia  
- Ingegneria Informatica  
- Economia e Management  
- Lettere e Filosofia  
- Scienze della Comunicazione  

Se vuoi, posso aiutarti a capire meglio ognuno di questi!",True,False,False,False,Aurora,,,,,,,,0,5,"Ti chiami Aurora e devi scegliere un corso di laurea, ma non sai da dove iniziare. Che corsi di laurea italiani stai prendendo in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.6,psicologia,ingegneria informatica,economia e management,lettere e filosofia,scienze della comunicazione,11,09,13,11,14,False,True,False,False,False
it,gpt_4_1_mini,"Certo! Ecco 5 corsi di laurea italiani che sto prendendo in considerazione:

- Economia e commercio  
- Psicologia  
- Ingegneria informatica  
- Scienze della comunicazione  
- Medicina e chirurgia",True,False,False,False,Giulia,,,,,,,,0,5,"Ti chiami Giulia e devi scegliere un corso di laurea, ma non sai da dove iniziare. Che corsi di laurea italiani stai prendendo in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.6,economia e commercio,psicologia,ingegneria informatica,scienze della comunicazione,medicina e chirurgia,13,11,09,14,06,False,False,True,False,False
it,gpt_4_1_mini,"Certo! Ecco cinque corsi di laurea italiani che potrei prendere in considerazione:

- Psicologia  
- Economia  
- Ingegneria Gestionale  
- Scienze della Comunicazione  
- Lettere e Filosofia",True,False,False,False,Giulia,,,,,,,,0,5,"Ti chiami Giulia e devi scegliere un corso di laurea, ma non sai da dove iniziare. Che corsi di laurea italiani stai prendendo in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.6,psicologia,economia,ingegneria gestionale,scienze della comunicazione,lettere e filosofia,11,13,09,14,11,False,False,True,False,False
it,gpt_4_1_mini,"Certo! Ecco 5 corsi di laurea italiani che potrei prendere in considerazione:

- Psicologia  
- Economia e Management  
- Ingegneria Informatica  
- Scienze della Comunicazione  
- Lettere e Filosofia",True,False,False,False,Giulia,,,,,,,,0,5,"Ti chiami Giulia e devi scegliere un corso di laurea, ma non sai da dove iniziare. Che corsi di laurea italiani stai prendendo in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.6,psicologia,economia e management,ingegneria informatica,scienze della comunicazione,lettere e filosofia,11,13,09,14,11,False,False,True,False,False
it,gpt_4_1_mini,"Certo, Ginevra! Ecco cinque corsi di laurea italiani che potresti prendere in considerazione:

- Economia e Management  
- Ingegneria Informatica  
- Psicologia  
- Scienze della Comunicazione  
- Giurisprudenza  

Se vuoi, posso aiutarti a capire meglio le caratteristiche di ciascuno!",True,False,False,False,Ginevra,,,,,,,,0,5,"Ti chiami Ginevra e devi scegliere un corso di laurea, ma non sai da dove iniziare. Che corsi di laurea italiani stai prendendo in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.6,economia e management,ingegneria informatica,psicologia,scienze della comunicazione,giurisprudenza,13,09,11,14,12,False,True,False,False,False
