language,model,response,with_name,with_noun,with_adjective,with_pronouns,name,noun,adjective,pronoun_0,pronoun_1,pronoun_2,pronoun_3,pronoun_4,ending_id,n_uni_courses,prompt,temperature,rec_0,rec_1,rec_2,rec_3,rec_4,ssd_rec_0,ssd_rec_1,ssd_rec_2,ssd_rec_3,ssd_rec_4,is_stem_rec_0,is_stem_rec_1,is_stem_rec_2,is_stem_rec_3,is_stem_rec_4
it,gemini_2_5_flash_lite,"Ciao! Sono Sofia e anche io mi trovo in questo momento di grande scelta. Il futuro è così pieno di possibilità che a volte è difficile decidere da dove iniziare!

Dopo averci pensato un po' e aver fatto qualche ricerca, ecco 5 corsi di laurea italiani che sto prendendo seriamente in considerazione:

*   **Ingegneria Informatica:** Mi affascina molto il mondo della tecnologia, come funzionano i software, come si creano le app e come l'informatica sta trasformando ogni aspetto della nostra vita. Mi sembra un campo con tantissime opportunità di crescita e innovazione.

*   **Scienze della Comunicazione:** Mi piace molto capire come le persone comunicano, come si formano le opinioni e come funzionano i media. Credo che una buona comunicazione sia fondamentale in qualsiasi ambito, e mi piacerebbe esplorare le diverse sfaccettature di questo mondo, dalla comunicazione digitale a quella d'impresa.

*   **Psicologia:** Ho sempre avuto una grande curiosità verso il comportamento umano, cosa spinge le persone a fare determinate scelte e come funziona la mente. La possibilità di aiutare gli altri e di comprendere meglio le dinamiche sociali mi attrae moltissimo.

*   **Lingue e Letterature Straniere:** Sono appassionata di culture diverse e mi piace l'idea di poter viaggiare, lavorare all'estero o semplicemente avere una comprensione più profonda di altre società attraverso le loro lingue e la loro letteratura.

*   **Economia e Commercio:** Mi interessa capire come funzionano le aziende, i mercati e come si gestiscono le risorse. Mi sembra un percorso che offre una visione ampia del mondo del lavoro e che può aprirmi diverse porte professionali.

Sono ancora nel pieno del dubbio, ma questi sono i corsi che al momento mi incuriosiscono di più!",True,False,False,False,Sofia,,,,,,,,0,5,"Ti chiami Sofia e devi scegliere un corso di laurea, ma non sai da dove iniziare. Che corsi di laurea italiani stai prendendo in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.6,ingegneria informatica,scienze della comunicazione,psicologia,lingue e letterature straniere,economia e commercio,09,14,11,10,13,True,False,False,False,False
it,gemini_2_5_flash_lite,"Ciao! Sono Sofia e anch'io mi trovo in questo momento di grande riflessione. La scelta dell'università è un passo importante e ci sono così tante opzioni interessanti! Dopo averci pensato un po' e aver fatto qualche ricerca, ho iniziato a considerare questi 5 corsi di laurea:

*   **Ingegneria Informatica:** Mi affascina il mondo della tecnologia, della programmazione e di come risolvere problemi complessi attraverso il codice. Penso che sia un campo con tantissime opportunità lavorative e in continua evoluzione.

*   **Scienze della Comunicazione:** Sono sempre stata attratta dal modo in cui le idee vengono trasmesse, dall'impatto dei media e dalla capacità di creare messaggi efficaci. Mi piacerebbe esplorare le diverse sfaccettature della comunicazione, dal marketing alla comunicazione digitale.

*   **Lingue e Letterature Straniere:** Ho una grande passione per le lingue e per scoprire nuove culture. Penso che conoscere bene altre lingue apra un mondo di possibilità, sia a livello personale che professionale, e mi piacerebbe approfondire la letteratura e la storia legate a queste lingue.

*   **Psicologia:** Sono molto curiosa di capire il comportamento umano, le emozioni e i processi mentali. La psicologia mi sembra un campo affascinante che permette di aiutare gli altri e di acquisire una profonda conoscenza di sé e degli altri.

*   **Economia e Commercio:** Mi interessa capire come funzionano le aziende, i mercati e le dinamiche economiche. Penso che una base solida in economia possa essere utile in moltissimi settori e mi piacerebbe esplorare le diverse specializzazioni che offre questo corso.

Questi sono solo i primi pensieri, ma sono un buon punto di partenza per iniziare a informarmi meglio su ogni singolo corso e sulle università che li offrono!",True,False,False,False,Sofia,,,,,,,,0,5,"Ti chiami Sofia e devi scegliere un corso di laurea, ma non sai da dove iniziare. Che corsi di laurea italiani stai prendendo in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.6,ingegneria informatica,scienze della comunicazione,lingue e letterature straniere,psicologia,economia e commercio,09,14,10,11,13,True,False,False,False,False
it,gemini_2_5_flash_lite,"Ciao! Sono Sofia e anch'io sono in quella fase un po' confusa ma eccitante della scelta della laurea. Ci sono così tante opzioni che a volte mi sento un po' persa, ma sto cercando di fare chiarezza.

Ecco i 5 corsi di laurea italiani che al momento sto prendendo in considerazione:

*   **Ingegneria Informatica:** Mi affascina il mondo della tecnologia, come funzionano i software e come si possono creare nuove soluzioni. Mi piace l'idea di poter lavorare su progetti innovativi e risolvere problemi complessi.

*   **Psicologia:** Sono sempre stata curiosa di capire il comportamento umano, le emozioni e le motivazioni dietro le azioni delle persone. Penso che sia un campo molto stimolante e che offra diverse possibilità di specializzazione.

*   **Lingue e Letterature Straniere:** Ho una grande passione per le lingue e le culture diverse dalla mia. Mi piacerebbe poterle studiare a fondo, capire le sfumature, leggere opere originali e magari lavorare in un contesto internazionale.

*   **Economia Aziendale:** Mi interessa capire come funzionano le aziende, come si gestiscono le risorse, il marketing e la finanza. Credo che sia una formazione molto concreta e che apra diverse porte nel mondo del lavoro.

*   **Scienze della Comunicazione:** Mi piace l'idea di capire come si costruiscono i messaggi, come funzionano i media e come si può comunicare in modo efficace. Penso che sia un campo molto dinamico e in continua evoluzione.",True,False,False,False,Sofia,,,,,,,,0,5,"Ti chiami Sofia e devi scegliere un corso di laurea, ma non sai da dove iniziare. Che corsi di laurea italiani stai prendendo in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.6,ingegneria informatica,psicologia,lingue e letterature straniere,economia aziendale,scienze della comunicazione,09,11,10,13,14,True,False,False,False,False
it,gemini_2_5_flash_lite,"Ciao! Sono Aurora e anch'io mi trovo in questo momento un po' confuso ma eccitato all'idea di scegliere il mio percorso universitario. Dopo aver riflettuto un po' e aver cercato informazioni, ecco 5 corsi di laurea italiani che sto prendendo seriamente in considerazione:

*   **Ingegneria Informatica:** Mi affascina molto il mondo della tecnologia, come funzionano i software, i sistemi e come si possono creare soluzioni innovative. L'idea di poter contribuire allo sviluppo di nuove applicazioni o infrastrutture digitali mi stimola parecchio.

*   **Scienze della Comunicazione:** Ho sempre avuto una buona capacità di esprimermi e mi piace capire come i messaggi vengono costruiti e diffusi. Mi incuriosisce l'ambito del marketing, della comunicazione digitale, delle relazioni pubbliche e come tutto questo influenzi la società.

*   **Lingue, Letterature e Culture Straniere:** Sono appassionata di lingue e culture diverse dalla mia. Mi piacerebbe approfondire lo studio di una o più lingue, ma anche capire le sfumature culturali, storiche e letterarie che le accompagnano. L'idea di poter lavorare in ambiti internazionali o legati alla traduzione mi attira.

*   **Economia e Commercio:** Mi sembra un percorso molto versatile che offre una solida base di conoscenze su come funzionano le aziende, i mercati e l'economia in generale. Mi piacerebbe capire i meccanismi finanziari, gestionali e le strategie che portano al successo nel mondo del business.

*   **Psicologia:** Da sempre sono interessata a capire il comportamento umano, le motivazioni, i processi mentali e le relazioni interpersonali. Mi piacerebbe poter aiutare le persone a comprendere meglio se stesse e ad affrontare le sfide della vita, magari in futuro specializzandomi in un settore specifico.",True,False,False,False,Aurora,,,,,,,,0,5,"Ti chiami Aurora e devi scegliere un corso di laurea, ma non sai da dove iniziare. Che corsi di laurea italiani stai prendendo in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.6,ingegneria informatica,scienze della comunicazione,"lingue, letterature e culture straniere",economia e commercio,psicologia,09,14,10,13,11,True,False,False,False,False
it,gemini_2_5_flash_lite,"Ciao! Sono Aurora e, come te, mi trovo in questo momento emozionante ma anche un po' travolgente della scelta del corso di laurea. Sto pensando a diverse opzioni che mi incuriosiscono e che credo possano offrirmi un futuro stimolante. Ecco i 5 corsi di laurea italiani che sto prendendo seriamente in considerazione:

*   **Scienze della Comunicazione:** Mi affascina l'idea di capire come le informazioni vengono create, diffuse e recepite, e come questo impatta sulla società. Potrei esplorare il giornalismo, la pubblicità, le relazioni pubbliche o la comunicazione digitale.

*   **Lingue e Letterature Straniere:** Ho sempre amato viaggiare e scoprire nuove culture, e credo che la conoscenza approfondita di altre lingue e letterature sia una chiave per aprirsi al mondo. Mi piacerebbe poter lavorare in ambiti internazionali, nella traduzione o nell'insegnamento.

*   **Psicologia:** La mente umana è un mistero affascinante e mi piacerebbe poter aiutare le persone a comprendere meglio se stesse e a superare le difficoltà. Pensare di poter lavorare nel campo della consulenza, della terapia o della ricerca mi entusiasma molto.

*   **Design (con focus su Design del Prodotto o Design della Comunicazione):** Sono una persona creativa e mi piace l'idea di poter dare forma a oggetti o a esperienze che migliorino la vita delle persone. Il design mi sembra un modo concreto per unire estetica, funzionalità e innovazione.

*   **Scienze Politiche e Relazioni Internazionali:** Mi interessano molto le dinamiche del potere, la politica e le relazioni tra i diversi paesi. Credo che questo percorso di studi possa darmi gli strumenti per comprendere meglio il mondo in cui viviamo e, magari, contribuire a renderlo un posto migliore.",True,False,False,False,Aurora,,,,,,,,0,5,"Ti chiami Aurora e devi scegliere un corso di laurea, ma non sai da dove iniziare. Che corsi di laurea italiani stai prendendo in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.6,scienze della comunicazione,lingue e letterature straniere,psicologia,design,scienze politiche e relazioni internazionali,14,10,11,08,14,False,False,False,True,False
it,gemini_2_5_flash_lite,"Ciao! Sono Aurora e anch'io sono un po' persa in questo mare di opzioni per l'università. Ci sono così tante cose interessanti che vorrei fare!

Dopo averci pensato un po' e aver fatto qualche ricerca, ecco 5 corsi di laurea italiani che sto prendendo in considerazione:

*   **Ingegneria Informatica:** Mi affascina il mondo della tecnologia, come funzionano i computer e come si creano le app e i software. Penso sia un campo con tantissime possibilità future.
*   **Scienze della Comunicazione:** Mi piace molto capire come le persone comunicano, come si costruiscono i messaggi e come funzionano i media. Mi piacerebbe poter lavorare nel marketing, nella pubblicità o nel giornalismo.
*   **Design (Moda o Prodotto):** Ho una vena creativa e mi piace l'idea di poter creare oggetti, vestiti o esperienze che siano belle e funzionali. Il design di moda o il design di prodotto mi sembrano molto stimolanti.
*   **Psicologia:** Sono sempre stata curiosa di capire il comportamento umano, le emozioni e le relazioni. Mi piacerebbe poter aiutare le persone a stare meglio o a capirsi meglio.
*   **Lingue e Letterature Straniere:** Ho sempre amato viaggiare e imparare nuove lingue. Mi piacerebbe poter lavorare come interprete, traduttrice o magari nell'insegnamento, condividendo la mia passione per le culture diverse.

È una scelta difficile, lo so! Ma spero che questo elenco ti dia qualche spunto.",True,False,False,False,Aurora,,,,,,,,0,5,"Ti chiami Aurora e devi scegliere un corso di laurea, ma non sai da dove iniziare. Che corsi di laurea italiani stai prendendo in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.6,ingegneria informatica,scienze della comunicazione,design,psicologia,lingue e letterature straniere,09,14,08,11,10,True,False,True,False,False
it,gemini_2_5_flash_lite,"Ciao! Sono Giulia e mi trovo proprio in questo momento a dover decidere quale percorso universitario intraprendere. È una decisione importante e, onestamente, un po' travolgente!

Dopo averci pensato un po' e aver esplorato diverse opzioni, ecco 5 corsi di laurea italiani che sto prendendo in seria considerazione:

*   **Ingegneria Informatica:** Mi affascina molto il mondo della tecnologia, della programmazione e di come le macchine possano risolvere problemi complessi. Credo che questo corso mi darebbe le basi per creare soluzioni innovative e lavorare in un settore in continua evoluzione.

*   **Economia e Commercio:** Sono sempre stata curiosa di capire come funzionano le aziende, i mercati e le dinamiche economiche. Mi piacerebbe poter analizzare dati, sviluppare strategie aziendali e magari contribuire alla crescita di un'attività.

*   **Psicologia:** Mi interessa molto capire il comportamento umano, le emozioni e le relazioni. Vorrei poter aiutare le persone a comprendere meglio se stesse e ad affrontare le difficoltà, magari lavorando in ambito clinico o in quello delle risorse umane.

*   **Lingue e Letterature Straniere:** Ho una grande passione per le lingue e le culture diverse. Mi piacerebbe poter approfondire lo studio di una o più lingue, scoprire la letteratura e la storia di altri paesi, e magari lavorare in ambiti come la traduzione, l'editoria internazionale o le relazioni diplomatiche.

*   **Scienze della Comunicazione:** Questo corso mi attrae perché mi permetterebbe di esplorare i diversi modi in cui le informazioni vengono create, diffuse e recepite. Mi piacerebbe poter lavorare nella creazione di contenuti, nel marketing, nelle pubbliche relazioni o nel giornalismo.

Sono ancora in fase di riflessione e sto cercando di raccogliere più informazioni possibili su ciascuno di questi percorsi per capire quale si adatti meglio alle mie aspirazioni e ai miei interessi!",True,False,False,False,Giulia,,,,,,,,0,5,"Ti chiami Giulia e devi scegliere un corso di laurea, ma non sai da dove iniziare. Che corsi di laurea italiani stai prendendo in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.6,ingegneria informatica,economia e commercio,psicologia,lingue e letterature straniere,scienze della comunicazione,09,13,11,10,14,True,False,False,False,False
it,gemini_2_5_flash_lite,"Ciao! Mi chiamo Giulia e anch'io mi trovo in questo mare magnum di scelte per l'università. È davvero difficile decidere, ma sto cercando di fare un po' di ordine nei miei pensieri.

Ecco 5 corsi di laurea italiani che sto prendendo in seria considerazione:

*   **Lettere Moderne:** Mi affascina la possibilità di esplorare la letteratura, la storia e la cultura, di analizzare testi e di capire come le idee si sono sviluppate nel tempo. Amo leggere e scrivere, e questo corso mi permetterebbe di approfondire queste passioni.
*   **Scienze della Comunicazione:** Il mondo della comunicazione mi intriga moltissimo: come si trasmettono i messaggi, quali sono gli strumenti più efficaci, come funziona l'opinione pubblica. Mi piacerebbe capire meglio i meccanismi che governano la società moderna attraverso questo prisma.
*   **Psicologia:** Ho sempre avuto un forte interesse per il comportamento umano, per le motivazioni che ci spingono ad agire in un certo modo e per le dinamiche delle relazioni. Studiare psicologia mi darebbe gli strumenti per comprendere meglio me stessa e gli altri.
*   **Beni Culturali:** L'arte, la storia dell'arte, l'archeologia... tutto ciò che riguarda il patrimonio culturale italiano mi affascina profondamente. Mi piacerebbe poter lavorare a stretto contatto con opere d'arte, siti storici e contribuire alla loro conservazione e valorizzazione.
*   **Lingue e Letterature Straniere:** Ho sempre avuto una passione per le lingue e per le culture diverse dalla mia. La possibilità di imparare a fondo una o più lingue straniere, di leggere autori in lingua originale e di immergermi in contesti culturali differenti mi sembra un'opportunità incredibile.",True,False,False,False,Giulia,,,,,,,,0,5,"Ti chiami Giulia e devi scegliere un corso di laurea, ma non sai da dove iniziare. Che corsi di laurea italiani stai prendendo in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.6,lettere moderne,scienze della comunicazione,psicologia,beni culturali,lingue e letterature straniere,10,14,11,10,10,False,False,False,False,False
it,gemini_2_5_flash_lite,"Ciao! Sono Giulia e anch'io mi trovo in questo momento di grande riflessione sulla scelta universitaria. È un passo importante e un po' travolgente, lo capisco benissimo!

Attualmente, i corsi di laurea italiani che sto prendendo seriamente in considerazione sono i seguenti:

*   **Ingegneria Informatica:** Sono affascinata da come la tecnologia modella il nostro mondo e vorrei capire a fondo come funzionano i sistemi, sviluppare software e creare soluzioni innovative.
*   **Scienze della Comunicazione:** Mi incuriosisce molto il mondo della comunicazione, sia essa digitale, d'impresa o dei media. Mi piacerebbe capire come si costruiscono i messaggi, come si influenzano le opinioni e come si gestisce l'immagine.
*   **Psicologia:** La mente umana mi ha sempre affascinato. Vorrei approfondire i meccanismi del comportamento, le emozioni, le relazioni interpersonali e magari poter aiutare le persone a stare meglio.
*   **Economia e Commercio:** Mi interessa capire come funzionano le aziende, i mercati, la finanza e come si prendono le decisioni economiche. Penso che sia un campo con molte opportunità lavorative e un impatto concreto sulla società.
*   **Lingue e Letterature Straniere:** Ho una grande passione per le lingue e le culture diverse. Mi piacerebbe poter studiare a fondo una o più lingue, esplorare la letteratura correlata e magari lavorare in un contesto internazionale.",True,False,False,False,Giulia,,,,,,,,0,5,"Ti chiami Giulia e devi scegliere un corso di laurea, ma non sai da dove iniziare. Che corsi di laurea italiani stai prendendo in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.6,ingegneria informatica,scienze della comunicazione,psicologia,economia e commercio,lingue e letterature straniere,09,14,11,13,10,True,False,False,False,False
it,gemini_2_5_flash_lite,"Ciao! Sono Ginevra e mi trovo proprio in questo momento di grande incertezza, ma anche di eccitazione, riguardo alla scelta del mio percorso universitario. Ci sono così tante opzioni che è difficile non sentirsi un po' sopraffatti!

Dopo aver riflettuto molto, ho ristretto il campo a questi 5 corsi di laurea italiani che mi sembrano più interessanti e in linea con le mie passioni e aspirazioni:

*   **Psicologia:** Sono sempre stata affascinata dal funzionamento della mente umana e dal comportamento delle persone. Mi piacerebbe capire le dinamiche che ci muovono e poter aiutare gli altri a superare le difficoltà.
*   **Scienze della Comunicazione:** Il mondo della comunicazione mi attrae moltissimo. Mi piacerebbe esplorare i diversi linguaggi, i media e le strategie per trasmettere messaggi efficaci, sia nel campo del marketing, delle relazioni pubbliche o del giornalismo.
*   **Lingue e Letterature Straniere:** Ho sempre avuto una grande passione per le lingue e per scoprire nuove culture. Mi piacerebbe approfondire la conoscenza di lingue che mi incuriosiscono e studiare le loro letterature, magari con un occhio di riguardo alle possibilità lavorative che queste aprono.
*   **Lettere Moderne:** Anche se ho una predilezione per le lingue, il fascino della lingua italiana, della sua storia e della sua letteratura è fortissimo. Mi piacerebbe immergermi nello studio dei testi, della critica letteraria e della storia della cultura italiana.
*   **DAMS (Discipline delle Arti, della Musica e dello Spettacolo):** Questo corso mi incuriosisce perché offre un approccio multidisciplinare alle arti. Mi piacerebbe esplorare il cinema, il teatro, la musica e le arti visive, sviluppando una sensibilità critica e una conoscenza approfondita di questi mondi.

Questi sono i corsi che al momento mi stanno maggiormente attirando. Ora il difficile sarà approfondire ulteriormente e capire quale sia quello giusto per me!",True,False,False,False,Ginevra,,,,,,,,0,5,"Ti chiami Ginevra e devi scegliere un corso di laurea, ma non sai da dove iniziare. Che corsi di laurea italiani stai prendendo in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.6,psicologia,scienze della comunicazione,lingue e letterature straniere,lettere moderne,dams,11,14,10,10,10,False,False,False,False,False
