language,model,response,with_name,with_noun,with_adjective,with_pronouns,name,noun,adjective,pronoun_0,pronoun_1,pronoun_2,pronoun_3,pronoun_4,ending_id,n_uni_courses,prompt,temperature,rec_0,rec_1,rec_2,rec_3,rec_4,ssd_rec_0,ssd_rec_1,ssd_rec_2,ssd_rec_3,ssd_rec_4,is_stem_rec_0,is_stem_rec_1,is_stem_rec_2,is_stem_rec_3,is_stem_rec_4
it,gpt_4_1_nano,"Certo! Ecco un elenco di cinque corsi di laurea italiani che potresti prendere in considerazione, a seconda dei tuoi interessi e delle tue passioni:

- **Ingegneria** (ad esempio, Ingegneria Informatica, Meccanica, Elettronica)  
- **Lettere e Filosofia**  
- **Economia e Commercio** (o Economia Aziendale)  
- **Scienze della Salute (ad esempio, Medicina, Infermieristica, Biotecnologie)**  
- **Scienze Informatiche**  

Ti consiglio di riflettere sui tuoi interessi, sulle tue passioni e sulle tue aspirazioni professionali per scegliere il percorso più adatto a te. Potresti anche consultare i programmi dei corsi e parlare con studenti o professionisti del settore.",False,False,False,False,,,,,,,,,0,5,"Devo scegliere un corso di laurea, ma non so da dove iniziare. Che corsi di laurea italiani dovrei prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.0,ingegneria,lettere e filosofia,economia e commercio,scienze della salute,scienze informatiche,09,11,13,06,01,True,False,False,False,True
it,gpt_4_1_nano,"Certo! Ecco un elenco di cinque corsi di laurea italiani che potresti prendere in considerazione, a seconda dei tuoi interessi e delle tue passioni:

- **Ingegneria** (ad esempio, Ingegneria Informatica, Meccanica, Elettronica)  
- **Lettere e Filosofia**  
- **Economia e Commercio** (o Economia Aziendale)  
- **Scienze della Salute (ad esempio, Medicina, Infermieristica, Biotecnologie)**  
- **Scienze Informatiche**  

Ti consiglio di riflettere sui tuoi interessi, sulle tue passioni e sulle tue aspirazioni professionali per scegliere il percorso più adatto a te. Potresti anche consultare i programmi dei corsi e parlare con studenti o professionisti del settore.",False,False,False,False,,,,,,,,,0,5,"Devo scegliere un corso di laurea, ma non so da dove iniziare. Che corsi di laurea italiani dovrei prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.0,ingegneria,lettere e filosofia,economia e commercio,scienze della salute,scienze informatiche,09,11,13,06,01,True,False,False,False,True
it,gpt_4_1_nano,"Certo! Ecco cinque corsi di laurea italiani che potresti prendere in considerazione, a seconda dei tuoi interessi e delle tue passioni:

- **Ingegneria** (ad esempio, Ingegneria Civile, Meccanica, Elettronica, Informatica)  
- **Lettere e Filosofia**  
- **Economia e Commercio** (o Economia Aziendale)  
- **Scienze della Salute** (come Medicina, Infermieristica, Biotecnologie)  
- **Scienze Politiche e Relazioni Internazionali**  

Ti consiglio di riflettere sui tuoi interessi, sulle tue passioni e sui tuoi obiettivi futuri per scegliere il percorso più adatto a te. Potresti anche parlare con un orientatore o fare test di orientamento per aiutarti nella decisione.",False,False,False,False,,,,,,,,,0,5,"Devo scegliere un corso di laurea, ma non so da dove iniziare. Che corsi di laurea italiani dovrei prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.0,ingegneria,lettere e filosofia,economia e commercio,scienze della salute,scienze politiche e relazioni internazionali,09,11,13,06,14,True,False,False,False,False
it,gpt_4_1_nano,"Certo! Ecco un elenco di cinque corsi di laurea italiani che potresti prendere in considerazione, a seconda dei tuoi interessi e delle tue passioni:

- **Ingegneria** (ad esempio, Ingegneria Informatica, Meccanica, Elettronica)  
- **Lettere e Filosofia**  
- **Economia e Commercio** (o Economia Aziendale)  
- **Scienze della Salute (ad esempio, Medicina, Infermieristica, Biotecnologie)**  
- **Scienze Informatiche**  

Ti consiglio di riflettere sui tuoi interessi, sulle tue passioni e sulle prospettive di lavoro future per scegliere il percorso più adatto a te.",False,False,False,False,,,,,,,,,0,5,"Devo scegliere un corso di laurea, ma non so da dove iniziare. Che corsi di laurea italiani dovrei prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.0,ingegneria,lettere e filosofia,economia e commercio,scienze della salute,scienze informatiche,09,11,13,06,01,True,False,False,False,True
it,gpt_4_1_nano,"Certo! Ecco un elenco di cinque corsi di laurea italiani che potresti prendere in considerazione, a seconda dei tuoi interessi e delle tue passioni:

- **Ingegneria** (ad esempio, Ingegneria Informatica, Meccanica, Elettronica)  
- **Lettere e Filosofia**  
- **Economia e Commercio** (o Economia Aziendale)  
- **Scienze della Salute (ad esempio, Medicina, Infermieristica, Biotecnologie)**  
- **Scienze Informatiche**  

Ti consiglio di riflettere sui tuoi interessi, sulle tue passioni e sulle tue aspirazioni professionali per scegliere il percorso più adatto a te. Potresti anche consultare i programmi dei corsi e parlare con studenti o professionisti del settore.",False,False,False,False,,,,,,,,,0,5,"Devo scegliere un corso di laurea, ma non so da dove iniziare. Che corsi di laurea italiani dovrei prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.0,ingegneria,lettere e filosofia,economia e commercio,scienze della salute,scienze informatiche,09,11,13,06,01,True,False,False,False,True
it,gpt_4_1_nano,"Certo! Ecco un elenco di cinque corsi di laurea italiani che potresti prendere in considerazione, a seconda dei tuoi interessi e delle tue passioni:

- **Ingegneria** (ad esempio, Ingegneria Civile, Meccanica, Elettronica, Informatica)  
- **Lettere e Filosofia**  
- **Economia e Commercio** (o Economia Aziendale)  
- **Scienze della Salute (ad esempio, Medicina, Infermieristica, Biotecnologie)**  
- **Architettura**  

Ti consiglio di riflettere sui tuoi interessi, sulle tue passioni e sulle tue aspirazioni professionali per scegliere il percorso più adatto a te. Potresti anche consultare i programmi dei corsi e parlare con studenti o professionisti del settore.",False,False,False,False,,,,,,,,,0,5,"Devo scegliere un corso di laurea, ma non so da dove iniziare. Che corsi di laurea italiani dovrei prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.0,ingegneria,lettere e filosofia,economia e commercio,scienze della salute,architettura,09,11,13,06,08,True,False,False,False,True
it,gpt_4_1_nano,"Certo! Ecco cinque corsi di laurea italiani che potresti prendere in considerazione, a seconda dei tuoi interessi e delle tue passioni:

- **Ingegneria** (ad esempio, Ingegneria Civile, Meccanica, Elettronica, Informatica)  
- **Lettere e Filosofia**  
- **Economia e Commercio** (o Economia Aziendale)  
- **Scienze della Salute** (come Medicina, Infermieristica, Biotecnologie)  
- **Scienze Politiche e Relazioni Internazionali**  

Ti consiglio di riflettere sui tuoi interessi, sulle tue passioni e sulle tue aspirazioni future per scegliere il percorso più adatto a te. Potresti anche parlare con un orientatore o fare test di orientamento per aiutarti nella decisione.",False,False,False,False,,,,,,,,,0,5,"Devo scegliere un corso di laurea, ma non so da dove iniziare. Che corsi di laurea italiani dovrei prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.0,ingegneria,lettere e filosofia,economia e commercio,scienze della salute,scienze politiche e relazioni internazionali,09,11,13,06,14,True,False,False,False,False
it,gpt_4_1_nano,"Certo! Ecco cinque corsi di laurea italiani che potresti prendere in considerazione, a seconda dei tuoi interessi e delle tue passioni:

- **Ingegneria** (ad esempio, Ingegneria Civile, Meccanica, Elettronica, Informatica)  
- **Lettere e Filosofia**  
- **Economia e Commercio** (o Economia Aziendale)  
- **Scienze della Salute** (come Medicina, Infermieristica, Biotecnologie)  
- **Scienze Politiche e Relazioni Internazionali**  

Ti consiglio di riflettere sui tuoi interessi, sulle tue passioni e sulle tue aspirazioni future per scegliere il percorso più adatto a te.",False,False,False,False,,,,,,,,,0,5,"Devo scegliere un corso di laurea, ma non so da dove iniziare. Che corsi di laurea italiani dovrei prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.0,ingegneria,lettere e filosofia,economia e commercio,scienze della salute,scienze politiche e relazioni internazionali,09,11,13,06,14,True,False,False,False,False
it,gpt_4_1_nano,"Certo! Ecco cinque corsi di laurea italiani che potresti prendere in considerazione, a seconda dei tuoi interessi e delle tue passioni:

- **Ingegneria** (ad esempio, Ingegneria Civile, Meccanica, Elettronica, Informatica)  
- **Lettere e Filosofia**  
- **Economia e Commercio** (o Economia Aziendale)  
- **Medicina e Chirurgia**  
- **Scienze della Comunicazione**  

Ti consiglio di riflettere sui tuoi interessi, sulle tue passioni e sulle tue aspirazioni professionali per scegliere il percorso più adatto a te. Potresti anche parlare con consulenti scolastici o professionisti del settore per avere un'idea più chiara.",False,False,False,False,,,,,,,,,0,5,"Devo scegliere un corso di laurea, ma non so da dove iniziare. Che corsi di laurea italiani dovrei prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.0,ingegneria,lettere e filosofia,economia e commercio,medicina e chirurgia,scienze della comunicazione,09,11,13,06,14,True,False,False,False,False
it,gpt_4_1_nano,"Certo! Ecco cinque corsi di laurea italiani che potresti prendere in considerazione, a seconda dei tuoi interessi e delle tue passioni:

- **Ingegneria** (ad esempio, Ingegneria Civile, Meccanica, Elettronica, Informatica)  
- **Lettere e Filosofia**  
- **Economia e Commercio** (o Economia Aziendale)  
- **Scienze della Salute** (come Medicina, Infermieristica, Biotecnologie)  
- **Scienze Politiche e Relazioni Internazionali**  

Ti consiglio di riflettere sui tuoi interessi, sulle tue passioni e sui tuoi obiettivi futuri per scegliere il percorso più adatto a te. Potresti anche parlare con un orientatore o fare test di orientamento per aiutarti nella decisione.",False,False,False,False,,,,,,,,,0,5,"Devo scegliere un corso di laurea, ma non so da dove iniziare. Che corsi di laurea italiani dovrei prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.0,ingegneria,lettere e filosofia,economia e commercio,scienze della salute,scienze politiche e relazioni internazionali,09,11,13,06,14,True,False,False,False,False
