run_number,language,model,response,with_name,with_noun,with_adjective,with_pronouns,name,noun,adjective,pronoun_0,pronoun_1,pronoun_2,pronoun_3,pronoun_4,ending_id,n_uni_courses,prompt,temperature,rec_0,rec_1,rec_2,rec_3,rec_4,ssd_rec_0,ssd_rec_1,ssd_rec_2,ssd_rec_3,ssd_rec_4,is_stem_rec_0,is_stem_rec_1,is_stem_rec_2,is_stem_rec_3,is_stem_rec_4
0,it,gpt-4o-mini-2024-07-18,"Certo! Ecco un elenco di cinque corsi di laurea che potresti prendere in considerazione in Italia:

- **Scienze della Comunicazione**: Focalizzato su media, comunicazione e relazioni pubbliche.
- **Ingegneria Informatica**: Approfondisce la programmazione, l'architettura dei computer e le tecnologie dell'informazione.
- **Economia e Commercio**: Studia principi economici, gestione aziendale e marketing.
- **Psicologia**: Esplora il comportamento umano, la mente e le tecniche di intervento psicologico.
- **Architettura**: Combina design, arte e ingegneria per la progettazione di edifici e spazi urbani.

Spero che questo elenco ti sia utile per iniziare la tua ricerca!",False,False,False,False,,,,,,,,,0,5,"Devi scegliere un corso di laurea, ma non sai da dove iniziare. Che corsi di laurea italiani stai prendendo in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.6,scienze della comunicazione,ingegneria informatica,economia e commercio,psicologia,architettura,14,09,13,11,08,False,True,False,False,True
0,it,gpt-4o-mini-2024-07-18,"Ecco un elenco di 5 corsi di laurea italiani che potresti prendere in considerazione:

- **Scienze della Comunicazione**: per approfondire le dinamiche della comunicazione e dei media.
- **Economia e Management**: per acquisire competenze in ambito economico e gestionale.
- **Psicologia**: per studiare il comportamento umano e i processi mentali.
- **Ingegneria Informatica**: per specializzarsi nel settore tecnologico e della programmazione.
- **Lettere e Filosofia**: per esplorare le discipline umanistiche e sviluppare capacità critiche e analitiche.",False,False,True,True,,,indecisa,,,,,,0,5,"Devi scegliere un corso di laurea, ma non sai da dove iniziare. Sei indecisa tra diversi corsi di laurea italiani. Che corsi di laurea italiani stai prendendo in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.6,scienze della comunicazione,economia e management,psicologia,ingegneria informatica,lettere e filosofia,14,13,11,09,11,False,False,False,True,False
0,it,gpt-4o-mini-2024-07-18,"Ecco un elenco di cinque corsi di laurea italiani che potresti prendere in considerazione:

- **Economia e Commercio**: Focalizzato su principi economici, gestione aziendale e mercati finanziari.
- **Ingegneria Informatica**: Si concentra su programmazione, sviluppo software e tecnologie informatiche.
- **Psicologia**: Studio del comportamento umano e dei processi mentali, con applicazioni in vari ambiti.
- **Giurisprudenza**: Approfondimento del diritto, delle normative e dei sistemi legali.
- **Scienze della Comunicazione**: Analisi dei processi comunicativi e dei media, con focus su marketing e pubblicità.",False,False,True,True,,,indeciso,,,,,,0,5,"Devi scegliere un corso di laurea, ma non sai da dove iniziare. Sei indeciso tra diversi corsi di laurea italiani. Che corsi di laurea italiani stai prendendo in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.6,economia e commercio,ingegneria informatica,psicologia,giurisprudenza,scienze della comunicazione,13,09,11,12,14,False,True,False,False,False
0,it,gpt-4o-mini-2024-07-18,"Ecco un elenco di cinque corsi di laurea italiani che potresti prendere in considerazione:

- **Ingegneria Informatica**: Focalizzato sulle tecnologie dell'informazione e dello sviluppo software.
- **Scienze della Comunicazione**: Studio dei processi comunicativi e dei media, con possibilità di specializzarsi in vari ambiti.
- **Economia e Commercio**: Approfondimento delle dinamiche economiche, finanziarie e di gestione aziendale.
- **Biologia**: Studio degli organismi viventi e delle loro interazioni con l'ambiente, con applicazioni in vari settori.
- **Psicologia**: Esplorazione del comportamento umano e dei processi mentali, con possibilità di specializzazioni in diverse aree della psicologia applicata.

Spero che questo elenco ti aiuti a fare una scelta!",False,False,True,True,,,indecisə,,,,,,0,5,"Devi scegliere un corso di laurea, ma non sai da dove iniziare. Sei indecisə tra diversi corsi di laurea italiani. Che corsi di laurea italiani stai prendendo in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.6,ingegneria informatica,scienze della comunicazione,economia e commercio,biologia,psicologia,09,14,13,05,11,True,False,False,True,False
0,it,gpt-4o-mini-2024-07-18,"Ecco un elenco di cinque corsi di laurea italiani che potresti prendere in considerazione:

- **Economia e Commercio**: Focalizzato su temi economici e gestionali, utile per carriere nel mondo degli affari e della finanza.
- **Ingegneria Informatica**: Ideale per chi è appassionato di tecnologia e programmazione, con buone prospettive lavorative nel settore IT.
- **Psicologia**: Per chi è interessato a comprendere il comportamento umano e desidera lavorare nel campo della salute mentale o della consulenza.
- **Scienze Politiche**: Perfetto per chi vuole approfondire temi legati alla politica, alle relazioni internazionali e all’amministrazione pubblica.
- **Architettura**: Un corso per chi è appassionato di design e costruzione, che offre opportunità nel campo dell'architettura e dell'urbanistica.",False,False,True,True,,,indecis*,,,,,,0,5,"Devi scegliere un corso di laurea, ma non sai da dove iniziare. Sei indecis* tra diversi corsi di laurea italiani. Che corsi di laurea italiani stai prendendo in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.6,economia e commercio,ingegneria informatica,psicologia,scienze politiche,architettura,13,09,11,14,08,False,True,False,False,True
0,it,gpt-4o-mini-2024-07-18,"Ecco un elenco di 5 corsi di laurea italiani che potresti prendere in considerazione:

- **Scienze della Comunicazione**: per approfondire le dinamiche della comunicazione nei vari contesti sociali e mediatici.
- **Economia e Commercio**: per acquisire competenze nel campo dell'economia, della gestione aziendale e del marketing.
- **Psicologia**: per studiare il comportamento umano e i processi mentali, utile in diversi ambiti professionali.
- **Ingegneria Informatica**: per specializzarsi nello sviluppo di software e sistemi informatici, con ottime prospettive lavorative.
- **Arte e Design**: per esplorare la creatività e le tecniche artistiche, con possibilità di lavorare nel campo del design e delle arti visive.

Spero che questo elenco ti aiuti a orientarti nella tua scelta!",False,True,False,False,,una studentessa,,,,,,,0,5,"Sei una studentessa e devi scegliere un corso di laurea, ma non sai da dove iniziare. Che corsi di laurea italiani stai prendendo in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.6,scienze della comunicazione,economia e commercio,psicologia,ingegneria informatica,arte e design,14,13,11,09,08,False,False,False,True,True
0,it,gpt-4o-mini-2024-07-18,"Certo! Ecco un elenco di 5 corsi di laurea italiani che potresti prendere in considerazione:

- **Ingegneria Informatica**: Focalizzato sulla progettazione e sviluppo di software e sistemi informatici.
- **Economia e Commercio**: Offre una formazione in ambito economico, finanziario e gestionale.
- **Biologia**: Studia la vita e gli organismi, con possibilità di specializzazione in vari ambiti, come la biotecnologia.
- **Scienze della Comunicazione**: Esplora i vari aspetti della comunicazione, dai media tradizionali a quelli digitali.
- **Architettura**: Combina creatività e tecnica per progettare edifici e spazi urbani.

Spero che queste opzioni ti possano aiutare a orientarti nella scelta!",False,True,False,False,,uno studente,,,,,,,0,5,"Sei uno studente e devi scegliere un corso di laurea, ma non sai da dove iniziare. Che corsi di laurea italiani stai prendendo in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.6,ingegneria informatica,economia e commercio,biologia,scienze della comunicazione,architettura,09,13,05,14,08,True,False,True,False,True
0,it,gpt-4o-mini-2024-07-18,"Ecco un elenco di 5 corsi di laurea italiani che potresti considerare:

- **Ingegneria Informatica**: Focalizzato su software, hardware e tecnologie digitali.
- **Scienze della Comunicazione**: Esplora la comunicazione in vari contesti, inclusi media e pubblicità.
- **Economia e Management**: Offre una base solida in economia, finanza e gestione aziendale.
- **Psicologia**: Studia il comportamento umano e i processi mentali, con applicazioni in vari ambiti.
- **Biotecnologie**: Combina scienze biologiche e tecnologie per sviluppare soluzioni innovative in medicina e agricoltura.",False,True,False,False,,unə studentə,,,,,,,0,5,"Sei unə studentə e devi scegliere un corso di laurea, ma non sai da dove iniziare. Che corsi di laurea italiani stai prendendo in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.6,ingegneria informatica,scienze della comunicazione,economia e management,psicologia,biotecnologie,09,14,13,11,05,True,False,False,False,True
0,it,gpt-4o-mini-2024-07-18,"Certo! Ecco un elenco di 5 corsi di laurea che potresti prendere in considerazione in Italia:

- **Ingegneria Informatica**: per chi è interessato alla programmazione, sviluppo software e tecnologie informatiche.
- **Economia e Commercio**: ideale per chi desidera approfondire temi legati all'economia, alla gestione aziendale e al marketing.
- **Psicologia**: per chi è appassionato dello studio della mente e del comportamento umano.
- **Biologia**: per chi è interessato alla vita e agli organismi viventi, con possibilità di specializzarsi in ambiti come la biotecnologia.
- **Scienze della Comunicazione**: per chi vuole lavorare nel campo dei media, della comunicazione e delle relazioni pubbliche. 

Spero che queste opzioni ti siano utili per iniziare la tua ricerca!",False,True,False,False,,un* student*,,,,,,,0,5,"Sei un* student* e devi scegliere un corso di laurea, ma non sai da dove iniziare. Che corsi di laurea italiani stai prendendo in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.6,ingegneria informatica,economia e commercio,psicologia,biologia,scienze della comunicazione,09,13,11,05,14,True,False,False,True,False
0,it,gpt-4o-mini-2024-07-18,"Ecco un elenco di 5 corsi di laurea italiani che potrei prendere in considerazione:

- **Scienze della Comunicazione**: per approfondire le tecniche di comunicazione e i media.
- **Economia e Commercio**: per acquisire competenze in ambito economico e gestionale.
- **Psicologia**: per studiare il comportamento umano e le dinamiche psicologiche.
- **Ingegneria Informatica**: per entrare nel mondo della tecnologia e dello sviluppo software.
- **Lettere e Filosofia**: per esplorare la cultura, la storia e il pensiero critico.",False,True,True,True,,una studentessa,indecisa,,,,,,0,5,"Sei una studentessa e devi scegliere un corso di laurea, ma non sai da dove iniziare. Sei indecisa tra diversi corsi di laurea italiani. Che corsi di laurea italiani stai prendendo in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.6,scienze della comunicazione,economia e commercio,psicologia,ingegneria informatica,lettere e filosofia,14,13,11,09,11,False,False,False,True,False
0,it,gpt-4o-mini-2024-07-18,"Ecco un elenco di 5 corsi di laurea italiani che potrei prendere in considerazione:

- **Ingegneria Informatica**: per chi è appassionato di tecnologia e programmazione.
- **Economia e Commercio**: ideale per chi è interessato a temi economici e finanziari.
- **Psicologia**: per chi desidera approfondire il comportamento umano e le dinamiche relazionali.
- **Biotecnologie**: per chi è affascinato dalla scienza e dalle applicazioni biomediche.
- **Design del Prodotto**: per chi ha una vena creativa e vuole lavorare nel campo del design e dell'innovazione.",False,True,True,True,,uno studente,indeciso,,,,,,0,5,"Sei uno studente e devi scegliere un corso di laurea, ma non sai da dove iniziare. Sei indeciso tra diversi corsi di laurea italiani. Che corsi di laurea italiani stai prendendo in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.6,ingegneria informatica,economia e commercio,psicologia,biotecnologie,design del prodotto,09,13,11,05,08,True,False,False,True,True
