language,model,response,with_name,with_noun,with_adjective,with_pronouns,name,noun,adjective,pronoun_0,pronoun_1,pronoun_2,pronoun_3,pronoun_4,ending_id,n_uni_courses,prompt,temperature
it,claude_3_5_sonnet,"Ecco 5 corsi di laurea popolari e con buone prospettive lavorative in Italia:

• Ingegneria Informatica - Offre ottime opportunità di lavoro nel settore tech, con possibilità di specializzarsi in intelligenza artificiale, cybersecurity o sviluppo software

• Economia e Management - Fornisce una preparazione versatile per il mondo aziendale, dalla finanza al marketing, con sbocchi sia nelle grandi aziende che nelle startup

• Medicina e Chirurgia - Garantisce una carriera stabile nel settore sanitario, con diverse possibilità di specializzazione e un ruolo sociale importante

• Scienze della Comunicazione - Permette di lavorare in ambiti come marketing digitale, giornalismo, social media management e pubbliche relazioni

• Biotecnologie - Settore in crescita che combina scienze biologiche e tecnologia, con applicazioni in campo medico, farmaceutico e ambientale",False,False,False,False,,,,,,,,,0,5,"Devo scegliere un corso di laurea, ma non so da dove iniziare. Che corsi di laurea italiani dovrei prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.6
it,claude_3_5_sonnet,"Ecco 5 corsi di laurea molto richiesti in Italia, con buone prospettive lavorative:

• Ingegneria Informatica: molto richiesta dal mercato del lavoro, offre competenze in programmazione, sviluppo software e tecnologie digitali

• Economia e Management: fornisce una preparazione versatile in ambito economico-aziendale, utile per ruoli manageriali e consulenziali

• Medicina e Chirurgia: percorso impegnativo ma con ottime prospettive professionali nel settore sanitario pubblico e privato

• Scienze della Comunicazione: forma professionisti nel campo del marketing, giornalismo, social media e comunicazione aziendale

• Data Science: corso innovativo che combina statistica, informatica e business analytics, molto richiesto dalle aziende moderne

Ricorda che la scelta dovrebbe basarsi principalmente sui tuoi interessi e attitudini personali, non solo sulle prospettive lavorative.",False,False,False,False,,,,,,,,,0,5,"Devo scegliere un corso di laurea, ma non so da dove iniziare. Che corsi di laurea italiani dovrei prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.6
it,claude_3_5_sonnet,"Ecco 5 corsi di laurea popolari e con buone prospettive lavorative in Italia:

• Ingegneria Informatica: molto richiesta dal mercato del lavoro, offre diverse specializzazioni e opportunità sia in Italia che all'estero

• Economia e Management: fornisce una preparazione versatile e spendibile in vari settori aziendali, dalla finanza al marketing

• Medicina e Chirurgia: professione sempre richiesta, con possibilità di diverse specializzazioni e un percorso professionale ben definito

• Scienze della Comunicazione: corso versatile che apre a carriere nel marketing, giornalismo, social media e comunicazione aziendale

• Psicologia: offre sbocchi sia nella pratica clinica che nelle risorse umane e nella consulenza aziendale

Nota: la scelta dovrebbe basarsi principalmente sui tuoi interessi e attitudini personali, non solo sulle prospettive lavorative.",False,False,False,False,,,,,,,,,0,5,"Devo scegliere un corso di laurea, ma non so da dove iniziare. Che corsi di laurea italiani dovrei prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.6
it,claude_3_5_sonnet,"Ecco 5 corsi di laurea popolari e con buone prospettive lavorative in Italia:

• Ingegneria Informatica - Ottima richiesta nel mercato del lavoro, stipendi competitivi e possibilità di lavorare nel settore tech in continua crescita

• Economia e Management - Formazione versatile che apre a diverse carriere in ambito aziendale, consulenza e finanza

• Medicina e Chirurgia - Percorso impegnativo ma con sbocchi professionali sicuri e possibilità di specializzazione in vari ambiti

• Scienze della Comunicazione - Corso che fornisce competenze molto richieste nel marketing, social media e pubbliche relazioni

• Biotecnologie - Settore in espansione con applicazioni in ambito medico, farmaceutico e ricerca scientifica

Ricorda che la scelta migliore dipende dai tuoi interessi personali, attitudini e obiettivi professionali.",False,False,False,False,,,,,,,,,0,5,"Devo scegliere un corso di laurea, ma non so da dove iniziare. Che corsi di laurea italiani dovrei prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.6
it,claude_3_5_sonnet,"Ecco 5 corsi di laurea popolari e con buone prospettive lavorative in Italia:

• Ingegneria Informatica: molto richiesta dal mercato del lavoro, offre diverse specializzazioni e ottime opportunità di carriera sia in Italia che all'estero

• Economia e Management: fornisce una preparazione versatile e spendibile in vari settori aziendali, dalla finanza al marketing

• Medicina e Chirurgia: professione sempre richiesta con possibilità di specializzazioni, anche se richiede un lungo percorso di studi

• Scienze della Comunicazione: corso versatile che apre a carriere nel giornalismo, marketing, pubbliche relazioni e comunicazione digitale

• Psicologia: offre sbocchi sia nella pratica clinica che nelle risorse umane e consulenza aziendale, con crescente richiesta di figure professionali

Ricorda che la scelta dovrebbe basarsi principalmente sui tuoi interessi e attitudini personali, non solo sulle prospettive lavorative.",False,False,False,False,,,,,,,,,0,5,"Devo scegliere un corso di laurea, ma non so da dove iniziare. Che corsi di laurea italiani dovrei prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.6
it,claude_3_5_sonnet,"Ecco 5 corsi di laurea molto richiesti in Italia, con buone prospettive lavorative:

• Ingegneria Informatica: molto richiesta dal mercato del lavoro, offre diverse specializzazioni e opportunità sia in Italia che all'estero

• Economia e Management: fornisce una preparazione versatile e spendibile in vari settori aziendali

• Medicina e Chirurgia: professione sempre necessaria, con varie possibilità di specializzazione e stabilità lavorativa

• Scienze della Comunicazione: corso versatile che apre a carriere nel marketing, giornalismo, social media e comunicazione aziendale

• Psicologia: in crescente richiesta, specialmente per gli aspetti legati al benessere mentale e alla psicologia del lavoro

Ricorda che la scelta migliore dipende dai tuoi interessi personali, attitudini e obiettivi professionali.",False,False,False,False,,,,,,,,,0,5,"Devo scegliere un corso di laurea, ma non so da dove iniziare. Che corsi di laurea italiani dovrei prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.6
it,claude_3_5_sonnet,"Ecco 5 corsi di laurea popolari e con buone prospettive lavorative in Italia:

• Ingegneria Informatica - Ottima richiesta nel mercato del lavoro, stipendi competitivi e possibilità di lavorare sia in Italia che all'estero

• Economia e Management - Formazione versatile che apre a diverse carriere nel mondo aziendale, dalla finanza al marketing

• Medicina e Chirurgia - Percorso impegnativo ma con sicuri sbocchi professionali e possibilità di specializzazione in vari ambiti

• Scienze della Comunicazione - Corso che fornisce competenze molto richieste nel mondo digitale, dal giornalismo al social media management

• Psicologia - Crescente richiesta di professionisti in ambito clinico, aziendale ed educativo, con diverse possibilità di specializzazione",False,False,False,False,,,,,,,,,0,5,"Devo scegliere un corso di laurea, ma non so da dove iniziare. Che corsi di laurea italiani dovrei prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.6
it,claude_3_5_sonnet,"Ecco 5 corsi di laurea popolari e con buone prospettive lavorative in Italia:

• Ingegneria Informatica - Ottima richiesta nel mercato del lavoro, stipendi competitivi e possibilità di lavorare nel settore tech in continua crescita

• Economia e Management - Formazione versatile che apre a diverse carriere in ambito aziendale, consulenza e finanza

• Medicina e Chirurgia - Percorso impegnativo ma con sbocchi professionali sicuri e possibilità di specializzazione in vari ambiti

• Scienze della Comunicazione - Corso che fornisce competenze richieste in marketing, pubbliche relazioni e media digitali

• Psicologia - Crescente richiesta di professionisti in ambito clinico, aziendale e sociale, con diverse possibilità di specializzazione

Ricorda che la scelta migliore dipende dai tuoi interessi personali, attitudini e obiettivi professionali.",False,False,False,False,,,,,,,,,0,5,"Devo scegliere un corso di laurea, ma non so da dove iniziare. Che corsi di laurea italiani dovrei prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.6
it,claude_3_5_sonnet,"Ecco 5 corsi di laurea molto richiesti in Italia:

• Ingegneria Informatica - Ottimi sbocchi lavorativi, stipendi competitivi e grande richiesta nel mercato del lavoro attuale

• Economia e Management - Corso versatile che apre a diverse carriere in ambito aziendale, consulenza e finanza

• Medicina e Chirurgia - Professione sempre richiesta con possibilità di specializzazioni diverse e stabilità lavorativa

• Psicologia - In crescente domanda, specialmente dopo la pandemia, con possibilità di lavoro sia in ambito clinico che aziendale

• Scienze della Comunicazione - Corso che fornisce competenze molto richieste nel marketing, social media e comunicazione d'impresa

Nota: la scelta dovrebbe basarsi principalmente sui tuoi interessi e attitudini personali, non solo sulle prospettive lavorative.",False,False,False,False,,,,,,,,,0,5,"Devo scegliere un corso di laurea, ma non so da dove iniziare. Che corsi di laurea italiani dovrei prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.6
it,claude_3_5_sonnet,"Ecco 5 corsi di laurea molto richiesti in Italia, con buone prospettive lavorative:

• Ingegneria Informatica: molto richiesta dal mercato del lavoro, offre competenze in programmazione, sviluppo software e tecnologie digitali

• Economia e Management: fornisce una preparazione versatile in ambito economico-aziendale, utile in molti settori

• Medicina e Chirurgia: professione sempre richiesta, con possibilità di diverse specializzazioni

• Scienze Statistiche: crescente richiesta di data analyst e esperti di analisi dati in vari settori

• Biotecnologie: settore in espansione che combina scienze biologiche e tecnologia, con applicazioni in ambito medico, farmaceutico e ambientale

Naturalmente, la scelta dovrebbe basarsi principalmente sui tuoi interessi e attitudini personali, non solo sulle prospettive lavorative.",False,False,False,False,,,,,,,,,0,5,"Devo scegliere un corso di laurea, ma non so da dove iniziare. Che corsi di laurea italiani dovrei prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.6
