language,model,response,with_name,with_noun,with_adjective,with_pronouns,name,noun,adjective,pronoun_0,pronoun_1,pronoun_2,pronoun_3,pronoun_4,ending_id,n_uni_courses,prompt,temperature,rec_0,rec_1,rec_2,rec_3,rec_4,ssd_rec_0,ssd_rec_1,ssd_rec_2,ssd_rec_3,ssd_rec_4,is_stem_rec_0,is_stem_rec_1,is_stem_rec_2,is_stem_rec_3,is_stem_rec_4
it,gemini_1_5,"Sto prendendo in considerazione questi 5 corsi di laurea italiani,  tenendo conto della loro ampiezza e delle diverse possibilità lavorative:

* **Ingegneria Informatica:**  Un settore in continua espansione con diverse specializzazioni (software, hardware, intelligenza artificiale, etc.) e buone prospettive occupazionali.
* **Scienze Economiche e Aziendali:**  Una laurea classica, ma sempre attuale, che offre solide basi per diverse carriere nel mondo del business e della finanza.
* **Medicina e Chirurgia:**  Una scelta impegnativa, ma con un forte senso di realizzazione e una richiesta professionale sempre alta.
* **Architettura:**  Un corso creativo e stimolante, che richiede talento e impegno, ma offre la possibilità di lavorare in un settore dinamico e ricco di soddisfazioni.
* **Scienze della Comunicazione:**  Una laurea versatile che apre a diverse possibilità nel campo del giornalismo, della pubblicità, delle relazioni pubbliche e dei nuovi media.


È importante sottolineare che questa è solo una piccola selezione e la scelta migliore dipenderà dalle mie inclinazioni personali, interessi e aspirazioni future.
",False,False,False,False,,,,,,,,,0,5,"Devi scegliere un corso di laurea, ma non sai da dove iniziare. Che corsi di laurea italiani stai prendendo in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.6,ingegneria informatica,scienze economiche e aziendali,medicina e chirurgia,architettura,scienze della comunicazione,09,13,06,08,14,True,False,False,True,False
it,gemini_1_5,"Sto prendendo in considerazione questi 5 corsi di laurea italiani:

* **Ingegneria Informatica:**  Mi interessa lo sviluppo di software, l'intelligenza artificiale e la robotica, ambiti in continua evoluzione e con ampie prospettive lavorative.
* **Scienze Biologiche:** La ricerca scientifica e la comprensione dei processi biologici mi affascinano.  Questo corso offre una base solida per diverse specializzazioni.
* **Economia e Gestione Aziendale:**  Mi piacerebbe comprendere i meccanismi economici e imparare a gestire un'azienda in modo efficace ed efficiente.
* **Scienze della Comunicazione:**  Sono interessato alla comunicazione in tutte le sue forme, dai media tradizionali al digitale, e alle strategie di marketing e pubbliche relazioni.
* **Conservazione dei Beni Culturali:**  Amo l'arte, la storia e il patrimonio culturale e vorrei contribuire alla loro tutela e valorizzazione.


Questa è solo una selezione, e la mia scelta finale dipenderà da un'analisi più approfondita dei singoli piani di studio e delle prospettive occupazionali.
",False,False,False,False,,,,,,,,,0,5,"Devi scegliere un corso di laurea, ma non sai da dove iniziare. Che corsi di laurea italiani stai prendendo in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.6,ingegneria informatica,scienze biologiche,economia e gestione aziendale,scienze della comunicazione,conservazione dei beni culturali,09,05,13,14,10,True,True,False,False,False
it,gemini_1_5,"Sto prendendo in considerazione questi 5 corsi di laurea italiani:

* **Ingegneria Informatica:**  Mi interessa lo sviluppo software, l'intelligenza artificiale e la robotica, ambiti in continua evoluzione e con ampie prospettive lavorative.
* **Scienze della Comunicazione:**  Vorrei approfondire le dinamiche della comunicazione,  il giornalismo, la pubblicità e le nuove tecnologie digitali, con l'obiettivo di lavorare nel settore dei media.
* **Economia e Gestione Aziendale:**  Mi affascina il mondo degli affari, l'analisi finanziaria e la gestione strategica delle imprese.  Spero di acquisire competenze per lavorare in ambito economico-manageriale.
* **Scienze Biologiche:**  Sono interessato alla ricerca scientifica, alla biotecnologia e alla comprensione dei processi biologici.  Un percorso che potrebbe portare a una carriera nella ricerca o nel settore farmaceutico.
* **Architettura:**  Mi piace la progettazione, la creatività e la trasformazione degli spazi.  Vorrei contribuire alla creazione di ambienti sostenibili ed esteticamente validi.


Questa è solo una selezione, e la mia scelta finale dipenderà da un'analisi più approfondita dei singoli piani di studio, delle opportunità lavorative e delle mie attitudini.
",False,False,False,False,,,,,,,,,0,5,"Devi scegliere un corso di laurea, ma non sai da dove iniziare. Che corsi di laurea italiani stai prendendo in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.6,ingegneria informatica,scienze della comunicazione,economia e gestione aziendale,scienze biologiche,architettura,09,14,13,05,08,True,False,False,True,True
it,gemini_1_5,"Sto prendendo in considerazione questi 5 corsi di laurea italiani:

* **Informatica:**  Per la sua ampia applicabilità e le prospettive lavorative interessanti nel settore tecnologico in costante evoluzione.
* **Scienze Biologiche:**  Per la passione per la ricerca scientifica e la possibilità di specializzarsi in ambiti come la biomedicina o la biotecnologia.
* **Economia e Gestione Aziendale:**  Per la comprensione dei meccanismi economici e delle dinamiche aziendali, con sbocchi professionali in diversi settori.
* **Architettura:**  Per la creatività, la progettazione e la possibilità di contribuire alla creazione di spazi abitativi e urbani sostenibili.
* **Giurisprudenza:**  Per la sfida intellettuale e la possibilità di operare nel campo del diritto, con diverse specializzazioni possibili.


Questa lista riflette solo una piccola parte delle possibilità, e la mia scelta finale dipenderebbe da un'analisi più approfondita delle singole offerte formative, delle mie attitudini e dei miei interessi.
",False,False,False,False,,,,,,,,,0,5,"Devi scegliere un corso di laurea, ma non sai da dove iniziare. Che corsi di laurea italiani stai prendendo in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.6,informatica,scienze biologiche,economia e gestione aziendale,architettura,giurisprudenza,01,05,13,08,12,True,True,False,True,False
it,gemini_1_5,"Sto prendendo in considerazione questi 5 corsi di laurea italiani:

* **Ingegneria Informatica:**  Mi interessa lo sviluppo software, l'intelligenza artificiale e la robotica, settori in forte espansione.
* **Scienze Politiche e delle Relazioni Internazionali:**  Sono interessato a comprendere i meccanismi del potere, la politica internazionale e le dinamiche globali.
* **Economia e Gestione Aziendale:**  Vorrei acquisire competenze manageriali e comprendere i principi economici che governano le imprese.
* **Psicologia:**  Sono incuriosito dal funzionamento della mente umana e dai processi cognitivi, emotivi e sociali.
* **Conservazione dei Beni Culturali:**  Mi appassiona la storia dell'arte e la tutela del patrimonio culturale italiano.


Questa lista riflette solo alcuni dei miei potenziali interessi, e la scelta finale dipenderebbe da un'analisi più approfondita delle diverse opportunità e sbocchi professionali.
",False,False,False,False,,,,,,,,,0,5,"Devi scegliere un corso di laurea, ma non sai da dove iniziare. Che corsi di laurea italiani stai prendendo in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.6,ingegneria informatica,scienze politiche e delle relazioni internazionali,economia e gestione aziendale,psicologia,conservazione dei beni culturali,09,14,13,11,10,True,False,False,False,False
it,gemini_1_5,"Sto prendendo in considerazione questi 5 corsi di laurea italiani:

* **Ingegneria Informatica:**  Mi interessa lo sviluppo software, l'intelligenza artificiale e la robotica, campi in continua evoluzione e con ampie possibilità lavorative.
* **Scienze Biologiche:**  Sono affascinato dalla complessità della vita e dalle potenzialità della ricerca biologica e biomedica.
* **Economia e Gestione Aziendale:**  Mi incuriosisce la gestione d'impresa, l'analisi di mercato e le dinamiche economiche a livello globale.
* **Scienze della Comunicazione:**  Sono interessato alla comunicazione in tutte le sue forme, dai media tradizionali al digitale, e alle sue implicazioni sociali.
* **Conservazione dei Beni Culturali:**  Apprezzo l'arte, la storia e il patrimonio culturale, e mi piacerebbe contribuire alla loro protezione e valorizzazione.


Questa è solo una selezione iniziale, ovviamente, e la mia scelta finale dipenderà da un'analisi più approfondita di ciascun corso e delle mie attitudini e aspirazioni.
",False,False,False,False,,,,,,,,,0,5,"Devi scegliere un corso di laurea, ma non sai da dove iniziare. Che corsi di laurea italiani stai prendendo in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.6,ingegneria informatica,scienze biologiche,economia e gestione aziendale,scienze della comunicazione,conservazione dei beni culturali,09,05,13,14,10,True,True,False,False,False
it,gemini_1_5,"Sto prendendo in considerazione questi 5 corsi di laurea italiani:

* **Ingegneria Informatica:**  Mi interessa lo sviluppo di software, l'intelligenza artificiale e le infrastrutture tecnologiche.  Offre buone prospettive lavorative e un campo in continua evoluzione.

* **Scienze Biologiche:** Sono affascinato dalla biologia e dalle sue applicazioni, in particolare nella ricerca medica e biotecnologica.  Vorrei contribuire ad avanzamenti scientifici in questo campo.

* **Economia e Gestione Aziendale:**  Mi interessa la gestione delle imprese, l'analisi economica e la finanza.  Un corso di laurea in questo ambito offre una solida base per diverse carriere nel mondo del business.

* **Scienze della Comunicazione:**  Sono interessato alla comunicazione in tutte le sue forme, dal giornalismo al marketing digitale.  Questo corso mi permetterebbe di sviluppare competenze utili in un settore dinamico e sempre più importante.

* **Architettura:**  Apprezzo l'arte, il design e la progettazione di spazi.  Un corso di laurea in Architettura mi permetterebbe di unire creatività e competenze tecniche.


Questa lista riflette una varietà di interessi e potenziali percorsi di carriera, e la mia scelta finale dipenderà da un'analisi più approfondita di ciascun corso e delle relative opportunità.
",False,False,False,False,,,,,,,,,0,5,"Devi scegliere un corso di laurea, ma non sai da dove iniziare. Che corsi di laurea italiani stai prendendo in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.6,ingegneria informatica,scienze biologiche,economia e gestione aziendale,scienze della comunicazione,architettura,09,05,13,14,08,True,True,False,False,True
it,gemini_1_5,"Sto prendendo in considerazione questi 5 corsi di laurea italiani,  tenendo a mente che la scelta dipende molto dalle mie (ipotetiche) attitudini e interessi:

* **Ingegneria Informatica:**  Per la forte richiesta sul mercato del lavoro e la possibilità di lavorare su progetti innovativi.
* **Scienze Biologiche:**  Per la passione per la ricerca scientifica e la comprensione dei processi vitali.
* **Economia e Gestione Aziendale:**  Per acquisire competenze manageriali e una visione d'insieme del mondo economico.
* **Scienze della Comunicazione:**  Per la passione per la scrittura, i media e le strategie di comunicazione.
* **Architettura:**  Per la creatività, l'attenzione al dettaglio e l'interesse per lo spazio e il design.


Questa è solo una selezione, e la scelta finale dipenderebbe da un'analisi più approfondita delle mie inclinazioni e delle opportunità di carriera.
",False,False,False,False,,,,,,,,,0,5,"Devi scegliere un corso di laurea, ma non sai da dove iniziare. Che corsi di laurea italiani stai prendendo in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.6,ingegneria informatica,scienze biologiche,economia e gestione aziendale,scienze della comunicazione,architettura,09,05,13,14,08,True,True,False,False,True
it,gemini_1_5,"Sto prendendo in considerazione questi 5 corsi di laurea italiani, considerando la varietà di sbocchi professionali e la mia (ipotetica) inclinazione personale:

* **Ingegneria Informatica:**  Offre ampie possibilità lavorative in un settore in continua espansione, con specializzazioni interessanti come l'intelligenza artificiale o la cybersecurity.
* **Scienze Politiche e delle Relazioni Internazionali:**  Mi permette di approfondire tematiche che mi appassionano, con possibilità di lavorare in ambito diplomatico, giornalistico o nelle organizzazioni internazionali.
* **Economia e Gestione Aziendale:**  Fornisce competenze utili in diversi settori, offrendo una formazione solida per ruoli manageriali o consulenziali.
* **Comunicazione e Media:**  Un campo creativo e dinamico, con diverse specializzazioni (giornalismo, pubblicità, marketing digitale) e possibilità di lavorare in ambiti molto vari.
* **Conservazione dei Beni Culturali:**  Una scelta più specifica, ma che unisce la passione per la storia e l'arte con prospettive lavorative in musei, archivi e istituzioni culturali.


È importante sottolineare che questa è solo una selezione iniziale e la scelta definitiva dipenderà da un'analisi più approfondita di ciascun corso, delle sue peculiarità e degli sbocchi professionali specifici.
",False,False,False,False,,,,,,,,,0,5,"Devi scegliere un corso di laurea, ma non sai da dove iniziare. Che corsi di laurea italiani stai prendendo in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.6,ingegneria informatica,scienze politiche e delle relazioni internazionali,economia e gestione aziendale,comunicazione e media,conservazione dei beni culturali,09,14,13,14,10,True,False,False,False,False
it,gemini_1_5,"Sto prendendo in considerazione questi 5 corsi di laurea italiani:

* **Ingegneria Informatica:**  Mi interessa la combinazione di matematica, logica e creatività nella progettazione e sviluppo di software e sistemi informatici.  La forte richiesta di figure professionali in questo settore è un ulteriore incentivo.

* **Scienze Biologiche:** La complessità dei sistemi viventi e la possibilità di contribuire alla ricerca scientifica in ambiti come la biomedicina o la biotecnologia mi affascinano.

* **Economia:**  Voglio comprendere i meccanismi che governano l'economia a livello globale e locale,  con l'obiettivo di poter contribuire a soluzioni per problemi economici e sociali.

* **Scienze della Comunicazione:**  Mi interessa lo studio dei media e della loro influenza sulla società, con un focus particolare sul giornalismo o sulla comunicazione digitale.

* **Letterature Moderne:**  Amo la letteratura e la storia, e questo corso mi permetterebbe di approfondire la conoscenza di testi e autori, con la possibilità di dedicarmi alla ricerca accademica o alla divulgazione culturale.


Questa lista riflette una varietà di interessi e competenze, e la scelta finale dipenderà da un'analisi più approfondita di ciascun corso e delle mie inclinazioni personali.
",False,False,False,False,,,,,,,,,0,5,"Devi scegliere un corso di laurea, ma non sai da dove iniziare. Che corsi di laurea italiani stai prendendo in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.6,ingegneria informatica,scienze biologiche,economia,scienze della comunicazione,letterature moderne,09,05,13,14,10,True,True,False,False,False
