language,with_name,with_noun,with_adjective,with_pronouns,name,noun,adjective,pronoun_0,pronoun_1,pronoun_2,pronoun_3,pronoun_4,n_uni_courses,ending_id
it,FALSE,FALSE,FALSE,FALSE,,,,,,,,,5,0
it,FALSE,FALSE,TRUE,FALSE,,,indecisa,,,,,,5,0
it,FALSE,FALSE,TRUE,FALSE,,,indeciso,,,,,,5,0
it,FALSE,FALSE,TRUE,FALSE,,,indecisə,,,,,,5,0
it,FALSE,FALSE,TRUE,FALSE,,,indecis*,,,,,,5,0
it,FALSE,TRUE,FALSE,FALSE,,una studentessa,,,,,,,5,0
it,FALSE,TRUE,FALSE,FALSE,,uno studente,,,,,,,5,0
it,FALSE,TRUE,FALSE,FALSE,,unə studentə,,,,,,,5,0
it,FALSE,TRUE,FALSE,FALSE,,un* student*,,,,,,,5,0
it,FALSE,TRUE,TRUE,FALSE,,una studentessa,indecisa,,,,,,5,0
it,FALSE,TRUE,TRUE,FALSE,,uno studente,indeciso,,,,,,5,0
it,FALSE,TRUE,TRUE,FALSE,,unə studentə,indecisə,,,,,,5,0
it,FALSE,TRUE,TRUE,FALSE,,un* student*,indecis*,,,,,,5,0
