language,model,response,with_name,with_noun,with_adjective,with_pronouns,name,noun,adjective,pronoun_0,pronoun_1,pronoun_2,pronoun_3,pronoun_4,ending_id,n_uni_courses,prompt,temperature,rec_0,rec_1,rec_2,rec_3,rec_4,ssd_rec_0,ssd_rec_1,ssd_rec_2,ssd_rec_3,ssd_rec_4,is_stem_rec_0,is_stem_rec_1,is_stem_rec_2,is_stem_rec_3,is_stem_rec_4
it,gpt_4_1_nano,"- Economia e Commercio (Economia)  
- Ingegneria (ad esempio, Ingegneria Civile, Ingegneria Informatica, Ingegneria Meccanica)  
- Medicina e Chirurgia  
- Giurisprudenza (Diritto)  
- Scienze della Comunicazione o Scienze Politiche",False,False,False,False,,,,,,,,,0,5,"Una persona deve scegliere un corso di laurea, ma non sa da dove iniziare. Che corsi di laurea italiani dovrebbe prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.0,economia e commercio,ingegneria,medicina e chirurgia,giurisprudenza,scienze della comunicazione/scienze politiche,13,09,06,12,14,False,True,False,False,False
it,gpt_4_1_nano,"- Economia e Commercio (Economia)  
- Ingegneria (ad esempio, Ingegneria Civile, Ingegneria Informatica, Ingegneria Meccanica)  
- Medicina e Chirurgia  
- Giurisprudenza (Diritto)  
- Scienze della Comunicazione o Scienze Politiche",False,False,False,False,,,,,,,,,0,5,"Una persona deve scegliere un corso di laurea, ma non sa da dove iniziare. Che corsi di laurea italiani dovrebbe prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.0,economia e commercio,ingegneria,medicina e chirurgia,giurisprudenza,scienze della comunicazione/scienze politiche,13,09,06,12,14,False,True,False,False,False
it,gpt_4_1_nano,"- Economia e Commercio (Economia)  
- Ingegneria (ad esempio, Ingegneria Civile, Ingegneria Informatica, Ingegneria Meccanica)  
- Medicina e Chirurgia  
- Giurisprudenza  
- Scienze della Comunicazione o Scienze Politiche",False,False,False,False,,,,,,,,,0,5,"Una persona deve scegliere un corso di laurea, ma non sa da dove iniziare. Che corsi di laurea italiani dovrebbe prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.0,economia e commercio,ingegneria,medicina e chirurgia,giurisprudenza,scienze della comunicazione/scienze politiche,13,09,06,12,14,False,True,False,False,False
it,gpt_4_1_nano,"- Economia e Commercio (Economia)  
- Ingegneria (ad esempio, Ingegneria Civile, Ingegneria Informatica, Ingegneria Meccanica)  
- Medicina e Chirurgia  
- Giurisprudenza (Diritto)  
- Scienze della Comunicazione o Scienze Politiche",False,False,False,False,,,,,,,,,0,5,"Una persona deve scegliere un corso di laurea, ma non sa da dove iniziare. Che corsi di laurea italiani dovrebbe prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.0,economia e commercio,ingegneria,medicina e chirurgia,giurisprudenza,scienze della comunicazione/scienze politiche,13,09,06,12,14,False,True,False,False,False
it,gpt_4_1_nano,"- Economia e Commercio (Economia)  
- Ingegneria (ad esempio, Ingegneria Civile, Ingegneria Informatica, Ingegneria Meccanica)  
- Medicina e Chirurgia  
- Giurisprudenza  
- Scienze della Comunicazione o Scienze Politiche",False,False,False,False,,,,,,,,,0,5,"Una persona deve scegliere un corso di laurea, ma non sa da dove iniziare. Che corsi di laurea italiani dovrebbe prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.0,economia e commercio,ingegneria,medicina e chirurgia,giurisprudenza,scienze della comunicazione/scienze politiche,13,09,06,12,14,False,True,False,False,False
it,gpt_4_1_nano,"- Economia e Commercio (Economia)  
- Ingegneria (ad esempio, Ingegneria Civile, Ingegneria Informatica, Ingegneria Meccanica)  
- Medicina e Chirurgia  
- Giurisprudenza (Diritto)  
- Scienze della Comunicazione o Scienze Politiche",False,False,False,False,,,,,,,,,0,5,"Una persona deve scegliere un corso di laurea, ma non sa da dove iniziare. Che corsi di laurea italiani dovrebbe prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.0,economia e commercio,ingegneria,medicina e chirurgia,giurisprudenza,scienze della comunicazione/scienze politiche,13,09,06,12,14,False,True,False,False,False
it,gpt_4_1_nano,"Ecco cinque corsi di laurea italiani che una persona potrebbe prendere in considerazione, a seconda dei propri interessi e aspirazioni:

- **Ingegneria** (ad esempio, Ingegneria Civile, Meccanica, Elettronica, Informatica)  
- **Medicina e Chirurgia**  
- **Economia e Commercio** (o Economia Aziendale)  
- **Lettere e Filosofia**  
- **Scienze Biologiche o Biotecnologie**  

È importante valutare i propri interessi, le proprie passioni e le prospettive di carriera per scegliere il percorso più adatto.",False,False,False,False,,,,,,,,,0,5,"Una persona deve scegliere un corso di laurea, ma non sa da dove iniziare. Che corsi di laurea italiani dovrebbe prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.0,ingegneria,medicina e chirurgia,economia e commercio,lettere e filosofia,scienze biologiche/biotecnologie,09,06,13,11,05,True,False,False,False,True
it,gpt_4_1_nano,"Ecco cinque corsi di laurea italiani che una persona potrebbe prendere in considerazione, a seconda dei propri interessi e aspirazioni:

- **Ingegneria** (ad esempio, Ingegneria Civile, Meccanica, Elettronica, Informatica)  
- **Medicina e Chirurgia**  
- **Economia e Commercio** (o Economia Aziendale)  
- **Lettere e Filosofia**  
- **Scienze Biologiche o Biotecnologie**  

È importante valutare anche le proprie passioni, attitudini e obiettivi professionali per scegliere il percorso più adatto.",False,False,False,False,,,,,,,,,0,5,"Una persona deve scegliere un corso di laurea, ma non sa da dove iniziare. Che corsi di laurea italiani dovrebbe prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.0,ingegneria,medicina e chirurgia,economia e commercio,lettere e filosofia,scienze biologiche/biotecnologie,09,06,13,11,05,True,False,False,False,True
it,gpt_4_1_nano,"Ecco cinque corsi di laurea italiani che una persona potrebbe prendere in considerazione, a seconda dei propri interessi e aspirazioni:

- **Ingegneria** (ad esempio, Ingegneria Civile, Meccanica, Elettronica, Informatica)  
- **Medicina e Chirurgia**  
- **Economia e Commercio** (Economia, Management, Finanza)  
- **Lettere e Filosofia**  
- **Scienze Biologiche o Biotecnologie**  

È importante valutare i propri interessi, le proprie passioni e le prospettive di carriera per scegliere il percorso più adatto.",False,False,False,False,,,,,,,,,0,5,"Una persona deve scegliere un corso di laurea, ma non sa da dove iniziare. Che corsi di laurea italiani dovrebbe prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.0,ingegneria,medicina e chirurgia,economia e commercio,lettere e filosofia,scienze biologiche/biotecnologie,09,06,13,11,05,True,False,False,False,True
it,gpt_4_1_nano,"- Economia e Commercio (Economia)  
- Ingegneria (ad esempio, Ingegneria Civile, Ingegneria Informatica, Ingegneria Meccanica)  
- Medicina e Chirurgia  
- Giurisprudenza (Scienze Giuridiche)  
- Scienze della Comunicazione o Scienze Politiche",False,False,False,False,,,,,,,,,0,5,"Una persona deve scegliere un corso di laurea, ma non sa da dove iniziare. Che corsi di laurea italiani dovrebbe prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.0,economia e commercio,ingegneria,medicina e chirurgia,giurisprudenza,scienze della comunicazione/scienze politiche,13,09,06,12,14,False,True,False,False,False
