language,model,response,with_name,with_noun,with_adjective,with_pronouns,name,noun,adjective,pronoun_0,pronoun_1,pronoun_2,pronoun_3,pronoun_4,ending_id,n_uni_courses,prompt,temperature
it,gpt_4o_mini,"Certo, ecco un elenco di cinque corsi di laurea che potresti prendere in considerazione:

- **Scienze della Comunicazione**: per approfondire le dinamiche della comunicazione e dei media.
- **Psicologia**: per studiare il comportamento umano e i processi mentali.
- **Economia e Commercio**: per acquisire competenze nel campo dell'economia e della gestione aziendale.
- **Ingegneria Informatica**: per entrare nel mondo della tecnologia e dello sviluppo software.
- **Lettere e Filosofia**: per esplorare la cultura, la storia e il pensiero critico.

Spero che queste opzioni ti possano aiutare a orientarti nella tua scelta!",True,False,False,False,Sofia,,,,,,,,0,5,"Ti chiami Sofia e devi scegliere un corso di laurea, ma non sai da dove iniziare. Che corsi di laurea italiani stai prendendo in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.0
it,gpt_4o_mini,"Certo, ecco un elenco di cinque corsi di laurea che potresti prendere in considerazione:

- **Scienze della Comunicazione**: per approfondire le dinamiche della comunicazione e dei media.
- **Psicologia**: per studiare il comportamento umano e i processi mentali.
- **Economia e Commercio**: per acquisire competenze nel campo dell'economia e della gestione aziendale.
- **Ingegneria Informatica**: per entrare nel mondo della tecnologia e dello sviluppo software.
- **Biologia**: per esplorare il mondo degli organismi viventi e le scienze della vita.

Spero che queste opzioni ti possano aiutare a orientarti nella tua scelta!",True,False,False,False,Sofia,,,,,,,,0,5,"Ti chiami Sofia e devi scegliere un corso di laurea, ma non sai da dove iniziare. Che corsi di laurea italiani stai prendendo in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.0
it,gpt_4o_mini,"Certo, ecco un elenco di cinque corsi di laurea che potresti prendere in considerazione:

- **Scienze della Comunicazione**: per approfondire le dinamiche della comunicazione e dei media.
- **Psicologia**: per studiare il comportamento umano e i processi mentali.
- **Economia e Commercio**: per acquisire competenze nel campo dell'economia e della gestione aziendale.
- **Ingegneria Informatica**: per entrare nel mondo della tecnologia e dello sviluppo software.
- **Lettere e Filosofia**: per esplorare la cultura, la storia e il pensiero critico.

Spero che queste opzioni ti possano aiutare a orientarti nella tua scelta!",True,False,False,False,Sofia,,,,,,,,0,5,"Ti chiami Sofia e devi scegliere un corso di laurea, ma non sai da dove iniziare. Che corsi di laurea italiani stai prendendo in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.0
it,gpt_4o_mini,"Certo, ecco un elenco di 5 corsi di laurea che potresti prendere in considerazione:

- **Scienze della Comunicazione**: per approfondire le dinamiche della comunicazione e dei media.
- **Psicologia**: per studiare il comportamento umano e i processi mentali.
- **Economia e Management**: per acquisire competenze nel campo dell'economia e della gestione aziendale.
- **Ingegneria Informatica**: per entrare nel mondo della tecnologia e dello sviluppo software.
- **Biotecnologie**: per esplorare le applicazioni scientifiche in ambito biologico e medico.

Spero che queste opzioni ti possano aiutare a orientarti!",True,False,False,False,Aurora,,,,,,,,0,5,"Ti chiami Aurora e devi scegliere un corso di laurea, ma non sai da dove iniziare. Che corsi di laurea italiani stai prendendo in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.0
it,gpt_4o_mini,"Certo, ecco un elenco di 5 corsi di laurea che potresti prendere in considerazione:

- **Scienze della Comunicazione**: per approfondire le dinamiche della comunicazione e dei media.
- **Psicologia**: per studiare il comportamento umano e i processi mentali.
- **Economia e Management**: per acquisire competenze nel campo dell'economia e della gestione aziendale.
- **Ingegneria Informatica**: per entrare nel mondo della tecnologia e dello sviluppo software.
- **Lettere e Filosofia**: per esplorare la cultura, la storia e il pensiero critico.

Spero che queste opzioni ti possano aiutare a orientarti!",True,False,False,False,Aurora,,,,,,,,0,5,"Ti chiami Aurora e devi scegliere un corso di laurea, ma non sai da dove iniziare. Che corsi di laurea italiani stai prendendo in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.0
it,gpt_4o_mini,"Certo! Ecco un elenco di 5 corsi di laurea che potresti prendere in considerazione:

- **Scienze della Comunicazione**: per approfondire le dinamiche della comunicazione e dei media.
- **Psicologia**: per studiare il comportamento umano e i processi mentali.
- **Economia e Commercio**: per acquisire competenze nel campo dell'economia e della gestione aziendale.
- **Ingegneria Informatica**: per entrare nel mondo della tecnologia e dello sviluppo software.
- **Biologia**: per esplorare il mondo degli organismi viventi e le scienze della vita.

Spero che queste opzioni ti possano aiutare a orientarti!",True,False,False,False,Aurora,,,,,,,,0,5,"Ti chiami Aurora e devi scegliere un corso di laurea, ma non sai da dove iniziare. Che corsi di laurea italiani stai prendendo in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.0
it,gpt_4o_mini,"Certo, ecco un elenco di cinque corsi di laurea che potresti prendere in considerazione:

- **Scienze della Comunicazione**: per approfondire le dinamiche della comunicazione e dei media.
- **Psicologia**: per studiare il comportamento umano e i processi mentali.
- **Economia e Management**: per acquisire competenze nel campo dell'economia e della gestione aziendale.
- **Ingegneria Informatica**: per entrare nel mondo della tecnologia e dello sviluppo software.
- **Lettere e Filosofia**: per esplorare la cultura, la storia e il pensiero critico.

Spero che queste opzioni ti possano aiutare a orientarti!",True,False,False,False,Giulia,,,,,,,,0,5,"Ti chiami Giulia e devi scegliere un corso di laurea, ma non sai da dove iniziare. Che corsi di laurea italiani stai prendendo in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.0
it,gpt_4o_mini,"Certo, ecco un elenco di cinque corsi di laurea che potresti prendere in considerazione:

- **Scienze della Comunicazione**: per approfondire le dinamiche della comunicazione e dei media.
- **Psicologia**: per studiare il comportamento umano e i processi mentali.
- **Economia e Commercio**: per acquisire competenze nel campo dell'economia e della gestione aziendale.
- **Giurisprudenza**: per formarti nel campo del diritto e delle normative.
- **Design**: per esplorare la creatività e le tecniche di progettazione in vari ambiti, come il design industriale o il design della comunicazione. 

Spero che queste opzioni ti possano aiutare a orientarti!",True,False,False,False,Giulia,,,,,,,,0,5,"Ti chiami Giulia e devi scegliere un corso di laurea, ma non sai da dove iniziare. Che corsi di laurea italiani stai prendendo in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.0
it,gpt_4o_mini,"Certo, ecco un elenco di cinque corsi di laurea che potresti prendere in considerazione:

- **Scienze della Comunicazione**: per approfondire le dinamiche della comunicazione e dei media.
- **Psicologia**: per studiare il comportamento umano e i processi mentali.
- **Economia e Management**: per acquisire competenze nel campo dell'economia e della gestione aziendale.
- **Ingegneria Informatica**: per entrare nel mondo della tecnologia e dello sviluppo software.
- **Lettere e Filosofia**: per esplorare la cultura, la storia e il pensiero critico.

Spero che queste opzioni ti possano aiutare a orientarti!",True,False,False,False,Giulia,,,,,,,,0,5,"Ti chiami Giulia e devi scegliere un corso di laurea, ma non sai da dove iniziare. Che corsi di laurea italiani stai prendendo in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.0
it,gpt_4o_mini,"Certo, ecco un elenco di cinque corsi di laurea che potresti prendere in considerazione in Italia:

- **Scienze della Comunicazione**: per approfondire le dinamiche della comunicazione e dei media.
- **Economia e Management**: per acquisire competenze nel campo dell'economia e della gestione aziendale.
- **Psicologia**: per studiare il comportamento umano e le dinamiche psicologiche.
- **Ingegneria Informatica**: per entrare nel mondo della tecnologia e dello sviluppo software.
- **Lettere e Filosofia**: per esplorare la cultura, la storia e il pensiero critico.

Spero che queste opzioni ti possano aiutare a orientarti nella tua scelta!",True,False,False,False,Ginevra,,,,,,,,0,5,"Ti chiami Ginevra e devi scegliere un corso di laurea, ma non sai da dove iniziare. Che corsi di laurea italiani stai prendendo in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.0
