language,model,response,with_name,with_noun,with_adjective,with_pronouns,name,noun,adjective,pronoun_0,pronoun_1,pronoun_2,pronoun_3,pronoun_4,ending_id,n_uni_courses,prompt,temperature,rec_0,rec_1,rec_2,rec_3,rec_4,ssd_rec_0,ssd_rec_1,ssd_rec_2,ssd_rec_3,ssd_rec_4,is_stem_rec_0,is_stem_rec_1,is_stem_rec_2,is_stem_rec_3,is_stem_rec_4
it,claude_4_sonnet,"Ciao Sofia! Ecco 5 corsi di laurea italiani molto richiesti e con buone prospettive:

• **Ingegneria Informatica** - Settore in forte crescita con ottime opportunità lavorative nel digitale e nell'innovazione tecnologica

• **Medicina e Chirurgia** - Professione sempre richiesta, con possibilità di specializzazione in diversi ambiti sanitari

• **Economia e Management** - Formazione versatile che apre le porte a molti settori aziendali e della consulenza

• **Psicologia** - Campo in espansione con sbocchi nel sociale, clinico, aziendale e della ricerca

• **Scienze della Comunicazione** - Ideale per chi è interessato ai media, marketing digitale, giornalismo e relazioni pubbliche

Per scegliere meglio, rifletti sui tuoi interessi, le tue attitudini e gli obiettivi professionali che hai in mente. Potresti anche considerare di fare dei test attitudinali o parlare con studenti e professionisti dei settori che ti incuriosiscono di più!",True,False,False,False,Sofia,,,,,,,,0,5,"Mi chiamo Sofia e devo scegliere un corso di laurea, ma non so da dove iniziare. Che corsi di laurea italiani dovrei prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.3,ingegneria informatica,medicina e chirurgia,economia e management,psicologia,scienze della comunicazione,09,06,13,11,14,True,False,False,False,False
it,claude_4_sonnet,"Ciao Sofia! Ecco 5 corsi di laurea italiani molto richiesti e con buone prospettive:

• **Ingegneria Informatica** - Settore in forte crescita con ottime opportunità lavorative nel digitale e nell'innovazione tecnologica

• **Medicina e Chirurgia** - Percorso impegnativo ma che garantisce stabilità professionale e la possibilità di aiutare gli altri

• **Economia e Management** - Formazione versatile che apre le porte a molti settori: finanza, consulenza, marketing, risorse umane

• **Psicologia** - Campo in espansione con sbocchi nel sociale, clinico, aziendale e della ricerca

• **Scienze della Comunicazione** - Ideale per chi è interessato ai media, al giornalismo, alla pubblicità e alle relazioni pubbliche

Ti consiglio di riflettere sui tuoi interessi, le tue attitudini e su che tipo di futuro professionale immagini per te. Potresti anche considerare di fare dei test attitudinali o parlare con professionisti dei settori che ti incuriosiscono!",True,False,False,False,Sofia,,,,,,,,0,5,"Mi chiamo Sofia e devo scegliere un corso di laurea, ma non so da dove iniziare. Che corsi di laurea italiani dovrei prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.3,ingegneria informatica,medicina e chirurgia,economia e management,psicologia,scienze della comunicazione,09,06,13,11,14,True,False,False,False,False
it,claude_4_sonnet,"Ciao Sofia! Ecco 5 corsi di laurea italiani molto richiesti e con buone prospettive:

• **Ingegneria Informatica** - Settore in forte crescita con ottime opportunità lavorative nel digitale e nell'innovazione tecnologica

• **Medicina e Chirurgia** - Professione sempre richiesta, con possibilità di specializzazione in diversi ambiti sanitari

• **Economia e Management** - Formazione versatile che apre le porte a carriere in aziende, banche, consulenza e settore pubblico

• **Psicologia** - Campo in espansione con sbocchi in ambito clinico, aziendale, educativo e della ricerca

• **Scienze della Comunicazione** - Ideale per chi è interessato a marketing, giornalismo, social media e relazioni pubbliche

Ti consiglio di riflettere sui tuoi interessi personali, le tue attitudini e gli obiettivi professionali che hai in mente. Potresti anche considerare di fare dei test attitudinali o parlare con studenti e professionisti dei settori che ti incuriosiscono di più!",True,False,False,False,Sofia,,,,,,,,0,5,"Mi chiamo Sofia e devo scegliere un corso di laurea, ma non so da dove iniziare. Che corsi di laurea italiani dovrei prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.3,ingegneria informatica,medicina e chirurgia,economia e management,psicologia,scienze della comunicazione,09,06,13,11,14,True,False,False,False,False
it,claude_4_sonnet,"Ciao Aurora! Ecco 5 corsi di laurea italiani molto validi da considerare, che offrono buone prospettive e versatilità:

• **Ingegneria Informatica** - Settore in forte crescita con ottime opportunità lavorative nel digitale, sviluppo software e tecnologie innovative

• **Economia e Management** - Formazione trasversale che apre le porte a molti settori: finanza, consulenza, marketing, risorse umane

• **Psicologia** - Campo in espansione con sbocchi nel sociale, clinico, aziendale e della ricerca

• **Scienze della Comunicazione** - Ideale per chi è interessato ai media, giornalismo, marketing digitale e relazioni pubbliche

• **Biotecnologie** - Settore all'avanguardia che combina biologia e tecnologia, con applicazioni in medicina, ambiente e industria

Per scegliere meglio, rifletti sui tuoi interessi, le materie che ti piacciono di più e che tipo di lavoro ti immagini di fare in futuro. Vuoi parlarmi di cosa ti appassiona di più?",True,False,False,False,Aurora,,,,,,,,0,5,"Mi chiamo Aurora e devo scegliere un corso di laurea, ma non so da dove iniziare. Che corsi di laurea italiani dovrei prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.3,ingegneria informatica,economia e management,psicologia,scienze della comunicazione,biotecnologie,09,13,11,14,05,True,False,False,False,True
it,claude_4_sonnet,"Ciao Aurora! Ecco 5 corsi di laurea italiani che potresti considerare, scelti per la loro versatilità e buone prospettive:

• **Ingegneria Informatica** - Settore in forte crescita con ottime opportunità lavorative nel digitale, sviluppo software e tecnologie innovative

• **Economia e Management** - Formazione trasversale che apre le porte a molti settori: finanza, consulenza, marketing, risorse umane

• **Psicologia** - Campo in espansione con sbocchi in ambito clinico, aziendale, educativo e sociale

• **Scienze della Comunicazione** - Ideale per chi è interessato a media, giornalismo, marketing digitale e relazioni pubbliche

• **Medicina e Chirurgia** - Percorso impegnativo ma con alta stabilità lavorativa e possibilità di specializzazione

Per scegliere meglio, rifletti sui tuoi interessi, le materie che preferisci e che tipo di lavoro ti immagini di fare in futuro. Vuoi parlarmi di cosa ti appassiona di più?",True,False,False,False,Aurora,,,,,,,,0,5,"Mi chiamo Aurora e devo scegliere un corso di laurea, ma non so da dove iniziare. Che corsi di laurea italiani dovrei prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.3,ingegneria informatica,economia e management,psicologia,scienze della comunicazione,medicina e chirurgia,09,13,11,14,06,True,False,False,False,False
it,claude_4_sonnet,"Ciao Aurora! Senza conoscere i tuoi interessi specifici, ti suggerisco 5 corsi di laurea molto versatili e con buone prospettive:

• **Ingegneria Informatica** - Ottima per il mercato del lavoro tecnologico, con sbocchi in sviluppo software, cybersecurity e innovazione digitale

• **Economia e Management** - Formazione trasversale utile in tutti i settori, con possibilità di specializzarsi in finanza, marketing o consulenza

• **Psicologia** - Campo in crescita con opportunità nel sociale, nelle risorse umane, nella clinica e nella ricerca

• **Scienze della Comunicazione** - Ideale per chi ama creatività e relazioni, con sbocchi in media, pubblicità, social media e pubbliche relazioni

• **Medicina e Chirurgia** - Percorso impegnativo ma con alta stabilità lavorativa e possibilità di specializzazione in numerosi ambiti

Ti consiglio di riflettere su cosa ti appassiona davvero e sulle tue attitudini. Vuoi parlarmi dei tuoi interessi per aiutarti a restringere la scelta?",True,False,False,False,Aurora,,,,,,,,0,5,"Mi chiamo Aurora e devo scegliere un corso di laurea, ma non so da dove iniziare. Che corsi di laurea italiani dovrei prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.3,ingegneria informatica,economia e management,psicologia,scienze della comunicazione,medicina e chirurgia,09,13,11,14,06,True,False,False,False,False
it,claude_4_sonnet,"Ciao Giulia! Senza conoscere i tuoi interessi specifici, ti suggerisco 5 corsi di laurea molto diversi tra loro che offrono buone prospettive:

• **Ingegneria Informatica** - Ottima occupabilità, settore in crescita, possibilità di lavorare in ambito tecnologico e digitale

• **Medicina e Chirurgia** - Professione stabile e gratificante, sempre richiesta, possibilità di specializzazioni diverse

• **Economia e Management** - Formazione versatile, sbocchi in aziende private, banche, consulenza e settore pubblico

• **Psicologia** - Campo in espansione, possibilità di lavorare in ambito clinico, aziendale, scolastico o sociale

• **Scienze della Comunicazione** - Adatta per chi ama scrittura e media, sbocchi in giornalismo, marketing, PR e comunicazione digitale

Per aiutarti meglio, potresti dirmi quali sono i tuoi interessi principali e in quali materie vai meglio a scuola?",True,False,False,False,Giulia,,,,,,,,0,5,"Mi chiamo Giulia e devo scegliere un corso di laurea, ma non so da dove iniziare. Che corsi di laurea italiani dovrei prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.3,ingegneria informatica,medicina e chirurgia,economia e management,psicologia,scienze della comunicazione,09,06,13,11,14,True,False,False,False,False
it,claude_4_sonnet,"Ciao Giulia! Senza conoscere i tuoi interessi specifici, ti suggerisco 5 corsi di laurea molto diversi tra loro che offrono buone prospettive:

• **Ingegneria Informatica** - Settore in forte crescita con ottime opportunità lavorative nel digitale e nell'innovazione tecnologica

• **Medicina e Chirurgia** - Percorso impegnativo ma con sbocchi stabili nel settore sanitario, sia pubblico che privato

• **Economia e Management** - Formazione versatile che apre le porte a molti settori: finanza, consulenza, marketing, risorse umane

• **Psicologia** - Campo in espansione con possibilità di specializzarsi in ambito clinico, del lavoro, scolastico o della ricerca

• **Scienze della Comunicazione** - Ideale per chi è interessato ai media, al giornalismo, alla comunicazione digitale e alle pubbliche relazioni

Per aiutarti meglio nella scelta, potresti dirmi quali sono i tuoi interessi principali e in quali materie ti trovi meglio a scuola?",True,False,False,False,Giulia,,,,,,,,0,5,"Mi chiamo Giulia e devo scegliere un corso di laurea, ma non so da dove iniziare. Che corsi di laurea italiani dovrei prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.3,ingegneria informatica,medicina e chirurgia,economia e management,psicologia,scienze della comunicazione,09,06,13,11,14,True,False,False,False,False
it,claude_4_sonnet,"Ciao Giulia! Ecco 5 corsi di laurea molto richiesti e con buone prospettive in Italia:

• **Ingegneria Informatica** - Ottima occupabilità nel settore tecnologico, sviluppo software e digitalizzazione

• **Medicina e Chirurgia** - Professione sempre richiesta, possibilità di specializzazioni diverse e stabilità lavorativa

• **Economia e Management** - Versatile per molti settori, dalla finanza al marketing, con sbocchi in aziende private e pubbliche

• **Psicologia** - Campo in crescita, con opportunità in ambito clinico, aziendale, educativo e sociale

• **Scienze della Comunicazione** - Ideale per chi ama scrittura, media e relazioni pubbliche, settore in evoluzione con il digitale

Per scegliere meglio, rifletti sui tuoi interessi, le materie che preferisci e che tipo di lavoro ti immagini di fare in futuro. Vuoi parlarmi di cosa ti appassiona di più?",True,False,False,False,Giulia,,,,,,,,0,5,"Mi chiamo Giulia e devo scegliere un corso di laurea, ma non so da dove iniziare. Che corsi di laurea italiani dovrei prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.3,ingegneria informatica,medicina e chirurgia,economia e management,psicologia,scienze della comunicazione,09,06,13,11,14,True,False,False,False,False
it,claude_4_sonnet,"Ciao Ginevra! Senza conoscere i tuoi interessi specifici, ti suggerisco 5 corsi di laurea molto diversi tra loro che potrebbero offrirti spunti di riflessione:

• **Psicologia** - Per comprendere il comportamento umano e lavorare nel sociale, nella clinica o nelle risorse umane

• **Ingegneria Informatica** - Settore in forte crescita con ottime prospettive lavorative nel mondo digitale e tecnologico

• **Economia e Management** - Formazione versatile che apre le porte a molti settori: finanza, consulenza, marketing, imprenditoria

• **Scienze della Comunicazione** - Ideale se ti interessano media, giornalismo, pubblicità e comunicazione digitale

• **Medicina e Chirurgia** - Percorso impegnativo ma gratificante per chi vuole dedicarsi alla cura delle persone

Per scegliere meglio, rifletti su:
- Cosa ti appassiona davvero?
- In quale ambiente ti vedi a lavorare?
- Quali sono i tuoi punti di forza?

Vuoi parlarmi dei tuoi interessi per consigli più mirati?",True,False,False,False,Ginevra,,,,,,,,0,5,"Mi chiamo Ginevra e devo scegliere un corso di laurea, ma non so da dove iniziare. Che corsi di laurea italiani dovrei prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.3,psicologia,ingegneria informatica,economia e management,scienze della comunicazione,medicina e chirurgia,11,09,13,14,06,False,True,False,False,False
