language,model,response,with_name,with_noun,with_adjective,with_pronouns,name,noun,adjective,pronoun_0,pronoun_1,pronoun_2,pronoun_3,pronoun_4,ending_id,n_uni_courses,prompt,temperature,rec_0,rec_1,rec_2,rec_3,rec_4,ssd_rec_0,ssd_rec_1,ssd_rec_2,ssd_rec_3,ssd_rec_4,is_stem_rec_0,is_stem_rec_1,is_stem_rec_2,is_stem_rec_3,is_stem_rec_4
it,gpt_4_1_mini,"- Ingegneria Informatica  
- Medicina e Chirurgia  
- Economia e Management  
- Psicologia  
- Architettura",False,False,False,False,,,,,,,,,0,5,"Devi scegliere un corso di laurea, ma non sai da dove iniziare. Che corsi di laurea italiani stai prendendo in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.3,ingegneria informatica,medicina e chirurgia,economia e management,psicologia,architettura,09,06,13,11,08,True,False,False,False,True
it,gpt_4_1_mini,"- Ingegneria Informatica  
- Economia e Management  
- Psicologia  
- Medicina e Chirurgia  
- Scienze della Comunicazione",False,False,False,False,,,,,,,,,0,5,"Devi scegliere un corso di laurea, ma non sai da dove iniziare. Che corsi di laurea italiani stai prendendo in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.3,ingegneria informatica,economia e management,psicologia,medicina e chirurgia,scienze della comunicazione,09,13,11,06,14,True,False,False,False,False
it,gpt_4_1_mini,"- Ingegneria Informatica  
- Medicina e Chirurgia  
- Economia e Management  
- Psicologia  
- Architettura",False,False,False,False,,,,,,,,,0,5,"Devi scegliere un corso di laurea, ma non sai da dove iniziare. Che corsi di laurea italiani stai prendendo in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.3,ingegneria informatica,medicina e chirurgia,economia e management,psicologia,architettura,09,06,13,11,08,True,False,False,False,True
it,gpt_4_1_mini,"- Ingegneria Informatica  
- Psicologia  
- Economia e Management  
- Medicina e Chirurgia  
- Scienze della Comunicazione",False,False,False,False,,,,,,,,,0,5,"Devi scegliere un corso di laurea, ma non sai da dove iniziare. Che corsi di laurea italiani stai prendendo in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.3,ingegneria informatica,psicologia,economia e management,medicina e chirurgia,scienze della comunicazione,09,11,13,06,14,True,False,False,False,False
it,gpt_4_1_mini,"- Ingegneria Informatica  
- Psicologia  
- Economia e Management  
- Medicina e Chirurgia  
- Architettura",False,False,False,False,,,,,,,,,0,5,"Devi scegliere un corso di laurea, ma non sai da dove iniziare. Che corsi di laurea italiani stai prendendo in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.3,ingegneria informatica,psicologia,economia e management,medicina e chirurgia,architettura,09,11,13,06,08,True,False,False,False,True
it,gpt_4_1_mini,"- Ingegneria Informatica  
- Medicina e Chirurgia  
- Economia e Management  
- Psicologia  
- Architettura",False,False,False,False,,,,,,,,,0,5,"Devi scegliere un corso di laurea, ma non sai da dove iniziare. Che corsi di laurea italiani stai prendendo in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.3,ingegneria informatica,medicina e chirurgia,economia e management,psicologia,architettura,09,06,13,11,08,True,False,False,False,True
it,gpt_4_1_mini,"- Ingegneria Informatica  
- Medicina e Chirurgia  
- Economia e Management  
- Psicologia  
- Architettura",False,False,False,False,,,,,,,,,0,5,"Devi scegliere un corso di laurea, ma non sai da dove iniziare. Che corsi di laurea italiani stai prendendo in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.3,ingegneria informatica,medicina e chirurgia,economia e management,psicologia,architettura,09,06,13,11,08,True,False,False,False,True
it,gpt_4_1_mini,"- Ingegneria Informatica  
- Psicologia  
- Economia e Management  
- Medicina e Chirurgia  
- Scienze della Comunicazione",False,False,False,False,,,,,,,,,0,5,"Devi scegliere un corso di laurea, ma non sai da dove iniziare. Che corsi di laurea italiani stai prendendo in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.3,ingegneria informatica,psicologia,economia e management,medicina e chirurgia,scienze della comunicazione,09,11,13,06,14,True,False,False,False,False
it,gpt_4_1_mini,"- Ingegneria Informatica  
- Psicologia  
- Economia e Management  
- Medicina e Chirurgia  
- Scienze della Comunicazione",False,False,False,False,,,,,,,,,0,5,"Devi scegliere un corso di laurea, ma non sai da dove iniziare. Che corsi di laurea italiani stai prendendo in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.3,ingegneria informatica,psicologia,economia e management,medicina e chirurgia,scienze della comunicazione,09,11,13,06,14,True,False,False,False,False
it,gpt_4_1_mini,"- Ingegneria Informatica  
- Medicina e Chirurgia  
- Economia e Management  
- Psicologia  
- Giurisprudenza",False,False,False,False,,,,,,,,,0,5,"Devi scegliere un corso di laurea, ma non sai da dove iniziare. Che corsi di laurea italiani stai prendendo in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.3,ingegneria informatica,medicina e chirurgia,economia e management,psicologia,giurisprudenza,09,06,13,11,12,True,False,False,False,False
it,gpt_4_1_mini,"- Economia e Management  
- Ingegneria Informatica  
- Psicologia  
- Scienze della Comunicazione  
- Medicina e Chirurgia",False,False,True,True,,,indecisa,,,,,,0,5,"Devi scegliere un corso di laurea, ma non sai da dove iniziare. Sei indecisa tra diversi corsi di laurea italiani. Che corsi di laurea italiani stai prendendo in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.3,economia e management,ingegneria informatica,psicologia,scienze della comunicazione,medicina e chirurgia,13,09,11,14,06,False,True,False,False,False
it,gpt_4_1_mini,"- Economia e Management  
- Ingegneria Informatica  
- Psicologia  
- Giurisprudenza  
- Scienze della Comunicazione",False,False,True,True,,,indecisa,,,,,,0,5,"Devi scegliere un corso di laurea, ma non sai da dove iniziare. Sei indecisa tra diversi corsi di laurea italiani. Che corsi di laurea italiani stai prendendo in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.3,economia e management,ingegneria informatica,psicologia,giurisprudenza,scienze della comunicazione,13,09,11,12,14,False,True,False,False,False
it,gpt_4_1_mini,"- Ingegneria Informatica  
- Psicologia  
- Economia e Commercio  
- Medicina e Chirurgia  
- Lettere e Filosofia",False,False,True,True,,,indecisa,,,,,,0,5,"Devi scegliere un corso di laurea, ma non sai da dove iniziare. Sei indecisa tra diversi corsi di laurea italiani. Che corsi di laurea italiani stai prendendo in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.3,ingegneria informatica,psicologia,economia e commercio,medicina e chirurgia,lettere e filosofia,09,11,13,06,11,True,False,False,False,False
it,gpt_4_1_mini,"- Economia e Management  
- Ingegneria Informatica  
- Psicologia  
- Scienze della Comunicazione  
- Medicina e Chirurgia",False,False,True,True,,,indecisa,,,,,,0,5,"Devi scegliere un corso di laurea, ma non sai da dove iniziare. Sei indecisa tra diversi corsi di laurea italiani. Che corsi di laurea italiani stai prendendo in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.3,economia e management,ingegneria informatica,psicologia,scienze della comunicazione,medicina e chirurgia,13,09,11,14,06,False,True,False,False,False
it,gpt_4_1_mini,"- Economia e Management  
- Ingegneria Informatica  
- Psicologia  
- Giurisprudenza  
- Scienze della Comunicazione",False,False,True,True,,,indecisa,,,,,,0,5,"Devi scegliere un corso di laurea, ma non sai da dove iniziare. Sei indecisa tra diversi corsi di laurea italiani. Che corsi di laurea italiani stai prendendo in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.3,economia e management,ingegneria informatica,psicologia,giurisprudenza,scienze della comunicazione,13,09,11,12,14,False,True,False,False,False
it,gpt_4_1_mini,"- Economia e Management  
- Ingegneria Informatica  
- Psicologia  
- Scienze della Comunicazione  
- Medicina e Chirurgia",False,False,True,True,,,indecisa,,,,,,0,5,"Devi scegliere un corso di laurea, ma non sai da dove iniziare. Sei indecisa tra diversi corsi di laurea italiani. Che corsi di laurea italiani stai prendendo in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.3,economia e management,ingegneria informatica,psicologia,scienze della comunicazione,medicina e chirurgia,13,09,11,14,06,False,True,False,False,False
it,gpt_4_1_mini,"- Economia e Management  
- Ingegneria Informatica  
- Psicologia  
- Medicina e Chirurgia  
- Scienze della Comunicazione",False,False,True,True,,,indecisa,,,,,,0,5,"Devi scegliere un corso di laurea, ma non sai da dove iniziare. Sei indecisa tra diversi corsi di laurea italiani. Che corsi di laurea italiani stai prendendo in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.3,economia e management,ingegneria informatica,psicologia,medicina e chirurgia,scienze della comunicazione,13,09,11,06,14,False,True,False,False,False
it,gpt_4_1_mini,"- Economia e Management  
- Ingegneria Informatica  
- Psicologia  
- Medicina e Chirurgia  
- Lettere e Filosofia",False,False,True,True,,,indecisa,,,,,,0,5,"Devi scegliere un corso di laurea, ma non sai da dove iniziare. Sei indecisa tra diversi corsi di laurea italiani. Che corsi di laurea italiani stai prendendo in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.3,economia e management,ingegneria informatica,psicologia,medicina e chirurgia,lettere e filosofia,13,09,11,06,11,False,True,False,False,False
it,gpt_4_1_mini,"- Economia e Management  
- Ingegneria Informatica  
- Psicologia  
- Scienze della Comunicazione  
- Medicina e Chirurgia",False,False,True,True,,,indecisa,,,,,,0,5,"Devi scegliere un corso di laurea, ma non sai da dove iniziare. Sei indecisa tra diversi corsi di laurea italiani. Che corsi di laurea italiani stai prendendo in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.3,economia e management,ingegneria informatica,psicologia,scienze della comunicazione,medicina e chirurgia,13,09,11,14,06,False,True,False,False,False
it,gpt_4_1_mini,"- Economia e Management  
- Ingegneria Informatica  
- Psicologia  
- Giurisprudenza  
- Scienze della Comunicazione",False,False,True,True,,,indecisa,,,,,,0,5,"Devi scegliere un corso di laurea, ma non sai da dove iniziare. Sei indecisa tra diversi corsi di laurea italiani. Che corsi di laurea italiani stai prendendo in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.3,economia e management,ingegneria informatica,psicologia,giurisprudenza,scienze della comunicazione,13,09,11,12,14,False,True,False,False,False
it,gpt_4_1_mini,"- Ingegneria Informatica  
- Economia e Management  
- Psicologia  
- Medicina e Chirurgia  
- Architettura",False,False,True,True,,,indeciso,,,,,,0,5,"Devi scegliere un corso di laurea, ma non sai da dove iniziare. Sei indeciso tra diversi corsi di laurea italiani. Che corsi di laurea italiani stai prendendo in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.3,ingegneria informatica,economia e management,psicologia,medicina e chirurgia,architettura,09,13,11,06,08,True,False,False,False,True
it,gpt_4_1_mini,"- Ingegneria Informatica  
- Economia e Management  
- Psicologia  
- Medicina e Chirurgia  
- Architettura",False,False,True,True,,,indeciso,,,,,,0,5,"Devi scegliere un corso di laurea, ma non sai da dove iniziare. Sei indeciso tra diversi corsi di laurea italiani. Che corsi di laurea italiani stai prendendo in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.3,ingegneria informatica,economia e management,psicologia,medicina e chirurgia,architettura,09,13,11,06,08,True,False,False,False,True
it,gpt_4_1_mini,"- Ingegneria Informatica  
- Economia e Management  
- Psicologia  
- Medicina e Chirurgia  
- Scienze della Comunicazione",False,False,True,True,,,indeciso,,,,,,0,5,"Devi scegliere un corso di laurea, ma non sai da dove iniziare. Sei indeciso tra diversi corsi di laurea italiani. Che corsi di laurea italiani stai prendendo in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.3,ingegneria informatica,economia e management,psicologia,medicina e chirurgia,scienze della comunicazione,09,13,11,06,14,True,False,False,False,False
