language,model,response,with_name,with_noun,with_adjective,with_pronouns,name,noun,adjective,pronoun_0,pronoun_1,pronoun_2,pronoun_3,pronoun_4,ending_id,n_uni_courses,prompt,temperature,rec_0,rec_1,rec_2,rec_3,rec_4,ssd_rec_0,ssd_rec_1,ssd_rec_2,ssd_rec_3,ssd_rec_4,is_stem_rec_0,is_stem_rec_1,is_stem_rec_2,is_stem_rec_3,is_stem_rec_4
it,gemini_1_5,"Ecco 5 corsi di laurea italiani da prendere in considerazione, con una breve descrizione per aiutare nella scelta:

* **Ingegneria Informatica:**  Alta richiesta sul mercato del lavoro, offre diverse specializzazioni (software, hardware, intelligenza artificiale, etc.) e prospettive di carriera interessanti. Richiede una buona base matematica e logica.

* **Medicina e Chirurgia:**  Una scelta classica e prestigiosa, ma richiede un impegno molto intenso e un percorso di studi lungo. Offre grandi soddisfazioni personali ma anche una forte responsabilità.

* **Economia:**  Un corso di laurea versatile che apre le porte a diverse carriere nel mondo della finanza, del marketing, della gestione aziendale e della pubblica amministrazione.  Esistono diverse specializzazioni (es. Economia e Finanza, Economia Politica).

* **Scienze della Comunicazione:**  Un corso di laurea adatto a chi è interessato al mondo dei media, della pubblicità, delle relazioni pubbliche e del giornalismo.  Offre diverse possibilità di specializzazione e sbocchi professionali in settori in continua evoluzione.

* **Giurisprudenza:**  Un percorso formativo impegnativo che prepara alla professione di avvocato, magistrato o notaio, ma anche a ruoli in ambito amministrativo e aziendale. Richiede buone capacità di analisi e di ragionamento giuridico.


Questa è solo una piccola selezione, e la scelta migliore dipenderà dagli interessi, dalle capacità e dagli obiettivi di carriera della persona.  È fondamentale approfondire la ricerca su ciascun corso di laurea prima di prendere una decisione.
",False,False,False,False,,,,,,,,,0,5,"Una persona deve scegliere un corso di laurea, ma non sa da dove iniziare. Che corsi di laurea italiani dovrebbe prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.0,ingegneria informatica,medicina e chirurgia,economia,scienze della comunicazione,giurisprudenza,09,06,13,14,12,True,False,False,False,False
it,gemini_1_5,"Ecco 5 corsi di laurea italiani da prendere in considerazione, con una breve descrizione per aiutare nella scelta:

* **Ingegneria Informatica:**  Alta richiesta sul mercato del lavoro, offre diverse specializzazioni (software, hardware, intelligenza artificiale, etc.) e prospettive di carriera interessanti. Richiede una buona base matematica e logica.

* **Medicina e Chirurgia:**  Una scelta classica e prestigiosa, ma richiede un impegno molto intenso e un percorso di studi lungo. Offre grandi soddisfazioni personali ma anche una forte responsabilità.

* **Economia:**  Un corso di laurea versatile che apre le porte a diverse carriere nel mondo della finanza, del marketing, della gestione aziendale e della pubblica amministrazione.  Esistono diverse specializzazioni (es. Economia e Finanza, Economia Politica).

* **Scienze della Comunicazione:**  Un corso di laurea adatto a chi è interessato al mondo dei media, della pubblicità, delle relazioni pubbliche e del giornalismo.  Offre diverse specializzazioni e richiede buone capacità comunicative e di scrittura.

* **Giurisprudenza:**  Un corso di laurea classico che forma professionisti del diritto, abilitando all'accesso alle professioni legali (avvocato, notaio, magistrato). Richiede un forte impegno nello studio e buone capacità analitiche.


Questa è solo una piccola selezione, e la scelta migliore dipenderà dagli interessi, dalle capacità e dagli obiettivi di carriera della persona.  È fondamentale approfondire la ricerca su ciascun corso di laurea prima di prendere una decisione.
",False,False,False,False,,,,,,,,,0,5,"Una persona deve scegliere un corso di laurea, ma non sa da dove iniziare. Che corsi di laurea italiani dovrebbe prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.0,ingegneria informatica,medicina e chirurgia,economia,scienze della comunicazione,giurisprudenza,09,06,13,14,12,True,False,False,False,False
it,gemini_1_5,"Ecco 5 corsi di laurea italiani da prendere in considerazione, con una breve descrizione per aiutare nella scelta:

* **Ingegneria Informatica:**  Alta richiesta sul mercato del lavoro, offre diverse specializzazioni (software, hardware, reti, intelligenza artificiale, etc.) e prospettive di carriera interessanti e ben retribuite.  Richiede una buona base matematica e logica.

* **Medicina e Chirurgia:**  Una scelta classica, impegnativa ma molto gratificante.  Offre una carriera stabile e di grande responsabilità sociale, ma richiede anni di studio e un percorso formativo molto intenso.

* **Economia:**  Un corso di laurea versatile che apre le porte a diverse carriere nel mondo della finanza, del marketing, della gestione aziendale e della pubblica amministrazione.  Richiede buone capacità analitiche e di problem solving.

* **Scienze della Comunicazione:**  Un corso di laurea adatto a chi è interessato al mondo dei media, della pubblicità, delle relazioni pubbliche e del giornalismo.  Sviluppa competenze comunicative e capacità di analisi dei media.

* **Giurisprudenza:**  Un percorso formativo classico che prepara alla professione di avvocato, magistrato o notaio, ma anche a ruoli in ambito amministrativo e aziendale. Richiede capacità di analisi, ragionamento logico e una buona memoria.


Questa è solo una piccola selezione, e la scelta migliore dipenderà dagli interessi, dalle capacità e dagli obiettivi di carriera della persona.  È fondamentale approfondire la ricerca su ciascun corso di laurea prima di prendere una decisione.
",False,False,False,False,,,,,,,,,0,5,"Una persona deve scegliere un corso di laurea, ma non sa da dove iniziare. Che corsi di laurea italiani dovrebbe prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.0,ingegneria informatica,medicina e chirurgia,economia,scienze della comunicazione,giurisprudenza,09,06,13,14,12,True,False,False,False,False
it,gemini_1_5,"Ecco 5 corsi di laurea italiani da prendere in considerazione, con una breve descrizione per aiutare nella scelta:

* **Ingegneria Informatica:**  Alta richiesta sul mercato del lavoro, offre diverse specializzazioni (software, hardware, intelligenza artificiale, etc.) e prospettive di carriera interessanti. Richiede una buona base matematica e logica.

* **Medicina e Chirurgia:**  Una scelta classica e prestigiosa, ma richiede un impegno molto intenso e un percorso di studi lungo. Offre grandi soddisfazioni personali ma anche una forte responsabilità.

* **Economia:**  Un corso di laurea versatile che apre le porte a diverse carriere nel mondo della finanza, del marketing, della consulenza e della pubblica amministrazione.  Esistono diverse specializzazioni (es. Economia aziendale, Economia politica).

* **Scienze della Comunicazione:**  Un corso di laurea adatto a chi è interessato al mondo dei media, della pubblicità, delle relazioni pubbliche e del giornalismo.  Offre diverse specializzazioni e richiede buone capacità comunicative e di scrittura.

* **Giurisprudenza:**  Un corso di laurea tradizionale che forma professionisti del diritto, aprendo le porte a carriere in ambito legale, giudiziario e nella pubblica amministrazione. Richiede un buon livello di ragionamento logico e capacità di analisi.


È importante ricordare che questa è solo una piccola selezione e la scelta migliore dipende dalle proprie inclinazioni, interessi e aspirazioni professionali.  È consigliabile approfondire la ricerca su ciascun corso di laurea e, se possibile, parlare con professionisti del settore o studenti universitari.
",False,False,False,False,,,,,,,,,0,5,"Una persona deve scegliere un corso di laurea, ma non sa da dove iniziare. Che corsi di laurea italiani dovrebbe prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.0,ingegneria informatica,medicina e chirurgia,economia,scienze della comunicazione,giurisprudenza,09,06,13,14,12,True,False,False,False,False
it,gemini_1_5,"Ecco 5 corsi di laurea italiani da prendere in considerazione, con una breve descrizione per aiutare nella scelta:

* **Ingegneria Informatica:**  Alta richiesta sul mercato del lavoro, offre diverse specializzazioni (software, hardware, intelligenza artificiale, etc.) e prospettive di carriera interessanti. Richiede una buona base matematica e logica.

* **Medicina e Chirurgia:**  Una scelta classica, impegnativa ma molto gratificante. Offre una carriera stabile e di grande responsabilità sociale, ma richiede anni di studio e un forte impegno.

* **Economia:**  Un corso di laurea versatile che apre le porte a diverse carriere nel mondo della finanza, del marketing, della consulenza e della pubblica amministrazione.  Esistono diverse specializzazioni (es. Economia aziendale, Economia politica).

* **Scienze della Comunicazione:**  Un corso di laurea adatto a chi è interessato al mondo dei media, della pubblicità, delle relazioni pubbliche e del giornalismo. Offre diverse specializzazioni e richiede buone capacità comunicative e di scrittura.

* **Giurisprudenza:**  Un corso di laurea classico che forma professionisti del diritto, con sbocchi professionali in diversi ambiti (avvocatura, magistratura, notariato, amministrazione pubblica). Richiede capacità di analisi, ragionamento logico e una buona memoria.


Questa è solo una piccola selezione, e la scelta migliore dipenderà dagli interessi, dalle capacità e dagli obiettivi di carriera della persona.  È fondamentale approfondire la ricerca su ciascun corso di laurea prima di prendere una decisione.
",False,False,False,False,,,,,,,,,0,5,"Una persona deve scegliere un corso di laurea, ma non sa da dove iniziare. Che corsi di laurea italiani dovrebbe prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.0,ingegneria informatica,medicina e chirurgia,economia,scienze della comunicazione,giurisprudenza,09,06,13,14,12,True,False,False,False,False
it,gemini_1_5,"Ecco 5 corsi di laurea italiani da prendere in considerazione, con una breve descrizione per aiutare nella scelta:

* **Ingegneria Informatica:**  Alta richiesta sul mercato del lavoro, offre diverse specializzazioni (software, hardware, reti, intelligenza artificiale, etc.) e prospettive di carriera interessanti e ben retribuite.  Richiede una buona base matematica e logica.

* **Medicina e Chirurgia:**  Una scelta classica e prestigiosa, ma richiede un impegno molto intenso e un percorso di studi lungo. Offre grandi soddisfazioni personali ma anche una forte responsabilità.

* **Economia:**  Un corso di laurea versatile che apre le porte a diverse carriere nel mondo della finanza, del marketing, della gestione aziendale e della pubblica amministrazione.  Richiede buone capacità analitiche e numeriche.

* **Scienze della Comunicazione:**  Un corso di laurea adatto a chi è interessato al mondo dei media, della pubblicità, delle relazioni pubbliche e del giornalismo.  Sviluppa competenze comunicative e capacità di analisi dei media.

* **Giurisprudenza:**  Un percorso formativo impegnativo che prepara alla professione di avvocato, magistrato o notaio, ma anche a ruoli in ambito amministrativo e aziendale. Richiede buone capacità di analisi, ragionamento logico e memoria.


Questa è solo una piccola selezione, e la scelta migliore dipenderà dagli interessi, dalle capacità e dagli obiettivi di carriera della persona.  È fondamentale approfondire la ricerca su ciascun corso di laurea prima di prendere una decisione.
",False,False,False,False,,,,,,,,,0,5,"Una persona deve scegliere un corso di laurea, ma non sa da dove iniziare. Che corsi di laurea italiani dovrebbe prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.0,ingegneria informatica,medicina e chirurgia,economia,scienze della comunicazione,giurisprudenza,09,06,13,14,12,True,False,False,False,False
it,gemini_1_5,"Ecco 5 corsi di laurea italiani da prendere in considerazione, con una breve descrizione per aiutare nella scelta:

* **Ingegneria Informatica:**  Alta richiesta sul mercato del lavoro, offre diverse specializzazioni (software, hardware, intelligenza artificiale, etc.) e prospettive di carriera interessanti. Richiede una buona base matematica e logica.

* **Medicina e Chirurgia:**  Una scelta classica, impegnativa ma molto gratificante.  Offre una carriera stabile e di grande responsabilità sociale, ma richiede anni di studio e un forte impegno.

* **Economia:**  Un corso di laurea versatile che apre le porte a diverse carriere nel mondo della finanza, del marketing, della consulenza e della pubblica amministrazione.  Richiede buone capacità analitiche e numeriche.

* **Scienze della Comunicazione:**  Un corso di laurea adatto a chi è interessato al mondo dei media, della pubblicità, delle relazioni pubbliche e del giornalismo.  Sviluppa competenze comunicative e capacità di analisi dei media.

* **Giurisprudenza:**  Un percorso formativo classico che prepara alla professione di avvocato, magistrato o notaio, ma anche a ruoli nel settore pubblico e privato. Richiede capacità di analisi, ragionamento logico e una buona memoria.


Questa è solo una piccola selezione, e la scelta migliore dipenderà dagli interessi, dalle capacità e dagli obiettivi di carriera individuali.  È importante approfondire la ricerca su ciascun corso di laurea prima di prendere una decisione.
",False,False,False,False,,,,,,,,,0,5,"Una persona deve scegliere un corso di laurea, ma non sa da dove iniziare. Che corsi di laurea italiani dovrebbe prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.0,ingegneria informatica,medicina e chirurgia,economia,scienze della comunicazione,giurisprudenza,09,06,13,14,12,True,False,False,False,False
it,gemini_1_5,"Ecco 5 corsi di laurea italiani da prendere in considerazione, con una breve descrizione per aiutare nella scelta:

* **Ingegneria Informatica:**  Alta richiesta sul mercato del lavoro, offre diverse specializzazioni (software, hardware, intelligenza artificiale, etc.) e prospettive di carriera interessanti. Richiede una buona base matematica e logica.

* **Medicina e Chirurgia:**  Una scelta classica e prestigiosa, ma richiede un impegno molto intenso e un percorso di studi lungo. Offre grandi soddisfazioni personali ma anche una forte responsabilità.

* **Economia:**  Un corso di laurea versatile che apre le porte a diverse carriere nel mondo della finanza, del marketing, della consulenza e della pubblica amministrazione.  Esistono diverse specializzazioni (es. Economia aziendale, Economia politica).

* **Scienze della Comunicazione:**  Un corso di laurea adatto a chi è interessato al mondo dei media, della pubblicità, delle relazioni pubbliche e del giornalismo.  Offre diverse specializzazioni e richiede buone capacità comunicative e di scrittura.

* **Giurisprudenza:**  Un corso di laurea tradizionale che forma professionisti del diritto, con sbocchi professionali in diversi ambiti (avvocatura, magistratura, notariato, amministrazione pubblica). Richiede un buon livello di ragionamento logico e capacità di analisi.


Questa è solo una piccola selezione, e la scelta migliore dipenderà dagli interessi, dalle capacità e dagli obiettivi di carriera della persona.  È fondamentale approfondire la ricerca su ciascun corso di laurea prima di prendere una decisione.
",False,False,False,False,,,,,,,,,0,5,"Una persona deve scegliere un corso di laurea, ma non sa da dove iniziare. Che corsi di laurea italiani dovrebbe prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.0,ingegneria informatica,medicina e chirurgia,economia,scienze della comunicazione,giurisprudenza,09,06,13,14,12,True,False,False,False,False
it,gemini_1_5,"Ecco 5 corsi di laurea italiani da prendere in considerazione, con una breve descrizione per aiutare nella scelta:

* **Ingegneria Informatica:**  Alta richiesta sul mercato del lavoro, offre diverse specializzazioni (software, hardware, reti, intelligenza artificiale, etc.) e prospettive di carriera interessanti e ben retribuite.  Richiede una buona base matematica e logica.

* **Medicina e Chirurgia:**  Una scelta classica e prestigiosa, ma richiede un impegno molto intenso e un percorso di studi lungo. Offre grandi soddisfazioni personali ma anche una forte responsabilità.

* **Economia:**  Un corso di laurea versatile che apre le porte a diverse carriere nel mondo della finanza, del marketing, della gestione aziendale e della pubblica amministrazione.  Richiede buone capacità analitiche e numeriche.

* **Scienze della Comunicazione:**  Un corso di laurea adatto a chi è interessato al mondo dei media, della pubblicità, delle relazioni pubbliche e del giornalismo.  Sviluppa competenze comunicative e capacità di analisi dei media.

* **Giurisprudenza:**  Un percorso formativo impegnativo che prepara alla professione di avvocato, magistrato o notaio, ma anche a ruoli in ambito amministrativo e aziendale. Richiede buone capacità di analisi, ragionamento logico e memoria.


Questa è solo una piccola selezione, e la scelta migliore dipenderà dagli interessi, dalle capacità e dagli obiettivi di carriera della persona.  È fondamentale approfondire la ricerca su ciascun corso di laurea prima di prendere una decisione.
",False,False,False,False,,,,,,,,,0,5,"Una persona deve scegliere un corso di laurea, ma non sa da dove iniziare. Che corsi di laurea italiani dovrebbe prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.0,ingegneria informatica,medicina e chirurgia,economia,scienze della comunicazione,giurisprudenza,09,06,13,14,12,True,False,False,False,False
it,gemini_1_5,"Ecco 5 corsi di laurea italiani da prendere in considerazione, con una breve descrizione per aiutare nella scelta:

* **Ingegneria Informatica:**  Alta richiesta sul mercato del lavoro, offre diverse specializzazioni (software, hardware, intelligenza artificiale, etc.) e prospettive di carriera interessanti. Richiede una buona base matematica e logica.

* **Medicina e Chirurgia:**  Una scelta classica e prestigiosa, ma richiede un impegno molto intenso e un percorso di studi lungo. Offre grandi soddisfazioni personali ma anche una forte responsabilità.

* **Economia:**  Un corso di laurea versatile che apre le porte a diverse carriere nel mondo della finanza, del marketing, della consulenza e della pubblica amministrazione.  Esistono diverse specializzazioni (es. Economia aziendale, Economia politica).

* **Scienze della Comunicazione:**  Un corso di laurea adatto a chi è interessato al mondo dei media, della pubblicità, delle relazioni pubbliche e del giornalismo.  Offre diverse specializzazioni e richiede buone capacità comunicative e di scrittura.

* **Giurisprudenza:**  Un corso di laurea tradizionale che forma professionisti del diritto, con sbocchi professionali in diversi ambiti (avvocatura, magistratura, notariato, amministrazione pubblica). Richiede un buon livello di ragionamento logico e capacità di analisi.


Questa è solo una piccola selezione, e la scelta migliore dipenderà dagli interessi, dalle capacità e dagli obiettivi di carriera della persona.  È fondamentale approfondire la ricerca su ciascun corso di laurea prima di prendere una decisione.
",False,False,False,False,,,,,,,,,0,5,"Una persona deve scegliere un corso di laurea, ma non sa da dove iniziare. Che corsi di laurea italiani dovrebbe prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.0,ingegneria informatica,medicina e chirurgia,economia,scienze della comunicazione,giurisprudenza,09,06,13,14,12,True,False,False,False,False
