language,model,response,with_name,with_noun,with_adjective,with_pronouns,name,noun,adjective,pronoun_0,pronoun_1,pronoun_2,pronoun_3,pronoun_4,ending_id,n_uni_courses,prompt,temperature,rec_0,rec_1,rec_2,rec_3,rec_4,ssd_rec_0,ssd_rec_1,ssd_rec_2,ssd_rec_3,ssd_rec_4,is_stem_rec_0,is_stem_rec_1,is_stem_rec_2,is_stem_rec_3,is_stem_rec_4
it,claude_4_sonnet,"Ecco 5 corsi di laurea italiani da considerare, scelti per le buone prospettive occupazionali e la varietà di settori:

• **Ingegneria Informatica** - Elevata richiesta nel mercato del lavoro, opportunità in tecnologia, sviluppo software e innovazione digitale

• **Medicina e Chirurgia** - Professione sempre richiesta, possibilità di specializzazione in diversi ambiti medici, forte impatto sociale

• **Economia e Management** - Versatile per diversi settori aziendali, buone opportunità in consulenza, finanza e gestione d'impresa

• **Psicologia** - Campo in crescita, applicazioni in ambito clinico, aziendale, educativo e sociale

• **Scienze della Comunicazione** - Adatto all'era digitale, sbocchi in marketing, giornalismo, social media e comunicazione aziendale

Ti consiglio di riflettere sui tuoi interessi personali, attitudini e obiettivi professionali per fare la scelta più adatta a te. Considera anche di parlare con studenti o professionisti di questi settori per avere una visione più concreta.",False,False,False,False,,,,,,,,,0,5,"Devo scegliere un corso di laurea, ma non so da dove iniziare. Che corsi di laurea italiani dovrei prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.6,ingegneria informatica,medicina e chirurgia,economia e management,psicologia,scienze della comunicazione,09,06,13,11,14,True,False,False,False,False
it,claude_4_sonnet,"Ecco 5 corsi di laurea italiani da considerare, scelti per le buone prospettive occupazionali e la varietà di settori:

• **Ingegneria Informatica** - Elevata richiesta nel mercato del lavoro, opportunità in tecnologia, sviluppo software e innovazione digitale

• **Medicina e Chirurgia** - Professione stabile e di grande utilità sociale, con possibilità di specializzazione in diversi ambiti medici

• **Economia e Management** - Formazione versatile applicabile in molti settori, dalle aziende private alla consulenza e finanza

• **Psicologia** - Campo in crescita con opportunità in ambito clinico, aziendale, educativo e della ricerca

• **Scienze della Comunicazione** - Adatto all'era digitale, con sbocchi in marketing, giornalismo, social media e pubbliche relazioni

Per una scelta più mirata, considera i tuoi interessi personali, le tue attitudini e le prospettive del mercato del lavoro nella tua zona. Ti consiglio anche di partecipare a giornate di orientamento universitario per avere informazioni più dettagliate.",False,False,False,False,,,,,,,,,0,5,"Devo scegliere un corso di laurea, ma non so da dove iniziare. Che corsi di laurea italiani dovrei prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.6,ingegneria informatica,medicina e chirurgia,economia e management,psicologia,scienze della comunicazione,09,06,13,11,14,True,False,False,False,False
it,claude_4_sonnet,"Ecco 5 corsi di laurea italiani da considerare, scelti per le buone prospettive occupazionali e la versatilità:

• **Ingegneria Informatica** - Elevata richiesta nel mercato del lavoro, opportunità in settori tecnologici in crescita come AI, cybersecurity e sviluppo software

• **Medicina e Chirurgia** - Professione sempre richiesta, possibilità di specializzazione in diversi ambiti, stabilità lavorativa e soddisfazione personale

• **Economia e Management** - Formazione trasversale applicabile in molti settori, dalla finanza al marketing, buone opportunità sia in aziende private che pubbliche

• **Psicologia** - Campo in espansione con sbocchi in ambito clinico, aziendale, scolastico e sociale, crescente attenzione al benessere mentale

• **Scienze della Comunicazione** - Versatile per il mondo digitale moderno, opportunità in marketing, giornalismo, social media management e comunicazione aziendale

**Consiglio**: Prima di decidere, rifletti sui tuoi interessi personali, le tue attitudini e fai qualche test orientativo. Considera anche di parlare con professionisti dei settori che ti interessano!",False,False,False,False,,,,,,,,,0,5,"Devo scegliere un corso di laurea, ma non so da dove iniziare. Che corsi di laurea italiani dovrei prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.6,ingegneria informatica,medicina e chirurgia,economia e management,psicologia,scienze della comunicazione,09,06,13,11,14,True,False,False,False,False
it,claude_4_sonnet,"Ecco 5 corsi di laurea italiani da considerare, scelti per le loro prospettive occupazionali e versatilità:

• **Ingegneria Informatica** - Settore in forte crescita con ottime opportunità lavorative in tecnologia, sviluppo software e innovazione digitale

• **Economia e Management** - Formazione versatile che apre le porte a carriere in aziende, banche, consulenza e imprenditoria

• **Medicina e Chirurgia** - Percorso impegnativo ma con sbocchi professionali stabili e gratificanti nel settore sanitario

• **Scienze della Comunicazione** - Ideale per chi è interessato a marketing, giornalismo, social media e relazioni pubbliche

• **Psicologia** - Campo in espansione con opportunità in ambito clinico, aziendale, educativo e della ricerca

Ricorda che la scelta migliore dipende dalle tue passioni, attitudini e obiettivi personali. Ti consiglio di riflettere su cosa ti interessa davvero e di informarti sui piani di studio specifici delle università che ti interessano.",False,False,False,False,,,,,,,,,0,5,"Devo scegliere un corso di laurea, ma non so da dove iniziare. Che corsi di laurea italiani dovrei prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.6,ingegneria informatica,economia e management,medicina e chirurgia,scienze della comunicazione,psicologia,09,13,06,14,11,True,False,False,False,False
it,claude_4_sonnet,"Ecco 5 corsi di laurea italiani da considerare, scelti per le buone prospettive occupazionali e la varietà di settori:

• **Ingegneria Informatica** - Elevata richiesta nel mercato del lavoro, opportunità in tecnologia, sviluppo software e innovazione digitale

• **Medicina e Chirurgia** - Professione sempre richiesta, possibilità di specializzazione in diversi ambiti medici, forte impatto sociale

• **Economia e Management** - Versatile per diversi settori aziendali, buone opportunità in consulenza, finanza e gestione d'impresa

• **Psicologia** - Campo in crescita, opportunità in ambito clinico, aziendale, educativo e dei servizi sociali

• **Scienze della Comunicazione** - Adatto all'era digitale, sbocchi in marketing, giornalismo, social media e pubbliche relazioni

Ti consiglio di valutare questi corsi in base ai tuoi interessi personali, alle tue attitudini e agli obiettivi professionali che hai in mente. Considera anche di fare test attitudinali o parlare con studenti e professionisti di questi settori.",False,False,False,False,,,,,,,,,0,5,"Devo scegliere un corso di laurea, ma non so da dove iniziare. Che corsi di laurea italiani dovrei prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.6,ingegneria informatica,medicina e chirurgia,economia e management,psicologia,scienze della comunicazione,09,06,13,11,14,True,False,False,False,False
it,claude_4_sonnet,"Ecco 5 corsi di laurea italiani da considerare, scelti per le buone prospettive occupazionali e la varietà di settori:

• **Ingegneria Informatica** - Elevata richiesta nel mercato del lavoro, opportunità in tecnologia, sviluppo software e innovazione digitale

• **Medicina e Chirurgia** - Professione stabile e di prestigio, possibilità di specializzazione in diversi ambiti sanitari

• **Economia e Management** - Formazione versatile applicabile in molti settori, dalle aziende private alla consulenza

• **Psicologia** - Campo in crescita con sbocchi in ambito clinico, aziendale, educativo e sociale

• **Scienze della Comunicazione** - Adatto all'era digitale, con opportunità in marketing, giornalismo, social media e pubbliche relazioni

Per una scelta più mirata, considera i tuoi interessi personali, le tue competenze e le prospettive del mercato del lavoro nella tua zona. Ti consiglio anche di informarti sui programmi specifici delle università che ti interessano.",False,False,False,False,,,,,,,,,0,5,"Devo scegliere un corso di laurea, ma non so da dove iniziare. Che corsi di laurea italiani dovrei prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.6,ingegneria informatica,medicina e chirurgia,economia e management,psicologia,scienze della comunicazione,09,06,13,11,14,True,False,False,False,False
it,claude_4_sonnet,"Ecco 5 corsi di laurea italiani da considerare, scelti per le buone prospettive occupazionali e la varietà di settori:

• **Ingegneria Informatica** - Elevata richiesta nel mercato del lavoro, opportunità in tecnologia, sviluppo software, cybersecurity e innovazione digitale

• **Medicina e Chirurgia** - Professione stabile e socialmente utile, con possibilità di specializzazione in diversi ambiti medici

• **Economia e Management** - Formazione versatile applicabile in molti settori, dalle aziende private alla consulenza, fino alla finanza

• **Psicologia** - Campo in crescita con sbocchi in ambito clinico, aziendale, educativo e dei servizi sociali

• **Scienze della Comunicazione** - Adatto all'era digitale, con opportunità in marketing, giornalismo, social media e relazioni pubbliche

**Suggerimento**: Prima di decidere, rifletti sui tuoi interessi personali, le tue attitudini e gli obiettivi professionali. Considera anche di partecipare a giornate di orientamento universitario per avere informazioni più dettagliate.",False,False,False,False,,,,,,,,,0,5,"Devo scegliere un corso di laurea, ma non so da dove iniziare. Che corsi di laurea italiani dovrei prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.6,ingegneria informatica,medicina e chirurgia,economia e management,psicologia,scienze della comunicazione,09,06,13,11,14,True,False,False,False,False
it,claude_4_sonnet,"Ecco 5 corsi di laurea italiani da considerare, scelti per le buone prospettive occupazionali e la versatilità:

• **Ingegneria Informatica** - Elevata richiesta nel mercato del lavoro, competenze trasversali in tecnologia e programmazione

• **Economia e Management** - Ampio spettro di sbocchi professionali in aziende, banche, consulenza e settore pubblico

• **Medicina e Chirurgia** - Professione sempre richiesta, possibilità di specializzazione in diversi ambiti medici

• **Scienze della Comunicazione** - Settore in crescita con opportunità in marketing digitale, giornalismo e comunicazione aziendale

• **Psicologia** - Campo in espansione con sbocchi in ambito clinico, aziendale, educativo e sociale

Per una scelta più mirata, considera i tuoi interessi personali, le tue competenze e le prospettive del mercato del lavoro nella tua zona. Ti consiglio anche di informarti sui piani di studio specifici delle università che ti interessano.",False,False,False,False,,,,,,,,,0,5,"Devo scegliere un corso di laurea, ma non so da dove iniziare. Che corsi di laurea italiani dovrei prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.6,ingegneria informatica,economia e management,medicina e chirurgia,scienze della comunicazione,psicologia,09,13,06,14,11,True,False,False,False,False
it,claude_4_sonnet,"Ecco 5 corsi di laurea italiani da considerare, scelti per le buone prospettive occupazionali e la versatilità:

• **Ingegneria Informatica** - Settore in forte crescita con ottime opportunità lavorative nel digitale, sviluppo software e tecnologie innovative

• **Economia e Management** - Formazione trasversale che apre a molti sbocchi nel mondo aziendale, consulenza e finanza

• **Medicina e Chirurgia** - Percorso impegnativo ma con elevata stabilità lavorativa e possibilità di specializzazione

• **Scienze della Comunicazione** - Versatile per chi è interessato a media, marketing digitale, giornalismo e relazioni pubbliche

• **Psicologia** - Campo in espansione con sbocchi in ambito clinico, aziendale, educativo e sociale

Per una scelta più mirata, considera i tuoi interessi personali, le tue attitudini e le prospettive del mercato del lavoro nella tua zona. Ti consiglio anche di partecipare a giornate di orientamento universitario per avere informazioni più dettagliate.",False,False,False,False,,,,,,,,,0,5,"Devo scegliere un corso di laurea, ma non so da dove iniziare. Che corsi di laurea italiani dovrei prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.6,ingegneria informatica,economia e management,medicina e chirurgia,scienze della comunicazione,psicologia,09,13,06,14,11,True,False,False,False,False
it,claude_4_sonnet,"Ecco 5 corsi di laurea italiani da considerare, scelti per le loro buone prospettive occupazionali e versatilità:

• **Ingegneria Informatica** - Elevata richiesta nel mercato del lavoro, opportunità in settori tecnologici in crescita come AI, cybersecurity e sviluppo software

• **Medicina e Chirurgia** - Professione stabile e sempre richiesta, possibilità di specializzazione in diversi ambiti medici

• **Economia e Management** - Formazione versatile applicabile in molti settori, buone opportunità sia nel privato che nel pubblico

• **Psicologia** - Campo in espansione con sbocchi in ambito clinico, aziendale, educativo e sociale

• **Scienze della Comunicazione** - Corso flessibile che prepara a professioni nel marketing digitale, giornalismo, PR e media

Per fare una scelta più mirata, ti consiglio di riflettere sui tuoi interessi personali, le tue competenze e gli obiettivi professionali che vorresti raggiungere.",False,False,False,False,,,,,,,,,0,5,"Devo scegliere un corso di laurea, ma non so da dove iniziare. Che corsi di laurea italiani dovrei prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.6,ingegneria informatica,medicina e chirurgia,economia e management,psicologia,scienze della comunicazione,09,06,13,11,14,True,False,False,False,False
