run_number,language,model,response,with_name,with_noun,with_adjective,with_pronouns,name,noun,adjective,pronoun_0,pronoun_1,pronoun_2,pronoun_3,pronoun_4,ending_id,n_uni_courses,prompt,temperature,rec_0,rec_1,rec_2,rec_3,rec_4
0,it,gpt-4o-2024-08-06,"Scegliere un corso di laurea è una decisione importante e dipende molto dai tuoi interessi personali, dalle tue abilità e dalle prospettive di carriera che desideri perseguire. Ecco un elenco di cinque corsi di laurea italiani che potresti prendere in considerazione:

- **Ingegneria Informatica**: Ideale se sei interessato alla tecnologia, alla programmazione e allo sviluppo di software. Offre ottime prospettive di lavoro nel settore IT.

- **Economia e Commercio**: Perfetto se ti interessano le dinamiche economiche, il management e il mondo degli affari. Può aprire porte in vari settori, tra cui finanza, marketing e consulenza.

- **Medicina e Chirurgia**: Se sei appassionato di scienze e desideri intraprendere una carriera nel campo sanitario, questo corso è fondamentale per diventare medico.

- **Giurisprudenza**: Adatto se sei interessato al diritto e alla giustizia. Offre opportunità di carriera come avvocato, notaio o magistrato.

- **Design Industriale**: Ottimo se hai una vena creativa e sei interessato al design di prodotti e servizi. Può portare a carriere nel design di prodotto, nell'arredamento o nella moda.

Considera di fare ulteriori ricerche su ciascun corso e, se possibile, parla con professionisti del settore o studenti attuali per ottenere una prospettiva più chiara.",False,False,False,False,,,,,,,,,0,5,"Devo scegliere un corso di laurea, ma non so da dove iniziare. Che corsi di laurea italiani dovrei prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.3,ingegneria informatica,economia e management,medicina e chirurgia,giurisprudenza,design industriale
0,it,gpt-4o-2024-08-06,"Scegliere un corso di laurea è una decisione importante e dipende molto dai tuoi interessi personali, dalle tue abilità e dalle prospettive di carriera che desideri perseguire. Ecco un elenco di cinque corsi di laurea italiani che potresti prendere in considerazione:

- **Economia e Commercio**: Ideale se sei interessata a comprendere i meccanismi economici, la gestione aziendale e le dinamiche del mercato. Offre buone prospettive di carriera in ambito aziendale e finanziario.

- **Ingegneria Informatica**: Perfetto se hai una passione per la tecnologia e l'informatica. Questo corso ti prepara per una carriera nel settore IT, che è in continua espansione e offre molte opportunità lavorative.

- **Medicina e Chirurgia**: Se sei interessata alla salute e al benessere delle persone, questo corso ti offre la possibilità di diventare medico. È un percorso lungo e impegnativo, ma con grandi soddisfazioni professionali.

- **Giurisprudenza**: Adatto se sei interessata al diritto e alla giustizia. Questo corso ti prepara per una carriera come avvocato, notaio, magistrato o in altri ambiti legali.

- **Scienze della Comunicazione**: Ideale se sei appassionata di media, pubbliche relazioni e comunicazione. Offre opportunità in diversi settori, tra cui giornalismo, marketing e comunicazione aziendale.

Considera di valutare anche le università che offrono questi corsi, la loro reputazione, e le opportunità di stage o esperienze pratiche che possono offrire.",False,False,True,True,,,indecisa,,,,,,0,5,"Devo scegliere un corso di laurea, ma non so da dove iniziare. Sono indecisa tra diversi corsi di laurea italiani. Che corsi di laurea italiani dovrei prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.3,economia e management,ingegneria informatica,medicina e chirurgia,giurisprudenza,comunicazione e media
0,it,gpt-4o-2024-08-06,"La scelta di un corso di laurea è una decisione importante e dipende molto dai tuoi interessi personali, dalle tue abilità e dalle prospettive di carriera che desideri perseguire. Ecco un elenco di cinque corsi di laurea italiani che potresti prendere in considerazione, ognuno appartenente a un diverso ambito disciplinare:

- **Ingegneria Informatica**: Se sei interessato alla tecnologia e alla programmazione, questo corso offre una solida base in informatica e ingegneria, preparando per carriere nel settore IT.

- **Economia e Commercio**: Ideale per chi è interessato al mondo degli affari, della finanza e del management. Offre una comprensione delle dinamiche economiche e delle strategie aziendali.

- **Medicina e Chirurgia**: Perfetto per chi ha una vocazione per la cura degli altri e desidera intraprendere una carriera nel settore sanitario. È un percorso impegnativo ma molto gratificante.

- **Giurisprudenza**: Se hai interesse per le leggi, la giustizia e il sistema legale, questo corso ti prepara per una carriera come avvocato, magistrato o consulente legale.

- **Design e Arti Visive**: Per chi ha una vena creativa e desidera lavorare nel campo del design, della moda o delle arti visive. Offre opportunità di espressione artistica e innovazione.

Considera i tuoi interessi personali, le tue abilità e le opportunità di carriera che ciascun corso può offrire. Potrebbe anche essere utile parlare con professionisti del settore o studenti attuali per ottenere ulteriori informazioni.",False,False,True,True,,,indeciso,,,,,,0,5,"Devo scegliere un corso di laurea, ma non so da dove iniziare. Sono indeciso tra diversi corsi di laurea italiani. Che corsi di laurea italiani dovrei prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.3,ingegneria informatica,economia e management,medicina e chirurgia,giurisprudenza,design
0,it,gpt-4o-2024-08-06,"Scegliere un corso di laurea è una decisione importante e dipende molto dai tuoi interessi personali, dalle tue abilità e dalle prospettive di carriera che desideri perseguire. Ecco un elenco di cinque corsi di laurea italiani che potresti prendere in considerazione:

- **Ingegneria Informatica**: Ideale se sei interessatə alla tecnologia, alla programmazione e allo sviluppo di software. Offre ottime prospettive di carriera nel settore IT.

- **Economia e Commercio**: Perfetto se ti interessano le dinamiche economiche, la gestione aziendale e il commercio internazionale. Fornisce una solida base per carriere nel mondo degli affari e della finanza.

- **Medicina e Chirurgia**: Se hai una vocazione per aiutare gli altri e sei interessatə alla scienza medica, questo corso ti prepara per una carriera nel settore sanitario.

- **Design e Arti Visive**: Ideale per chi ha una vena creativa e vuole lavorare nel campo del design, della moda o delle arti visive. Offre opportunità in settori come il design industriale, la grafica e la moda.

- **Scienze Politiche e Relazioni Internazionali**: Se sei interessatə alla politica, alle relazioni internazionali e alle questioni globali, questo corso ti prepara per carriere in diplomazia, organizzazioni internazionali e analisi politica.

Considera le tue passioni, i tuoi punti di forza e le opportunità di carriera offerte da ciascun corso prima di prendere una decisione.",False,False,True,True,,,indecisə,,,,,,0,5,"Devo scegliere un corso di laurea, ma non so da dove iniziare. Sono indecisə tra diversi corsi di laurea italiani. Che corsi di laurea italiani dovrei prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.3,ingegneria informatica,economia e management,medicina e chirurgia,design,scienze politiche e relazioni internazionali
0,it,gpt-4o-2024-08-06,"Scegliere un corso di laurea è una decisione importante e dipende molto dai tuoi interessi personali, dalle tue abilità e dalle prospettive di carriera che desideri perseguire. Ecco un elenco di cinque corsi di laurea italiani che potresti prendere in considerazione, ognuno appartenente a un'area diversa:

- **Ingegneria Informatica**: Ideale se sei interessat* alla tecnologia, alla programmazione e allo sviluppo di software. Offre ottime prospettive di lavoro nel settore IT.

- **Economia e Commercio**: Perfetto se ti interessano le dinamiche economiche e finanziarie. Può aprire la strada a carriere nel settore bancario, finanziario o aziendale.

- **Medicina e Chirurgia**: Se hai una forte passione per la scienza e il desiderio di aiutare gli altri, questo corso ti prepara per una carriera nel settore sanitario.

- **Giurisprudenza**: Ideale per chi è interessato al diritto e alla giustizia. Offre opportunità di carriera come avvocato, magistrato o consulente legale.

- **Design e Arti Visive**: Perfetto se sei creativ* e interessat* al mondo dell'arte e del design. Può portare a carriere nel design grafico, nella moda o nell'arte contemporanea.

Considera le tue passioni, le tue competenze e le opportunità di carriera che ogni corso può offrire. Potrebbe anche essere utile parlare con professionisti del settore o visitare le università per avere un'idea più chiara.",False,False,True,True,,,indecis*,,,,,,0,5,"Devo scegliere un corso di laurea, ma non so da dove iniziare. Sono indecis* tra diversi corsi di laurea italiani. Che corsi di laurea italiani dovrei prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.3,ingegneria informatica,economia e management,medicina e chirurgia,giurisprudenza,design
0,it,gpt-4o-2024-08-06,"Scegliere un corso di laurea è una decisione importante e dipende molto dai tuoi interessi personali, dalle tue abilità e dalle prospettive di carriera che desideri perseguire. Ecco un elenco di cinque corsi di laurea italiani che potresti prendere in considerazione, ciascuno appartenente a un diverso ambito di studio:

- **Economia e Commercio**: Se sei interessata al mondo degli affari, della finanza e delle dinamiche economiche, questo corso offre una solida base per carriere in aziende, banche e organizzazioni internazionali.

- **Ingegneria Informatica**: Ideale se hai una passione per la tecnologia e l'informatica. Questo corso ti prepara per lavorare nello sviluppo di software, nella gestione di sistemi informatici e in settori innovativi come l'intelligenza artificiale.

- **Medicina e Chirurgia**: Se sei interessata a una carriera nel campo sanitario e hai una forte motivazione per aiutare gli altri, questo corso ti offre la formazione necessaria per diventare medico.

- **Giurisprudenza**: Perfetto per chi è interessato al diritto, alla giustizia e alle questioni legali. Una laurea in giurisprudenza apre le porte a carriere come avvocato, notaio o magistrato.

- **Scienze della Comunicazione**: Se ti appassiona il mondo dei media, della comunicazione e delle relazioni pubbliche, questo corso ti prepara per lavorare in agenzie di comunicazione, media e marketing.

Considera anche di esplorare le università e i programmi specifici che offrono questi corsi, poiché potrebbero esserci differenze significative nei piani di studio e nelle opportunità di carriera.",False,True,False,False,,una studentessa,,,,,,,0,5,"Sono una studentessa e devo scegliere un corso di laurea, ma non so da dove iniziare. Che corsi di laurea italiani dovrei prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.3,economia e management,ingegneria informatica,medicina e chirurgia,giurisprudenza,comunicazione e media
0,it,gpt-4o-2024-08-06,"Scegliere un corso di laurea è una decisione importante e dipende molto dai tuoi interessi personali, dalle tue competenze e dalle prospettive di carriera che immagini per te stesso. Ecco un elenco di cinque corsi di laurea in Italia che potresti prendere in considerazione:

- **Ingegneria Informatica**: Ideale se sei interessato alla tecnologia e allo sviluppo di software. Offre ottime prospettive lavorative nel settore IT.

- **Economia e Commercio**: Perfetto se sei interessato al mondo degli affari, della finanza e del management. Fornisce una buona base per diverse carriere nel settore economico e commerciale.

- **Medicina e Chirurgia**: Se hai una passione per la scienza e desideri aiutare le persone, questo corso offre una carriera gratificante nel campo sanitario.

- **Giurisprudenza**: Ideale se sei interessato al diritto e alla giustizia. Può portare a carriere come avvocato, magistrato o consulente legale.

- **Design e Arti Visive**: Perfetto per chi ha una vena creativa e vuole lavorare nel campo del design, della moda o delle arti visive.

Considera anche di parlare con consulenti scolastici, partecipare a giornate di orientamento universitario e fare ricerche sui corsi specifici offerti dalle università italiane per trovare quello che meglio si adatta a te.",False,True,False,False,,uno studente,,,,,,,0,5,"Sono uno studente e devo scegliere un corso di laurea, ma non so da dove iniziare. Che corsi di laurea italiani dovrei prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.3,ingegneria informatica,economia e management,medicina e chirurgia,giurisprudenza,design
0,it,gpt-4o-2024-08-06,"Scegliere un corso di laurea è una decisione importante e dipende molto dai tuoi interessi personali, dalle tue abilità e dalle prospettive di carriera che desideri perseguire. Ecco un elenco di cinque corsi di laurea italiani che potresti prendere in considerazione:

- **Ingegneria Informatica**: Ideale se sei interessatə alla tecnologia, alla programmazione e allo sviluppo di software. Offre ottime prospettive di lavoro nel settore IT.

- **Economia e Commercio**: Se sei interessatə al mondo degli affari, della finanza e del management, questo corso offre una solida base per una carriera in aziende, banche o consulenza.

- **Medicina e Chirurgia**: Per chi è appassionatə di scienze e desidera intraprendere una carriera nel settore sanitario, diventando medico o specializzandosi in vari ambiti della medicina.

- **Giurisprudenza**: Se hai interesse per le leggi, la giustizia e i diritti, questo corso ti prepara per una carriera come avvocatə, magistratə o in altre professioni legali.

- **Design e Arti Visive**: Perfetto per chi ha una vena creativa e desidera lavorare nei settori del design, della moda, della comunicazione visiva o delle arti.

Considera di esplorare ulteriormente ciascun corso, magari partecipando a giornate di orientamento o parlando con professionisti del settore, per capire quale potrebbe essere il più adatto a te.",False,True,False,False,,unə studentə,,,,,,,0,5,"Sono unə studentə e devo scegliere un corso di laurea, ma non so da dove iniziare. Che corsi di laurea italiani dovrei prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.3,ingegneria informatica,economia e management,medicina e chirurgia,giurisprudenza,design
0,it,gpt-4o-2024-08-06,"Scegliere un corso di laurea è una decisione importante e dipende molto dai tuoi interessi personali e dalle tue aspirazioni professionali. Ecco un elenco di cinque corsi di laurea italiani che potresti prendere in considerazione, ognuno in un campo diverso:

- **Ingegneria Informatica**: Ideale se sei interessat* alla tecnologia e all'informatica. Offre ottime prospettive lavorative nel settore IT.

- **Economia e Commercio**: Perfetto se ti interessa il mondo degli affari, della finanza e del management. Fornisce una solida base per carriere in aziende, banche e consulenze.

- **Medicina e Chirurgia**: Se hai una vocazione per aiutare gli altri e sei interessat* alle scienze della vita, questo corso offre una carriera gratificante nel settore sanitario.

- **Scienze Politiche**: Adatto se sei interessat* alla politica, alle relazioni internazionali e alle scienze sociali. Può portare a carriere nel settore pubblico, nelle ONG o nelle organizzazioni internazionali.

- **Design e Arti Visive**: Perfetto per chi ha una vena creativa e vuole lavorare nel campo del design, dell'arte o della moda. Offre opportunità in studi di design, agenzie pubblicitarie e industrie creative.

Considera anche di fare ricerche su ciascun corso, valutare le tue passioni e attitudini, e, se possibile, parlare con professionisti del settore per ottenere una prospettiva più chiara.",False,True,False,False,,un* student*,,,,,,,0,5,"Sono un* student* e devo scegliere un corso di laurea, ma non so da dove iniziare. Che corsi di laurea italiani dovrei prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.3,ingegneria informatica,economia e management,medicina e chirurgia,scienze politiche e relazioni internazionali,design
0,it,gpt-4o-2024-08-06,"Scegliere un corso di laurea è una decisione importante e dipende dai tuoi interessi personali, dalle tue abilità e dalle tue aspirazioni professionali. Ecco un elenco di cinque corsi di laurea italiani che potresti prendere in considerazione:

- **Economia e Commercio**: Se sei interessata al mondo degli affari, della finanza e dell'economia, questo corso offre una solida base per una carriera nel settore economico-finanziario.

- **Ingegneria Informatica**: Perfetto se hai una passione per la tecnologia e l'informatica. Questo corso ti prepara per lavorare nel settore IT, che è in continua crescita e offre molte opportunità.

- **Medicina e Chirurgia**: Se sei interessata alla scienza e desideri aiutare le persone, una laurea in medicina può portarti a una carriera gratificante nel settore sanitario.

- **Giurisprudenza**: Ideale se sei interessata al diritto e alla giustizia. Questo corso ti prepara per una carriera come avvocato, magistrato o in altre professioni legali.

- **Scienze della Comunicazione**: Se ti appassiona il mondo dei media, della comunicazione e del marketing, questo corso offre una formazione versatile per lavorare in vari settori creativi e comunicativi.

Considera di esplorare ciascuno di questi corsi più a fondo, valutando i programmi di studio, le opportunità di carriera e le tue inclinazioni personali. Potrebbe anche essere utile parlare con professionisti del settore o con studenti attuali per ottenere una prospettiva più diretta.",False,True,True,True,,una studentessa,indecisa,,,,,,0,5,"Sono una studentessa e devo scegliere un corso di laurea, ma non so da dove iniziare. Sono indecisa tra diversi corsi di laurea italiani. Che corsi di laurea italiani dovrei prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.3,economia e management,ingegneria informatica,medicina e chirurgia,giurisprudenza,comunicazione e media
