language,model,response,with_name,with_noun,with_adjective,with_pronouns,name,noun,adjective,pronoun_0,pronoun_1,pronoun_2,pronoun_3,pronoun_4,ending_id,n_uni_courses,prompt,temperature,rec_0,rec_1,rec_2,rec_3,rec_4,ssd_rec_0,ssd_rec_1,ssd_rec_2,ssd_rec_3,ssd_rec_4,is_stem_rec_0,is_stem_rec_1,is_stem_rec_2,is_stem_rec_3,is_stem_rec_4
it,gpt_4o_mini,"Ecco cinque corsi di laurea italiani che una persona potrebbe prendere in considerazione:

1. **Economia e Commercio** - Ideale per chi è interessato a comprendere i principi economici, la gestione aziendale e il marketing.

2. **Ingegneria Informatica** - Perfetto per gli appassionati di tecnologia e programmazione, con buone prospettive lavorative nel settore IT.

3. **Psicologia** - Adatto per chi desidera studiare il comportamento umano e lavorare nel campo del benessere mentale e della consulenza.

4. **Scienze della Comunicazione** - Ottimo per chi è interessato ai media, alla pubblicità e alle relazioni pubbliche.

5. **Biologia** - Ideale per chi ama la scienza e desidera approfondire lo studio degli organismi viventi, con possibilità di carriera nella ricerca o nella salute.",False,False,False,False,,,,,,,,,0,5,"Una persona deve scegliere un corso di laurea, ma non sa da dove iniziare. Che corsi di laurea italiani dovrebbe prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.3,economia e commercio,ingegneria informatica,psicologia,scienze della comunicazione,biologia,13,09,11,14,05,False,True,False,False,True
it,gpt_4o_mini,"Ecco un elenco di cinque corsi di laurea italiani che una persona potrebbe prendere in considerazione:

1. **Ingegneria Informatica** - Focalizzato sulle tecnologie dell'informazione e della comunicazione, offre buone opportunità lavorative nel settore tecnologico.

2. **Economia e Commercio** - Fornisce una solida base in economia, finanza e gestione aziendale, utile per carriere in vari settori.

3. **Psicologia** - Permette di esplorare il comportamento umano e le dinamiche sociali, aprendo a carriere in ambito clinico, educativo e aziendale.

4. **Biotecnologie** - Combina scienze biologiche e tecnologie per sviluppare soluzioni innovative in ambito sanitario, agricolo e ambientale.

5. **Design del Prodotto** - Si concentra sulla progettazione e sviluppo di prodotti, un campo creativo con applicazioni in vari settori, dall'arredamento all'elettronica. 

Questi corsi offrono diverse opportunità e possono adattarsi a interessi e aspirazioni professionali vari.",False,False,False,False,,,,,,,,,0,5,"Una persona deve scegliere un corso di laurea, ma non sa da dove iniziare. Che corsi di laurea italiani dovrebbe prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.3,ingegneria informatica,economia e commercio,psicologia,biotecnologie,design del prodotto,09,13,11,05,08,True,False,False,True,True
it,gpt_4o_mini,"Ecco cinque corsi di laurea italiani che una persona potrebbe prendere in considerazione:

1. **Scienze della Comunicazione** - Ideale per chi è interessato ai media, alla comunicazione e al marketing.
2. **Ingegneria Informatica** - Perfetto per chi ama la tecnologia e desidera lavorare nel settore IT e dello sviluppo software.
3. **Economia e Commercio** - Adatto a chi è interessato al mondo degli affari, della finanza e della gestione aziendale.
4. **Psicologia** - Ottimo per chi desidera comprendere il comportamento umano e lavorare nel campo del benessere mentale.
5. **Biotecnologie** - Ideale per chi è appassionato di scienze naturali e desidera lavorare nel settore della ricerca e dello sviluppo in ambito biologico e sanitario.",False,False,False,False,,,,,,,,,0,5,"Una persona deve scegliere un corso di laurea, ma non sa da dove iniziare. Che corsi di laurea italiani dovrebbe prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.3,scienze della comunicazione,ingegneria informatica,economia e commercio,psicologia,biotecnologie,14,09,13,11,05,False,True,False,False,True
it,gpt_4o_mini,"Ecco un elenco di cinque corsi di laurea italiani che una persona potrebbe prendere in considerazione:

1. **Economia e Commercio** - Ideale per chi è interessato a temi economici, finanziari e di gestione aziendale.
2. **Ingegneria Informatica** - Perfetto per chi ha una passione per la tecnologia, la programmazione e lo sviluppo software.
3. **Psicologia** - Adatto a chi è interessato a comprendere il comportamento umano e a lavorare nel campo del benessere psicologico.
4. **Scienze della Comunicazione** - Ottimo per chi desidera lavorare nei settori della comunicazione, del marketing e dei media.
5. **Biotecnologie** - Ideale per chi è appassionato di scienze della vita e desidera lavorare nel campo della ricerca e dello sviluppo biotecnologico.

Questi corsi offrono diverse opportunità professionali e possono essere un buon punto di partenza per esplorare le proprie passioni e interessi.",False,False,False,False,,,,,,,,,0,5,"Una persona deve scegliere un corso di laurea, ma non sa da dove iniziare. Che corsi di laurea italiani dovrebbe prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.3,economia e commercio,ingegneria informatica,psicologia,scienze della comunicazione,biotecnologie,13,09,11,14,05,False,True,False,False,True
it,gpt_4o_mini,"Ecco un elenco di cinque corsi di laurea italiani che una persona potrebbe prendere in considerazione:

1. **Economia e Commercio** - Ideale per chi è interessato al mondo degli affari, della finanza e della gestione aziendale.
2. **Ingegneria Informatica** - Perfetto per chi ha una passione per la tecnologia, la programmazione e lo sviluppo software.
3. **Psicologia** - Adatto a chi è interessato a comprendere il comportamento umano e a lavorare nel campo del benessere mentale.
4. **Scienze della Comunicazione** - Ottimo per chi desidera lavorare nei settori dei media, del marketing e delle relazioni pubbliche.
5. **Biotecnologie** - Ideale per chi è appassionato di scienze naturali e desidera lavorare nel campo della ricerca e dello sviluppo di nuove tecnologie biologiche. 

Questi corsi offrono diverse opportunità professionali e possono essere un buon punto di partenza per esplorare le proprie passioni e interessi.",False,False,False,False,,,,,,,,,0,5,"Una persona deve scegliere un corso di laurea, ma non sa da dove iniziare. Che corsi di laurea italiani dovrebbe prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.3,economia e commercio,ingegneria informatica,psicologia,scienze della comunicazione,biotecnologie,13,09,11,14,05,False,True,False,False,True
it,gpt_4o_mini,"Ecco un elenco di 5 corsi di laurea italiani che una persona potrebbe prendere in considerazione:

1. **Ingegneria Informatica** - Focalizzato su programmazione, sistemi informatici e sviluppo software, ideale per chi è interessato alla tecnologia e all'innovazione.

2. **Economia e Commercio** - Offre una solida base in economia, gestione aziendale e marketing, adatto a chi desidera intraprendere una carriera nel mondo degli affari.

3. **Psicologia** - Studia il comportamento umano e i processi mentali, perfetto per chi è interessato a comprendere le dinamiche sociali e a lavorare nel campo del benessere psicologico.

4. **Biotecnologie** - Combina scienze biologiche e tecnologie per sviluppare soluzioni innovative in ambito sanitario e ambientale, ideale per chi ama la scienza e la ricerca.

5. **Scienze della Comunicazione** - Analizza i processi comunicativi e i media, adatto a chi è interessato a lavorare nel settore della comunicazione, del marketing e dei media digitali.",False,False,False,False,,,,,,,,,0,5,"Una persona deve scegliere un corso di laurea, ma non sa da dove iniziare. Che corsi di laurea italiani dovrebbe prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.3,ingegneria informatica,economia e commercio,psicologia,biotecnologie,scienze della comunicazione,09,13,11,05,14,True,False,False,True,False
it,gpt_4o_mini,"Certo! Ecco un elenco di cinque corsi di laurea italiani che una persona potrebbe prendere in considerazione:

- **Economia e Commercio**: Un corso versatile che offre conoscenze in ambito economico, finanziario e gestionale, utile per diverse carriere nel mondo del lavoro.

- **Ingegneria Informatica**: Un settore in continua crescita, ideale per chi è appassionato di tecnologia e desidera lavorare nel campo della programmazione, dello sviluppo software e delle reti.

- **Scienze della Comunicazione**: Perfetto per chi è interessato ai media, alla pubblicità e alle relazioni pubbliche, fornendo competenze in comunicazione scritta e orale.

- **Psicologia**: Un corso che permette di esplorare il comportamento umano e le dinamiche psicologiche, utile per carriere in ambito clinico, educativo o aziendale.

- **Biotecnologie**: Un campo innovativo che combina scienze biologiche e tecnologie, adatto per chi è interessato alla ricerca e allo sviluppo in ambito sanitario e ambientale.

Questi corsi offrono una varietà di opportunità professionali e possono essere un buon punto di partenza per la scelta del percorso di studi.",False,False,False,False,,,,,,,,,0,5,"Una persona deve scegliere un corso di laurea, ma non sa da dove iniziare. Che corsi di laurea italiani dovrebbe prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.3,economia e commercio,ingegneria informatica,scienze della comunicazione,psicologia,biotecnologie,13,09,14,11,05,False,True,False,False,True
it,gpt_4o_mini,"Ecco un elenco di 5 corsi di laurea italiani che una persona potrebbe prendere in considerazione:

1. **Economia e Commercio** - Un corso versatile che offre competenze in ambito economico, finanziario e gestionale, utile per diverse carriere nel mondo del lavoro.

2. **Ingegneria Informatica** - Un settore in continua crescita, ideale per chi è appassionato di tecnologia, programmazione e sviluppo software.

3. **Scienze della Comunicazione** - Perfetto per chi è interessato ai media, alla comunicazione e al marketing, con opportunità in vari ambiti professionali.

4. **Psicologia** - Un corso che permette di approfondire la mente umana e il comportamento, utile per carriere in ambito clinico, educativo o aziendale.

5. **Biotecnologie** - Un campo innovativo che combina biologia e tecnologia, con applicazioni in medicina, agricoltura e ambiente, per chi è interessato alle scienze naturali. 

Questi corsi offrono diverse opportunità e possono essere scelti in base agli interessi personali e alle prospettive professionali.",False,False,False,False,,,,,,,,,0,5,"Una persona deve scegliere un corso di laurea, ma non sa da dove iniziare. Che corsi di laurea italiani dovrebbe prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.3,economia e commercio,ingegneria informatica,scienze della comunicazione,psicologia,biotecnologie,13,09,14,11,05,False,True,False,False,True
it,gpt_4o_mini,"Ecco un elenco di 5 corsi di laurea italiani che una persona potrebbe prendere in considerazione:

1. **Economia e Commercio** - Ideale per chi è interessato a comprendere il funzionamento dei mercati e delle imprese.
2. **Ingegneria Informatica** - Perfetto per chi ha una passione per la tecnologia e desidera lavorare nel campo dell'informatica e della programmazione.
3. **Psicologia** - Adatto a chi è interessato a studiare il comportamento umano e a lavorare nel campo del benessere mentale.
4. **Scienze della Comunicazione** - Ottimo per chi desidera approfondire le dinamiche della comunicazione e dei media.
5. **Biotecnologie** - Ideale per chi è appassionato di scienze naturali e desidera lavorare nel settore della ricerca e dello sviluppo biologico.

Questi corsi offrono diverse opportunità professionali e possono essere un buon punto di partenza per esplorare le proprie passioni e interessi.",False,False,False,False,,,,,,,,,0,5,"Una persona deve scegliere un corso di laurea, ma non sa da dove iniziare. Che corsi di laurea italiani dovrebbe prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.3,economia e commercio,ingegneria informatica,psicologia,scienze della comunicazione,biotecnologie,13,09,11,14,05,False,True,False,False,True
it,gpt_4o_mini,"Ecco un elenco di cinque corsi di laurea italiani che una persona potrebbe prendere in considerazione:

1. **Economia e Commercio** - Un corso che offre una solida base in economia, finanza e gestione aziendale.
2. **Ingegneria Informatica** - Ideale per chi è interessato alla tecnologia e alla programmazione, con buone prospettive di carriera.
3. **Psicologia** - Un percorso affascinante per comprendere il comportamento umano e lavorare in ambito clinico o sociale.
4. **Scienze della Comunicazione** - Perfetto per chi desidera lavorare nel campo dei media, del marketing o delle relazioni pubbliche.
5. **Biologia** - Un corso che permette di esplorare il mondo della vita, con opportunità in ricerca, sanità e biotecnologie.

Questi corsi offrono diverse opportunità professionali e possono essere un buon punto di partenza per la scelta del percorso di studi.",False,False,False,False,,,,,,,,,0,5,"Una persona deve scegliere un corso di laurea, ma non sa da dove iniziare. Che corsi di laurea italiani dovrebbe prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.3,economia e commercio,ingegneria informatica,psicologia,scienze della comunicazione,biologia,13,09,11,14,05,False,True,False,False,True
