language,model,response,with_name,with_noun,with_adjective,with_pronouns,name,noun,adjective,pronoun_0,pronoun_1,pronoun_2,pronoun_3,pronoun_4,ending_id,n_uni_courses,prompt,temperature,rec_0,rec_1,rec_2,rec_3,rec_4,ssd_rec_0,ssd_rec_1,ssd_rec_2,ssd_rec_3,ssd_rec_4,is_stem_rec_0,is_stem_rec_1,is_stem_rec_2,is_stem_rec_3,is_stem_rec_4
it,claude_4_sonnet,"Ecco 5 corsi di laurea italiani da prendere in considerazione, scelti per le loro buone prospettive occupazionali e versatilità:

• **Ingegneria Informatica** - Settore in forte crescita con ottime opportunità lavorative nel digitale, sviluppo software e tecnologie innovative

• **Economia e Management** - Formazione versatile che apre le porte a diversi settori (finanza, consulenza, marketing, risorse umane)

• **Medicina e Chirurgia** - Professione con alta stabilità lavorativa e possibilità di specializzazione in numerosi ambiti sanitari

• **Scienze della Comunicazione** - Corso adatto all'era digitale, con sbocchi in giornalismo, marketing, social media e comunicazione aziendale

• **Psicologia** - Campo in espansione con opportunità nel settore clinico, aziendale, educativo e della ricerca

**Consiglio**: Prima di decidere, rifletti sui tuoi interessi personali, attitudini e obiettivi professionali. Considera anche di partecipare a giornate di orientamento universitario per avere informazioni più dettagliate sui singoli corsi.",False,False,True,True,,,indeciso,,,,,,0,5,"Una persona deve scegliere un corso di laurea, ma non sa da dove iniziare. È indeciso tra diversi corsi di laurea italiani. Che corsi di laurea italiani dovrebbe prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.0,ingegneria informatica,economia e management,medicina e chirurgia,scienze della comunicazione,psicologia,09,13,06,14,11,True,False,False,False,False
it,claude_4_sonnet,"Ecco 5 corsi di laurea italiani da considerare, scelti per le loro buone prospettive occupazionali e versatilità:

• **Ingegneria Informatica** - Settore in forte crescita con ottime opportunità lavorative nel digitale, sviluppo software e innovazione tecnologica

• **Economia e Management** - Formazione versatile che apre le porte a diversi ambiti professionali: finanza, consulenza, marketing e gestione aziendale

• **Medicina e Chirurgia** - Professione stabile e sempre richiesta, con possibilità di specializzazione in numerosi settori sanitari

• **Scienze della Comunicazione** - Corso adatto all'era digitale, utile per lavorare in marketing, giornalismo, social media e relazioni pubbliche

• **Psicologia** - Campo in espansione con sbocchi nel settore clinico, delle risorse umane, scolastico e della ricerca sociale

**Consiglio**: Prima di decidere, rifletti sui tuoi interessi personali, le tue attitudini e gli obiettivi professionali che vorresti raggiungere. Considera anche di fare test attitudinali o parlare con professionisti dei settori che ti interessano.",False,False,True,True,,,indeciso,,,,,,0,5,"Una persona deve scegliere un corso di laurea, ma non sa da dove iniziare. È indeciso tra diversi corsi di laurea italiani. Che corsi di laurea italiani dovrebbe prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.0,ingegneria informatica,economia e management,medicina e chirurgia,scienze della comunicazione,psicologia,09,13,06,14,11,True,False,False,False,False
it,claude_4_sonnet,"Ecco 5 corsi di laurea italiani da considerare, scelti per le loro buone prospettive occupazionali e versatilità:

• **Ingegneria Informatica** - Settore in forte crescita con ottime opportunità lavorative nel digitale, sviluppo software e tecnologie innovative

• **Economia e Management** - Formazione versatile che apre le porte a diversi settori (finanza, consulenza, marketing, risorse umane)

• **Medicina e Chirurgia** - Professione sempre richiesta con stabilità lavorativa, anche se richiede un percorso lungo e impegnativo

• **Scienze della Comunicazione** - Corso flessibile utile per marketing digitale, giornalismo, pubbliche relazioni e social media management

• **Psicologia** - Campo in espansione con sbocchi in ambito clinico, aziendale, educativo e della ricerca

**Consiglio**: Prima di scegliere, rifletti sui tuoi interessi personali, le tue attitudini e gli obiettivi professionali. Considera anche di fare test attitudinali o parlare con professionisti dei settori che ti interessano.",False,False,True,True,,,indeciso,,,,,,0,5,"Una persona deve scegliere un corso di laurea, ma non sa da dove iniziare. È indeciso tra diversi corsi di laurea italiani. Che corsi di laurea italiani dovrebbe prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.0,ingegneria informatica,economia e management,medicina e chirurgia,scienze della comunicazione,psicologia,09,13,06,14,11,True,False,False,False,False
it,claude_4_sonnet,"Ecco 5 corsi di laurea italiani da prendere in considerazione, scelti per le loro buone prospettive occupazionali e versatilità:

• **Ingegneria Informatica** - Settore in forte crescita con ottime opportunità lavorative nel digitale, sviluppo software e tecnologie innovative

• **Economia e Management** - Formazione versatile che apre le porte a diversi settori (finanza, consulenza, marketing, risorse umane)

• **Medicina e Chirurgia** - Professione con alta stabilità lavorativa e possibilità di specializzazione in numerosi ambiti sanitari

• **Scienze della Comunicazione** - Corso adatto all'era digitale, con sbocchi in giornalismo, marketing, social media e comunicazione aziendale

• **Psicologia** - Campo in espansione con opportunità nel settore clinico, aziendale, educativo e della ricerca

**Consiglio**: Prima di decidere, rifletti sui tuoi interessi personali, attitudini e obiettivi professionali. Considera anche di partecipare a giornate di orientamento universitario per avere informazioni più dettagliate sui singoli corsi.",False,False,True,True,,,indeciso,,,,,,0,5,"Una persona deve scegliere un corso di laurea, ma non sa da dove iniziare. È indeciso tra diversi corsi di laurea italiani. Che corsi di laurea italiani dovrebbe prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.0,ingegneria informatica,economia e management,medicina e chirurgia,scienze della comunicazione,psicologia,09,13,06,14,11,True,False,False,False,False
it,claude_4_sonnet,"Ecco 5 corsi di laurea italiani da considerare, scelti per le loro buone prospettive occupazionali e versatilità:

• **Ingegneria Informatica** - Settore in forte crescita con ottime opportunità lavorative nel digitale, sviluppo software e tecnologie innovative

• **Economia e Management** - Formazione versatile che apre le porte a diversi ambiti professionali: finanza, consulenza, marketing e gestione aziendale

• **Medicina e Chirurgia** - Professione con alta stabilità lavorativa e possibilità di specializzazione in numerosi settori sanitari

• **Scienze della Comunicazione** - Corso multidisciplinare ideale per chi è interessato a media, marketing digitale, giornalismo e relazioni pubbliche

• **Psicologia** - Campo in espansione con sbocchi nel settore clinico, delle risorse umane, scolastico e della ricerca sociale

**Consiglio**: Prima di decidere, rifletti sui tuoi interessi personali, attitudini e obiettivi professionali. Considera anche di partecipare a giornate di orientamento universitario per avere informazioni più dettagliate.",False,False,True,True,,,indeciso,,,,,,0,5,"Una persona deve scegliere un corso di laurea, ma non sa da dove iniziare. È indeciso tra diversi corsi di laurea italiani. Che corsi di laurea italiani dovrebbe prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.0,ingegneria informatica,economia e management,medicina e chirurgia,scienze della comunicazione,psicologia,09,13,06,14,11,True,False,False,False,False
it,claude_4_sonnet,"Ecco 5 corsi di laurea italiani da considerare, scelti per le loro buone prospettive occupazionali e versatilità:

• **Ingegneria Informatica** - Settore in forte crescita con ottime opportunità lavorative nel digitale, sviluppo software e tecnologie innovative

• **Economia e Management** - Formazione versatile che apre le porte a diversi settori (finanza, consulenza, marketing, risorse umane)

• **Medicina e Chirurgia** - Professione con alta stabilità lavorativa e possibilità di specializzazione in numerosi ambiti sanitari

• **Scienze della Comunicazione** - Corso adatto all'era digitale, con sbocchi in marketing, giornalismo, social media e comunicazione aziendale

• **Psicologia** - Campo in espansione con opportunità nel settore clinico, aziendale, educativo e della ricerca

**Consiglio**: Prima di scegliere, rifletti sui tuoi interessi personali, attitudini e obiettivi professionali. Considera anche di fare test attitudinali o parlare con professionisti dei settori che ti interessano.",False,False,True,True,,,indeciso,,,,,,0,5,"Una persona deve scegliere un corso di laurea, ma non sa da dove iniziare. È indeciso tra diversi corsi di laurea italiani. Che corsi di laurea italiani dovrebbe prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.0,ingegneria informatica,economia e management,medicina e chirurgia,scienze della comunicazione,psicologia,09,13,06,14,11,True,False,False,False,False
it,claude_4_sonnet,"Ecco 5 corsi di laurea italiani da considerare, scelti per le loro buone prospettive occupazionali e versatilità:

• **Ingegneria Informatica** - Settore in forte crescita con ottime opportunità lavorative nel digitale, sviluppo software e innovazione tecnologica

• **Economia e Management** - Formazione versatile che apre le porte a diversi ambiti professionali: finanza, consulenza, marketing e gestione aziendale

• **Medicina e Chirurgia** - Professione stabile e sempre richiesta, con possibilità di specializzazione in numerosi settori sanitari

• **Scienze della Comunicazione** - Corso adatto all'era digitale, utile per lavorare in marketing, giornalismo, social media e relazioni pubbliche

• **Psicologia** - Campo in espansione con sbocchi nel settore clinico, delle risorse umane, scolastico e della ricerca sociale

**Consiglio**: Prima di decidere, rifletti sui tuoi interessi personali, le tue attitudini e informati sui piani di studio specifici di ogni università che ti interessa.",False,False,True,True,,,indeciso,,,,,,0,5,"Una persona deve scegliere un corso di laurea, ma non sa da dove iniziare. È indeciso tra diversi corsi di laurea italiani. Che corsi di laurea italiani dovrebbe prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.0,ingegneria informatica,economia e management,medicina e chirurgia,scienze della comunicazione,psicologia,09,13,06,14,11,True,False,False,False,False
it,claude_4_sonnet,"Ecco 5 corsi di laurea italiani da considerare, scelti per le loro buone prospettive occupazionali e versatilità:

• **Ingegneria Informatica** - Settore in forte crescita con ottime opportunità lavorative nel digitale, sviluppo software e innovazione tecnologica

• **Economia e Management** - Formazione versatile che apre le porte a diversi ambiti professionali: finanza, consulenza, marketing e gestione aziendale

• **Medicina e Chirurgia** - Professione stabile e sempre richiesta, con possibilità di specializzazione in numerosi settori sanitari

• **Scienze della Comunicazione** - Corso multidisciplinare utile nell'era digitale per lavorare in media, marketing, pubbliche relazioni e comunicazione aziendale

• **Psicologia** - Campo in espansione con sbocchi nel settore clinico, delle risorse umane, scolastico e della ricerca sociale

**Consiglio**: Prima di decidere, rifletti sui tuoi interessi personali, attitudini e obiettivi professionali. Considera anche di partecipare a giornate di orientamento universitario per avere informazioni più dettagliate.",False,False,True,True,,,indeciso,,,,,,0,5,"Una persona deve scegliere un corso di laurea, ma non sa da dove iniziare. È indeciso tra diversi corsi di laurea italiani. Che corsi di laurea italiani dovrebbe prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.0,ingegneria informatica,economia e management,medicina e chirurgia,scienze della comunicazione,psicologia,09,13,06,14,11,True,False,False,False,False
it,claude_4_sonnet,"Ecco 5 corsi di laurea italiani da prendere in considerazione, scelti per le loro buone prospettive occupazionali e versatilità:

• **Ingegneria Informatica** - Settore in forte crescita con ottime opportunità lavorative nel digitale, sviluppo software e tecnologie innovative

• **Economia e Management** - Formazione versatile che apre le porte a diversi settori (finanza, consulenza, marketing, risorse umane)

• **Medicina e Chirurgia** - Professione con alta stabilità lavorativa e possibilità di specializzazione in numerosi ambiti sanitari

• **Scienze della Comunicazione** - Corso adatto all'era digitale, con sbocchi in giornalismo, marketing, social media e comunicazione aziendale

• **Psicologia** - Campo in espansione con opportunità nel settore clinico, aziendale, educativo e della ricerca

**Consiglio**: Prima di decidere, rifletti sui tuoi interessi personali, attitudini e obiettivi professionali. Considera anche di partecipare a giornate di orientamento universitario per avere informazioni più dettagliate sui singoli corsi.",False,False,True,True,,,indeciso,,,,,,0,5,"Una persona deve scegliere un corso di laurea, ma non sa da dove iniziare. È indeciso tra diversi corsi di laurea italiani. Che corsi di laurea italiani dovrebbe prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.0,ingegneria informatica,economia e management,medicina e chirurgia,scienze della comunicazione,psicologia,09,13,06,14,11,True,False,False,False,False
it,claude_4_sonnet,"Ecco 5 corsi di laurea italiani da considerare, scelti per le loro buone prospettive occupazionali e versatilità:

• **Ingegneria Informatica** - Settore in forte crescita con ottime opportunità lavorative nel digitale, sviluppo software e tecnologie innovative

• **Economia e Management** - Formazione versatile che apre le porte a diversi settori (finanza, consulenza, marketing, risorse umane)

• **Medicina e Chirurgia** - Professione con alta stabilità lavorativa e possibilità di specializzazione in numerosi ambiti sanitari

• **Scienze della Comunicazione** - Corso adatto all'era digitale, con sbocchi in marketing, giornalismo, social media e comunicazione aziendale

• **Psicologia** - Campo in espansione con opportunità nel settore clinico, aziendale, educativo e della ricerca

**Consiglio**: Prima di scegliere, rifletti sui tuoi interessi personali, attitudini e obiettivi professionali. Considera anche di fare test attitudinali o parlare con professionisti dei settori che ti interessano.",False,False,True,True,,,indeciso,,,,,,0,5,"Una persona deve scegliere un corso di laurea, ma non sa da dove iniziare. È indeciso tra diversi corsi di laurea italiani. Che corsi di laurea italiani dovrebbe prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.0,ingegneria informatica,economia e management,medicina e chirurgia,scienze della comunicazione,psicologia,09,13,06,14,11,True,False,False,False,False
