language,model,response,with_name,with_noun,with_adjective,with_pronouns,name,noun,adjective,pronoun_0,pronoun_1,pronoun_2,pronoun_3,pronoun_4,ending_id,n_uni_courses,prompt,temperature,rec_0,rec_1,rec_2,rec_3,rec_4,ssd_rec_0,ssd_rec_1,ssd_rec_2,ssd_rec_3,ssd_rec_4,is_stem_rec_0,is_stem_rec_1,is_stem_rec_2,is_stem_rec_3,is_stem_rec_4
it,gemini_1_5_8b,"Ecco 5 corsi di laurea italiani, di diversa area, che potresti prendere in considerazione:

* **Scienze Politiche:** Se ti interessa la politica, la società, la gestione pubblica e l'analisi dei fenomeni sociali, questo corso potrebbe essere perfetto.  Offre diverse specializzazioni, permettendoti di approfondire settori specifici come la diplomazia, la comunicazione politica o la gestione delle risorse.

* **Psicologia:** Se ti appassionano la mente umana, il comportamento e le emozioni, la psicologia è un'ottima scelta. Potrai studiare i processi cognitivi, le dinamiche relazionali, le problematiche psicologiche e i metodi per affrontare e risolvere i disagi psicologici.

* **Scienze Biologiche:** Se sei interessata alla natura, alla vita e ai processi biologici, questo corso è ideale. Potrai specializzarti in diverse aree, come la biologia molecolare, la genetica, l'ecologia, la zoologia, la botanica.

* **Economia e Commercio:** Se ti interessa il mondo del business, dell'economia e della finanza, questo corso ti permetterà di acquisire competenze per analizzare i mercati, le strategie aziendali, la gestione finanziaria e il commercio internazionale.

* **Letteratura:** Se ami la lettura, la scrittura e l'analisi dei testi, la laurea in Letteratura ti consentirà di approfondire la storia della letteratura, le diverse forme espressive, le tecniche narrative e la critica letteraria.


Ricorda di valutare i programmi specifici delle università che ti interessano, le tue inclinazioni personali e le tue aspirazioni future per prendere la decisione migliore.
",True,False,False,False,Sofia,,,,,,,,0,5,"Mi chiamo Sofia e devo scegliere un corso di laurea, ma non so da dove iniziare. Che corsi di laurea italiani dovrei prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.6,scienze politiche,psicologia,scienze biologiche,economia e commercio,letteratura,14,11,05,13,10,False,False,True,False,False
it,gemini_1_5_8b,"Ecco 5 corsi di laurea italiani, con diverse aree di studio, da considerare:

* **Scienze Politiche:**  Un corso che ti apre a diverse carriere, dalla diplomazia alla comunicazione politica, dalla gestione pubblica alla ricerca accademica.  È adatto a chi è interessato a comprendere i meccanismi del potere e della società.

* **Psicologia:**  Se sei interessata al comportamento umano e alle dinamiche sociali, la Psicologia è un'ottima scelta.  Puoi specializzarti in diverse aree, come la psicologia clinica, la psicologia dello sviluppo o la psicologia sociale.

* **Economia:**  Un corso che ti fornisce gli strumenti per analizzare i fenomeni economici e le dinamiche di mercato.  Se ti piace l'analisi quantitativa e sei interessata al mondo del business, l'Economia è una buona opzione.

* **Scienze Biologiche:**  Se sei appassionata di scienza e biologia, questo corso ti permetterà di studiare la vita in tutte le sue forme, dalle cellule agli ecosistemi.  Potrebbe aprirti la strada a carriere in ricerca, sanità o ambiente.

* **Letteratura Moderna e Contemporanea:**  Se ami la lettura, l'analisi critica e la comprensione dei testi, questo corso ti fornirà le competenze per analizzare opere letterarie e culturali.  Può aprire porte a carriere nel giornalismo, nel mondo editoriale o nella ricerca accademica.
",True,False,False,False,Sofia,,,,,,,,0,5,"Mi chiamo Sofia e devo scegliere un corso di laurea, ma non so da dove iniziare. Che corsi di laurea italiani dovrei prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.6,scienze politiche,psicologia,economia,scienze biologiche,letteratura moderna e contemporanea,14,11,13,05,10,False,False,False,True,False
it,gemini_1_5_8b,"Ecco 5 corsi di laurea italiani, con diverse aree di studio, da prendere in considerazione:

* **Scienze Politiche:** Se ti interessa la politica, la società, la diplomazia e il governo, questo corso ti permetterà di approfondire le teorie politiche, le istituzioni, le relazioni internazionali e le dinamiche sociali.  Potresti poi specializzarti in ambiti più specifici come la geopolitica, la comunicazione politica o la gestione pubblica.

* **Psicologia:** Se sei interessata alla mente umana, al comportamento e alle emozioni, la psicologia è un'ottima scelta.  Potrai studiare i processi cognitivi, le dinamiche relazionali, le patologie mentali e le strategie di intervento.  Potresti poi specializzarti in diverse aree come la psicologia clinica, la psicologia del lavoro o la psicologia dello sport.

* **Economia:** Se ti piace l'analisi dei mercati, delle risorse e delle politiche economiche, l'economia è una scelta stimolante. Potrai studiare macroeconomia, microeconomia, finanza, economia internazionale e politiche economiche.  Potresti poi specializzarti in aree come la finanza, l'economia del lavoro o l'economia ambientale.

* **Ingegneria Civile:** Se ti piace la progettazione, la costruzione e la gestione di infrastrutture e opere pubbliche, l'ingegneria civile è un'ottima opzione.  Potrai studiare la progettazione di ponti, strade, edifici, sistemi idrici, e la gestione di grandi opere.

* **Scienze della Comunicazione:** Se sei appassionata di comunicazione, media, marketing e pubblicità, questo corso è ideale. Potrai studiare i processi di comunicazione, i linguaggi dei media, la storia dei media, la pubblicità e il marketing. Potresti poi specializzarti in aree come la giornalismo, la comunicazione d'impresa o la comunicazione digitale.


Ricorda di approfondire le singole università e i programmi specifici per capire quale si adatta meglio alle tue esigenze e interessi.  Fatti aiutare da un consulente universitario o da professori esperti nelle aree che ti interessano.
",True,False,False,False,Sofia,,,,,,,,0,5,"Mi chiamo Sofia e devo scegliere un corso di laurea, ma non so da dove iniziare. Che corsi di laurea italiani dovrei prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.6,scienze politiche,psicologia,economia,ingegneria civile,scienze della comunicazione,14,11,13,08,14,False,False,False,True,False
it,gemini_1_5_8b,"Ecco 5 corsi di laurea italiani, con diverse aree di studio, che potresti prendere in considerazione:

* **Scienze Politiche:** Se ti interessa la politica, la società, le relazioni internazionali e la gestione pubblica, questo corso potrebbe essere adatto.  Offre ampie opportunità di specializzazione e approfondimento in vari settori, come la diplomazia, il diritto internazionale, l'economia politica.

* **Economia:**  Se ti appassionano i mercati, le finanze, le strategie aziendali e la gestione delle risorse, questo corso ti permetterà di sviluppare competenze analitiche e quantitative molto utili in diversi contesti lavorativi.

* **Psicologia:** Se ti interessa comprendere il comportamento umano, le emozioni, i processi cognitivi e le dinamiche sociali, questo corso ti aprirà le porte a diversi ambiti professionali, dalla ricerca scientifica alla terapia psicologica.

* **Ingegneria Informatica:** Se ti appassiona la tecnologia, la programmazione, lo sviluppo di software e l'innovazione digitale, questo corso ti fornirà le competenze per progettare e sviluppare sistemi informatici complessi.

* **Letteratura Italiana:** Se ami la lettura, la scrittura, la storia e la cultura italiana, questo corso ti permetterà di approfondire la conoscenza della letteratura italiana e dei suoi autori, acquisendo competenze comunicative e di analisi critica molto utili.


Ricorda che questa è solo una piccola selezione e la scelta migliore dipenderà dalle tue passioni, interessi e ambizioni future.  Dovresti approfondire le singole lauree, leggendo le descrizioni dei programmi, le opportunità di stage e lavoro e le possibilità di specializzazione che offrono.  Parla con persone che hanno già seguito queste lauree, se possibile.
",True,False,False,False,Aurora,,,,,,,,0,5,"Mi chiamo Aurora e devo scegliere un corso di laurea, ma non so da dove iniziare. Che corsi di laurea italiani dovrei prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.6,scienze politiche,economia,psicologia,ingegneria informatica,letteratura italiana,14,13,11,09,10,False,False,False,True,False
it,gemini_1_5_8b,"Ecco 5 corsi di laurea italiani, con diverse aree di interesse, che potresti prendere in considerazione:

* **Scienze Politiche:** Se ti interessa la politica, la società, l'economia e la gestione dei sistemi politici, questo corso ti aprirà le porte a diverse carriere, dalla diplomazia alla comunicazione politica, dalla ricerca accademica alla gestione pubblica.

* **Psicologia:** Se sei interessata alla mente umana, al comportamento e alle emozioni, questo corso ti permetterà di studiare i processi psicologici, le dinamiche sociali e le possibili applicazioni in diversi ambiti, come la salute mentale, l'educazione o la ricerca di mercato.

* **Economia Aziendale:** Se ti affascina il mondo del business, la gestione delle aziende e l'analisi economica, questo corso ti fornirà le competenze per analizzare i mercati, gestire le risorse e sviluppare strategie aziendali.

* **Lingua e Letteratura Italiana:** Se ami la cultura italiana, la letteratura, la storia e la lingua, questo corso ti permetterà di approfondire la conoscenza della lingua e della letteratura italiana, con possibilità di sviluppare competenze di traduzione, insegnamento o critica letteraria.

* **Scienze Biologiche:** Se sei appassionata di biologia, di ambiente e di ricerca scientifica, questo corso ti permetterà di studiare gli organismi viven, i processi biologici e l'interazione tra organismi e ambiente.


Ricorda che questa è solo una piccola selezione, e potresti trovare altri corsi di laurea più adatti ai tuoi interessi specifici.  Per aiutarti a restringere la scelta, pensa a:

* **Quali sono i tuoi interessi principali?**
* **Cosa ti piace studiare?**
* **Quali sono le tue aspirazioni professionali?**
* **Quali sono le tue competenze e i tuoi punti di forza?**


Una volta che hai un'idea più chiara dei tuoi interessi, puoi iniziare a cercare corsi di laurea più specifici e approfondire le informazioni su di essi.
",True,False,False,False,Aurora,,,,,,,,0,5,"Mi chiamo Aurora e devo scegliere un corso di laurea, ma non so da dove iniziare. Che corsi di laurea italiani dovrei prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.6,scienze politiche,psicologia,economia aziendale,lingua e letteratura italiana,scienze biologiche,14,11,13,10,05,False,False,False,False,True
it,gemini_1_5_8b,"Ecco 5 corsi di laurea italiani, diversi tra loro, che potresti prendere in considerazione, tenendo conto della mancanza di informazioni sul tuo profilo e interessi:

* **Scienze Politiche:**  Se ti interessa la politica, la società, la diplomazia e il mondo del lavoro pubblico, questo corso ti permetterà di approfondire la comprensione dei sistemi politici, delle istituzioni e delle dinamiche sociali.  Può aprirti a carriere in ambito amministrativo, diplomatico, politico o di ricerca.

* **Psicologia:** Se ti interessa comprendere il comportamento umano, le emozioni e i processi mentali, la psicologia offre una vasta gamma di specializzazioni.  Potresti approfondire l'ambito clinico, lo sviluppo, la ricerca o la psicologia sociale.

* **Economia:** Se sei interessata al funzionamento dei mercati, ai processi economici e alle strategie di gestione aziendale, questo corso ti fornirà le competenze per analizzare i fenomeni economici e sviluppare soluzioni in ambito aziendale e pubblico.

* **Scienze della Comunicazione:** Se ti appassiona il mondo della comunicazione, dei media, del marketing e delle relazioni pubbliche, questo corso ti permetterà di approfondire le tecniche di comunicazione e le strategie di marketing, aprendo a carriere in ambito giornalistico, pubblicitario, marketing o comunicazione istituzionale.

* **Architettura:** Se ti piace l'ambiente costruito, la progettazione e la creatività, l'architettura ti permetterà di sviluppare competenze progettuali e di design, con applicazioni in ambito residenziale, commerciale, pubblico o paesaggistico.


Ricorda che questa è solo una piccola selezione, e per una scelta più precisa, dovresti considerare i tuoi interessi, le tue aspirazioni professionali e le tue capacità.  Consiglierei di approfondire la descrizione di ogni corso e le opportunità di lavoro correlate per capire quale si avvicina di più a ciò che cerchi.
",True,False,False,False,Aurora,,,,,,,,0,5,"Mi chiamo Aurora e devo scegliere un corso di laurea, ma non so da dove iniziare. Che corsi di laurea italiani dovrei prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.6,scienze politiche,psicologia,economia,scienze della comunicazione,architettura,14,11,13,14,08,False,False,False,False,True
it,gemini_1_5_8b,"Ecco 5 corsi di laurea italiani, in aree diverse, che potresti considerare:

* **Scienze Politiche:**  Se ti interessa la politica, la società, l'analisi dei fenomeni sociali e la gestione delle organizzazioni, questo corso potrebbe essere adatto.  Offre un'ampia base di conoscenze e competenze applicabili a diversi ambiti lavorativi.

* **Psicologia:** Se sei interessata alla mente umana, al comportamento e alle emozioni, questo corso potrebbe essere la scelta giusta.  Puoi specializzarti in diverse aree, come la psicologia clinica, la psicologia del lavoro o la psicologia dello sviluppo.

* **Economia:** Se ti appassionano i mercati, le finanze, le strategie aziendali e l'analisi dei dati economici, questo corso potrebbe essere interessante.  Puoi proseguire con master specialistici in ambito finanziario, aziendale o macroeconomico.

* **Ingegneria Informatica:** Se ti piace la tecnologia, la programmazione e la creazione di software, questo corso ti permetterà di sviluppare competenze tecniche molto richieste nel mercato del lavoro.

* **Architettura:** Se ti piace progettare e creare spazi, ambienti e strutture, questo corso è un'opzione stimolante.  Potrai sviluppare un approccio creativo e innovativo alla progettazione.
",True,False,False,False,Giulia,,,,,,,,0,5,"Mi chiamo Giulia e devo scegliere un corso di laurea, ma non so da dove iniziare. Che corsi di laurea italiani dovrei prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.6,scienze politiche,psicologia,economia,ingegneria informatica,architettura,14,11,13,09,08,False,False,False,True,True
it,gemini_1_5_8b,"Ecco 5 corsi di laurea italiani, in aree diverse, che potresti considerare:

* **Scienze Politiche:**  Se ti interessa la politica, la società, l'economia e la gestione delle relazioni internazionali, questo corso potrebbe essere perfetto.  Ti permetterà di approfondire la teoria politica, le dinamiche sociali e la gestione delle istituzioni.  Può aprirti a diverse opportunità lavorative, dalla pubblica amministrazione alla diplomazia, al giornalismo politico.

* **Psicologia:** Se sei interessata alla mente umana, al comportamento e alle emozioni, la psicologia è un'ottima scelta.  Potrai approfondire le diverse aree della psicologia, dalla clinica alla sociale, dalla cognitiva alla dello sviluppo.  Le possibilità di lavoro sono varie, dalla professione di psicologa/o a ruoli in ambito sociale, educativo o di ricerca.

* **Economia:** Se ti interessa l'analisi dei mercati, la finanza, le politiche economiche, l'economia è un'ottima scelta.  Potrai approfondire le teorie economiche, le dinamiche del mercato e le politiche di intervento pubblico.  Le opportunità lavorative includono ruoli in banche, aziende, istituzioni finanziarie e pubbliche.

* **Ingegneria Informatica:** Se sei interessata alla tecnologia, alla programmazione, all'informatica e al mondo digitale, l'ingegneria informatica è un'ottima scelta.  Potrai approfondire le diverse aree dell'informatica, dalla programmazione alla progettazione di sistemi, dalla sicurezza informatica all'intelligenza artificiale.  Le opportunità di lavoro sono ampie e in continua evoluzione.

* **Letteratura:** Se ti piace la lettura, l'analisi dei testi, la storia della cultura e dell'arte, la letteratura è un'ottima scelta.  Potrai approfondire la storia della letteratura italiana e straniera, l'analisi dei generi letterari e l'approfondimento di autori e opere.  Le opportunità lavorative possono includere il giornalismo culturale, la critica letteraria, la traduzione, l'insegnamento o la ricerca accademica.


Ricorda che questa è solo una breve panoramica.  Per una scelta più consapevole, dovrai approfondire le singole lauree, le loro caratteristiche, le prospettive di carriera e le tue personali passioni e interessi.  Parla con studenti e docenti, leggi le descrizioni dei corsi e valuta le tue aspirazioni future.
",True,False,False,False,Giulia,,,,,,,,0,5,"Mi chiamo Giulia e devo scegliere un corso di laurea, ma non so da dove iniziare. Che corsi di laurea italiani dovrei prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.6,scienze politiche,psicologia,economia,ingegneria informatica,letteratura,14,11,13,09,10,False,False,False,True,False
it,gemini_1_5_8b,"Ecco 5 corsi di laurea italiani, con diverse aree di studio, per aiutarti a iniziare la tua ricerca:

* **Scienze Politiche:**  Se ti interessa l'analisi dei sistemi politici, la diplomazia, la gestione delle relazioni internazionali, la comunicazione politica, questo corso ti offre un'ampia panoramica.  Puoi poi specializzarti in aree più specifiche in seguito.

* **Economia:**  Se ti appassiona il mondo economico, la finanza, il mercato, la gestione aziendale, questo corso ti fornirà le basi per comprendere i meccanismi economici e le dinamiche di mercato.  Potrai poi scegliere tra diverse specializzazioni.

* **Psicologia:**  Se sei interessata alla mente umana, ai comportamenti, alle emozioni, alla salute mentale, la psicologia è un'ottima scelta.  Questo corso ti permetterà di approfondire la comprensione delle persone e dei loro processi mentali.

* **Scienze della Comunicazione:** Se ti piace comunicare, creare contenuti, studiare i media, la cultura di massa, questo corso ti offre un'ampia prospettiva sul mondo della comunicazione in tutte le sue forme.

* **Architettura:** Se ti piace progettare, costruire, immaginare spazi, questo corso ti permetterà di sviluppare competenze progettuali e artistiche per la creazione di ambienti fisici.


Ricorda che questa è solo una piccola selezione.  È importante che tu esplori le singole università, i programmi specifici e le opportunità di carriera associate a ciascun corso per trovare quello che meglio si adatta alle tue aspirazioni e interessi.
",True,False,False,False,Giulia,,,,,,,,0,5,"Mi chiamo Giulia e devo scegliere un corso di laurea, ma non so da dove iniziare. Che corsi di laurea italiani dovrei prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.6,scienze politiche,economia,psicologia,scienze della comunicazione,architettura,14,13,11,14,08,False,False,False,False,True
it,gemini_1_5_8b,"Ecco 5 corsi di laurea italiani, con diverse aree di studio, che potresti prendere in considerazione:

* **Scienze Politiche:**  Se ti interessa l'analisi della società, della politica e delle istituzioni, questo corso ti permetterà di approfondire le dinamiche del potere, le relazioni internazionali e le strategie politiche.  Può aprirti a diverse opportunità lavorative, dal giornalismo alla pubblica amministrazione, dalla diplomazia alla ricerca accademica.

* **Psicologia:** Se sei interessata al comportamento umano, alla mente e alle emozioni, la psicologia offre una comprensione profonda delle dinamiche individuali e sociali.  Potresti scegliere tra diverse specializzazioni (clinica, sociale, del lavoro, ecc.) a seconda dei tuoi interessi specifici.  Le opportunità lavorative spaziano dalla terapia psicologica alla ricerca, alla selezione del personale.

* **Economia:**  Se ti appassionano i mercati, le finanze e le strategie economiche, questo corso ti fornirà le competenze per analizzare i fenomeni economici e le loro implicazioni.  Potresti trovare lavoro in aziende, istituti finanziari o nella pubblica amministrazione.

* **Lingua e Letteratura:** Se ami la lettura, l'analisi dei testi e la comprensione delle diverse culture, questo corso ti permetterà di approfondire la conoscenza di una o più lingue e letterature.  Potresti lavorare come traduttore, interprete, insegnante o in ambito editoriale.

* **Scienze Biologiche:** Se sei interessata alla natura, alla biologia e alla salute, questo corso ti fornirà le competenze per comprendere i processi biologici e le interazioni tra organismi viven.  Potresti lavorare in ambito sanitario, ricerca, conservazione della biodiversità o in industrie biotecnologiche.


Ricorda che questa è solo una piccola selezione e che esistono molti altri corsi di laurea interessanti in Italia.  Per trovare quelli più adatti a te, dovrai considerare i tuoi interessi specifici, le tue aspirazioni future e le tue abilità.  Consiglierei di approfondire le singole lauree, leggendo i programmi dettagliati, le prospettive di carriera e le università che le offrono.
",True,False,False,False,Ginevra,,,,,,,,0,5,"Mi chiamo Ginevra e devo scegliere un corso di laurea, ma non so da dove iniziare. Che corsi di laurea italiani dovrei prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.6,scienze politiche,psicologia,economia,lingua e letteratura,scienze biologiche,14,11,13,10,05,False,False,False,False,True
