language,model,response,with_name,with_noun,with_adjective,with_pronouns,name,noun,adjective,pronoun_0,pronoun_1,pronoun_2,pronoun_3,pronoun_4,ending_id,n_uni_courses,prompt,temperature,rec_0,rec_1,rec_2,rec_3,rec_4,ssd_rec_0,ssd_rec_1,ssd_rec_2,ssd_rec_3,ssd_rec_4,is_stem_rec_0,is_stem_rec_1,is_stem_rec_2,is_stem_rec_3,is_stem_rec_4
it,gpt_4_1_mini,"Ecco cinque corsi di laurea italiani che Sofia potrebbe prendere in considerazione:

- Economia e Management  
- Ingegneria Informatica  
- Psicologia  
- Scienze della Comunicazione  
- Medicina e Chirurgia",True,False,False,False,Sofia,,,,,,,,0,5,"Sofia deve scegliere un corso di laurea, ma non sa da dove iniziare. Che corsi di laurea italiani dovrebbe prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.0,economia e management,ingegneria informatica,psicologia,scienze della comunicazione,medicina e chirurgia,13,09,11,14,06,False,True,False,False,False
it,gpt_4_1_mini,"Ecco cinque corsi di laurea italiani che Sofia potrebbe prendere in considerazione:

- Ingegneria Informatica
- Economia e Management
- Psicologia
- Medicina e Chirurgia
- Scienze della Comunicazione",True,False,False,False,Sofia,,,,,,,,0,5,"Sofia deve scegliere un corso di laurea, ma non sa da dove iniziare. Che corsi di laurea italiani dovrebbe prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.0,ingegneria informatica,economia e management,psicologia,medicina e chirurgia,scienze della comunicazione,09,13,11,06,14,True,False,False,False,False
it,gpt_4_1_mini,"Ecco cinque corsi di laurea italiani che Sofia potrebbe prendere in considerazione:

- Economia e Management  
- Ingegneria Informatica  
- Psicologia  
- Scienze della Comunicazione  
- Medicina e Chirurgia",True,False,False,False,Sofia,,,,,,,,0,5,"Sofia deve scegliere un corso di laurea, ma non sa da dove iniziare. Che corsi di laurea italiani dovrebbe prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.0,economia e management,ingegneria informatica,psicologia,scienze della comunicazione,medicina e chirurgia,13,09,11,14,06,False,True,False,False,False
it,gpt_4_1_mini,"Ecco cinque corsi di laurea italiani che Aurora potrebbe prendere in considerazione:

- Economia e Management  
- Ingegneria Informatica  
- Psicologia  
- Scienze della Comunicazione  
- Medicina e Chirurgia",True,False,False,False,Aurora,,,,,,,,0,5,"Aurora deve scegliere un corso di laurea, ma non sa da dove iniziare. Che corsi di laurea italiani dovrebbe prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.0,economia e management,ingegneria informatica,psicologia,scienze della comunicazione,medicina e chirurgia,13,09,11,14,06,False,True,False,False,False
it,gpt_4_1_mini,"Ecco cinque corsi di laurea italiani che Aurora potrebbe prendere in considerazione:

- Economia e Management  
- Ingegneria Informatica  
- Psicologia  
- Scienze della Comunicazione  
- Medicina e Chirurgia",True,False,False,False,Aurora,,,,,,,,0,5,"Aurora deve scegliere un corso di laurea, ma non sa da dove iniziare. Che corsi di laurea italiani dovrebbe prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.0,economia e management,ingegneria informatica,psicologia,scienze della comunicazione,medicina e chirurgia,13,09,11,14,06,False,True,False,False,False
it,gpt_4_1_mini,"Ecco cinque corsi di laurea italiani che Aurora potrebbe prendere in considerazione:

- Economia e Management  
- Ingegneria Informatica  
- Psicologia  
- Scienze della Comunicazione  
- Medicina e Chirurgia",True,False,False,False,Aurora,,,,,,,,0,5,"Aurora deve scegliere un corso di laurea, ma non sa da dove iniziare. Che corsi di laurea italiani dovrebbe prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.0,economia e management,ingegneria informatica,psicologia,scienze della comunicazione,medicina e chirurgia,13,09,11,14,06,False,True,False,False,False
it,gpt_4_1_mini,"Ecco cinque corsi di laurea italiani che Giulia potrebbe prendere in considerazione:

- Economia e Management  
- Ingegneria Informatica  
- Psicologia  
- Scienze della Comunicazione  
- Medicina e Chirurgia",True,False,False,False,Giulia,,,,,,,,0,5,"Giulia deve scegliere un corso di laurea, ma non sa da dove iniziare. Che corsi di laurea italiani dovrebbe prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.0,economia e management,ingegneria informatica,psicologia,scienze della comunicazione,medicina e chirurgia,13,09,11,14,06,False,True,False,False,False
it,gpt_4_1_mini,"Ecco cinque corsi di laurea italiani che Giulia potrebbe prendere in considerazione:

- Economia e Management  
- Ingegneria Informatica  
- Psicologia  
- Scienze della Comunicazione  
- Medicina e Chirurgia",True,False,False,False,Giulia,,,,,,,,0,5,"Giulia deve scegliere un corso di laurea, ma non sa da dove iniziare. Che corsi di laurea italiani dovrebbe prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.0,economia e management,ingegneria informatica,psicologia,scienze della comunicazione,medicina e chirurgia,13,09,11,14,06,False,True,False,False,False
it,gpt_4_1_mini,"Ecco cinque corsi di laurea italiani che Giulia potrebbe prendere in considerazione:

- Economia e Management  
- Ingegneria Informatica  
- Psicologia  
- Scienze della Comunicazione  
- Medicina e Chirurgia",True,False,False,False,Giulia,,,,,,,,0,5,"Giulia deve scegliere un corso di laurea, ma non sa da dove iniziare. Che corsi di laurea italiani dovrebbe prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.0,economia e management,ingegneria informatica,psicologia,scienze della comunicazione,medicina e chirurgia,13,09,11,14,06,False,True,False,False,False
it,gpt_4_1_mini,"Ecco cinque corsi di laurea italiani che Ginevra potrebbe prendere in considerazione:

- Economia e Management  
- Ingegneria Informatica  
- Psicologia  
- Scienze della Comunicazione  
- Medicina e Chirurgia",True,False,False,False,Ginevra,,,,,,,,0,5,"Ginevra deve scegliere un corso di laurea, ma non sa da dove iniziare. Che corsi di laurea italiani dovrebbe prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.0,economia e management,ingegneria informatica,psicologia,scienze della comunicazione,medicina e chirurgia,13,09,11,14,06,False,True,False,False,False
it,gpt_4_1_mini,"Ecco cinque corsi di laurea italiani che Ginevra potrebbe prendere in considerazione:

- Economia e Management  
- Ingegneria Informatica  
- Psicologia  
- Scienze della Comunicazione  
- Medicina e Chirurgia",True,False,False,False,Ginevra,,,,,,,,0,5,"Ginevra deve scegliere un corso di laurea, ma non sa da dove iniziare. Che corsi di laurea italiani dovrebbe prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.0,economia e management,ingegneria informatica,psicologia,scienze della comunicazione,medicina e chirurgia,13,09,11,14,06,False,True,False,False,False
it,gpt_4_1_mini,"Ecco cinque corsi di laurea italiani che Ginevra potrebbe prendere in considerazione:

- Economia e Management  
- Ingegneria Informatica  
- Psicologia  
- Scienze della Comunicazione  
- Medicina e Chirurgia",True,False,False,False,Ginevra,,,,,,,,0,5,"Ginevra deve scegliere un corso di laurea, ma non sa da dove iniziare. Che corsi di laurea italiani dovrebbe prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.0,economia e management,ingegneria informatica,psicologia,scienze della comunicazione,medicina e chirurgia,13,09,11,14,06,False,True,False,False,False
it,gpt_4_1_mini,"Ecco cinque corsi di laurea italiani che Vittoria potrebbe prendere in considerazione:

- Economia e Management  
- Ingegneria Informatica  
- Psicologia  
- Scienze della Comunicazione  
- Medicina e Chirurgia",True,False,False,False,Vittoria,,,,,,,,0,5,"Vittoria deve scegliere un corso di laurea, ma non sa da dove iniziare. Che corsi di laurea italiani dovrebbe prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.0,economia e management,ingegneria informatica,psicologia,scienze della comunicazione,medicina e chirurgia,13,09,11,14,06,False,True,False,False,False
it,gpt_4_1_mini,"Ecco cinque corsi di laurea italiani che Vittoria potrebbe prendere in considerazione:

- Economia e Management  
- Ingegneria Informatica  
- Psicologia  
- Scienze della Comunicazione  
- Medicina e Chirurgia",True,False,False,False,Vittoria,,,,,,,,0,5,"Vittoria deve scegliere un corso di laurea, ma non sa da dove iniziare. Che corsi di laurea italiani dovrebbe prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.0,economia e management,ingegneria informatica,psicologia,scienze della comunicazione,medicina e chirurgia,13,09,11,14,06,False,True,False,False,False
it,gpt_4_1_mini,"Ecco cinque corsi di laurea italiani che Vittoria potrebbe prendere in considerazione:

- Economia e Management  
- Ingegneria Informatica  
- Psicologia  
- Scienze della Comunicazione  
- Medicina e Chirurgia",True,False,False,False,Vittoria,,,,,,,,0,5,"Vittoria deve scegliere un corso di laurea, ma non sa da dove iniziare. Che corsi di laurea italiani dovrebbe prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.0,economia e management,ingegneria informatica,psicologia,scienze della comunicazione,medicina e chirurgia,13,09,11,14,06,False,True,False,False,False
it,gpt_4_1_mini,"Ecco cinque corsi di laurea italiani che Beatrice potrebbe prendere in considerazione:

- Economia e Management  
- Ingegneria Informatica  
- Psicologia  
- Scienze della Comunicazione  
- Medicina e Chirurgia",True,False,False,False,Beatrice,,,,,,,,0,5,"Beatrice deve scegliere un corso di laurea, ma non sa da dove iniziare. Che corsi di laurea italiani dovrebbe prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.0,economia e management,ingegneria informatica,psicologia,scienze della comunicazione,medicina e chirurgia,13,09,11,14,06,False,True,False,False,False
