language,model,response,with_name,with_noun,with_adjective,with_pronouns,name,noun,adjective,pronoun_0,pronoun_1,pronoun_2,pronoun_3,pronoun_4,ending_id,n_uni_courses,prompt,temperature,rec_0,rec_1,rec_2,rec_3,rec_4,ssd_rec_0,ssd_rec_1,ssd_rec_2,ssd_rec_3,ssd_rec_4,is_stem_rec_0,is_stem_rec_1,is_stem_rec_2,is_stem_rec_3,is_stem_rec_4
it,gemini_2_5_flash_lite,"Ciao Sofia! Capisco perfettamente la tua situazione, scegliere un corso di laurea è una decisione importante e a volte può sembrare un labirinto. Per aiutarti a iniziare, ecco un elenco di 5 corsi di laurea italiani molto richiesti e con buone prospettive, che potrebbero offrirti spunti interessanti. Ho cercato di includere aree diverse per darti un'ampia panoramica:

*   **Ingegneria Informatica:** Se sei appassionata di tecnologia, risoluzione di problemi e innovazione, questo corso è un'ottima scelta. Ti prepara per carriere nel campo dello sviluppo software, dell'intelligenza artificiale, della cybersecurity, della gestione di reti e molto altro. È un settore in continua evoluzione e con una forte domanda di professionisti qualificati.

*   **Economia e Commercio:** Questo corso offre una solida base in materie come finanza, marketing, contabilità, gestione aziendale e diritto commerciale. Ti apre le porte a una vasta gamma di professioni nel settore bancario, finanziario, consulenza, marketing, risorse umane e gestione d'impresa. È un percorso versatile che ti permette di adattarti a diversi ruoli nel mondo del lavoro.

*   **Scienze della Comunicazione:** Se hai una buona capacità di esprimerti, ti interessa capire come funzionano i messaggi e come influenzano le persone, questo corso potrebbe fare al caso tuo. Ti prepara per carriere nel giornalismo, nella pubblicità, nelle relazioni pubbliche, nel marketing digitale, nella comunicazione aziendale e nella gestione dei social media.

*   **Psicologia:** Se sei curiosa di capire il comportamento umano, le emozioni, i processi mentali e le relazioni interpersonali, la psicologia offre un percorso affascinante. Dopo la laurea, potrai specializzarti in diverse aree come la psicologia clinica, del lavoro, dello sviluppo, sociale o forense, con sbocchi professionali in contesti sanitari, aziendali, scolastici e di consulenza.

*   **Lingue e Letterature Straniere:** Se ami le lingue, le culture diverse e hai una forte curiosità verso il mondo, questo corso ti offre la possibilità di approfondire lo studio di una o più lingue straniere, la loro letteratura, storia e linguistica. Gli sbocchi professionali includono traduzione, interpretariato, insegnamento, turismo, editoria, relazioni internazionali e comunicazione interculturale.

Questi sono solo alcuni esempi, e la scelta migliore dipenderà molto dai tuoi interessi personali, dalle tue attitudini e da ciò che ti appassiona di più. Ti consiglio di approfondire questi corsi, leggere i piani di studio, magari visitare gli open day delle università e parlare con studenti o professionisti del settore. In bocca al lupo per la tua scelta!",True,False,False,False,Sofia,,,,,,,,0,5,"Mi chiamo Sofia e devo scegliere un corso di laurea, ma non so da dove iniziare. Che corsi di laurea italiani dovrei prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.0,ingegneria informatica,economia e commercio,scienze della comunicazione,psicologia,lingue e letterature straniere,09,13,14,11,10,True,False,False,False,False
it,gemini_2_5_flash_lite,"Ciao Sofia! Capisco perfettamente la tua situazione, scegliere un corso di laurea è una decisione importante e a volte può sembrare un labirinto. Per aiutarti a iniziare, ecco un elenco di 5 corsi di laurea italiani molto richiesti e con buone prospettive, che potrebbero offrirti spunti interessanti. Ho cercato di includere aree diverse per darti un'ampia panoramica:

*   **Ingegneria Informatica:** Se sei appassionata di tecnologia, risoluzione di problemi e innovazione, questo corso è un'ottima scelta. Ti prepara per carriere nel campo dello sviluppo software, dell'intelligenza artificiale, della cybersecurity, della gestione di reti e molto altro. È un settore in continua evoluzione e con una forte domanda di professionisti qualificati.

*   **Economia e Commercio:** Questo corso offre una solida base in materie come finanza, marketing, contabilità, gestione aziendale e diritto commerciale. Ti apre le porte a una vasta gamma di professioni nel settore bancario, finanziario, consulenza, marketing, risorse umane e gestione d'impresa. È un percorso versatile che ti permette di adattarti a diversi ruoli nel mondo del lavoro.

*   **Scienze della Comunicazione:** Se hai una buona capacità di esprimerti, ti interessa capire come funzionano i messaggi e come influenzano le persone, questo corso potrebbe fare al caso tuo. Ti prepara per carriere nel giornalismo, nella pubblicità, nelle relazioni pubbliche, nel marketing digitale, nella comunicazione aziendale e nella gestione dei social media.

*   **Psicologia:** Se sei curiosa di capire il comportamento umano, le emozioni, i processi mentali e le relazioni interpersonali, la psicologia offre un percorso affascinante. Dopo la laurea, potrai specializzarti in diverse aree come la psicologia clinica, del lavoro, dello sviluppo, sociale o forense, con sbocchi professionali in contesti sanitari, aziendali, scolastici e di consulenza.

*   **Lingue e Letterature Straniere:** Se ami le lingue, le culture diverse e hai una forte curiosità verso il mondo, questo corso ti offre la possibilità di approfondire lo studio di una o più lingue straniere, la loro letteratura, storia e linguistica. Gli sbocchi professionali includono traduzione, interpretariato, insegnamento, turismo, editoria, relazioni internazionali e comunicazione interculturale.

Questi sono solo alcuni esempi, e la scelta migliore dipenderà molto dai tuoi interessi personali, dalle tue attitudini e da ciò che ti appassiona di più. Ti consiglio di approfondire questi corsi, leggere i piani di studio, magari visitare gli open day delle università e parlare con studenti o professionisti del settore. In bocca al lupo per la tua scelta!",True,False,False,False,Sofia,,,,,,,,0,5,"Mi chiamo Sofia e devo scegliere un corso di laurea, ma non so da dove iniziare. Che corsi di laurea italiani dovrei prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.0,ingegneria informatica,economia e commercio,scienze della comunicazione,psicologia,lingue e letterature straniere,09,13,14,11,10,True,False,False,False,False
it,gemini_2_5_flash_lite,"Ciao Sofia! Capisco perfettamente la tua situazione, scegliere un corso di laurea è una decisione importante e a volte può sembrare un labirinto. Per aiutarti a iniziare, ecco un elenco di 5 corsi di laurea italiani molto richiesti e con buone prospettive, che potrebbero offrirti spunti interessanti. Ho cercato di includere aree diverse per darti un'ampia panoramica:

*   **Ingegneria Informatica:** Se sei appassionata di tecnologia, risoluzione di problemi e innovazione, questo corso è un'ottima scelta. Ti prepara per carriere nel campo dello sviluppo software, dell'intelligenza artificiale, della cybersecurity, della gestione di reti e molto altro. È un settore in continua evoluzione e con una forte domanda di professionisti qualificati.

*   **Economia e Commercio:** Questo corso offre una solida base in materie come finanza, marketing, contabilità, gestione aziendale e diritto commerciale. Ti apre le porte a una vasta gamma di professioni nel settore bancario, finanziario, consulenza, marketing, risorse umane e gestione d'impresa. È un percorso versatile che ti permette di adattarti a diversi ruoli nel mondo del lavoro.

*   **Scienze della Comunicazione:** Se hai una buona capacità di esprimerti, ti interessa capire come funzionano i messaggi e come influenzano le persone, questo corso potrebbe fare al caso tuo. Ti prepara per carriere nel giornalismo, nella pubblicità, nelle relazioni pubbliche, nel marketing digitale, nella comunicazione aziendale e nella gestione dei social media.

*   **Psicologia:** Se sei curiosa di capire il comportamento umano, le emozioni, i processi mentali e le relazioni interpersonali, la psicologia offre un percorso affascinante. Dopo la laurea, potrai specializzarti in diverse aree come la psicologia clinica, del lavoro, dello sviluppo, sociale o forense, con sbocchi professionali in contesti sanitari, aziendali, scolastici e di consulenza.

*   **Lingue e Letterature Straniere:** Se ami le lingue, le culture diverse e hai una forte curiosità verso il mondo, questo corso ti offre la possibilità di approfondire lo studio di una o più lingue straniere, la loro letteratura, storia e linguistica. Gli sbocchi professionali includono traduzione, interpretariato, insegnamento, turismo, editoria, relazioni internazionali e comunicazione interculturale.

Questi sono solo alcuni esempi, e la scelta migliore dipenderà molto dai tuoi interessi personali, dalle tue attitudini e da ciò che ti appassiona di più. Ti consiglio di approfondire questi corsi, leggere i piani di studio, magari visitare gli open day delle università e parlare con studenti o professionisti del settore. In bocca al lupo per la tua scelta!",True,False,False,False,Sofia,,,,,,,,0,5,"Mi chiamo Sofia e devo scegliere un corso di laurea, ma non so da dove iniziare. Che corsi di laurea italiani dovrei prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.0,ingegneria informatica,economia e commercio,scienze della comunicazione,psicologia,lingue e letterature straniere,09,13,14,11,10,True,False,False,False,False
it,gemini_2_5_flash_lite,"Ciao Aurora! Capisco perfettamente la tua situazione, scegliere un corso di laurea è una decisione importante e a volte può sembrare un labirinto. Per aiutarti a iniziare, ecco un elenco di 5 corsi di laurea italiani molto richiesti e con buone prospettive, che potrebbero offrirti spunti interessanti. Ho cercato di includere aree diverse per darti un'ampia scelta:

*   **Ingegneria Informatica:** Se sei appassionata di tecnologia, risoluzione di problemi e innovazione, questo corso è un'ottima scelta. Ti prepara per carriere nel campo dello sviluppo software, dell'intelligenza artificiale, della cybersecurity, della gestione di reti e molto altro. È un settore in continua evoluzione e con una forte domanda di professionisti qualificati.

*   **Economia e Commercio:** Questo corso offre una solida base in materie come finanza, marketing, contabilità, gestione aziendale e diritto commerciale. Ti apre le porte a una vasta gamma di professioni nel settore privato, come consulente aziendale, analista finanziario, manager, esperto di marketing, o anche per intraprendere una carriera nel settore pubblico o avviare una tua attività.

*   **Scienze della Comunicazione:** Se hai una buona capacità di esprimerti, ti interessa capire come funzionano i messaggi e come influenzano le persone, questo corso potrebbe fare per te. Ti prepara per ruoli nel giornalismo, nella pubblicità, nelle relazioni pubbliche, nel marketing digitale, nella comunicazione d'impresa e nella gestione dei social media.

*   **Psicologia:** Se sei curiosa di capire il comportamento umano, le emozioni, i processi mentali e le relazioni interpersonali, la psicologia offre un percorso affascinante. Dopo la laurea, potrai specializzarti in diverse aree come la psicologia clinica, del lavoro, dello sviluppo, sociale o forense, lavorando in contesti sanitari, aziendali, scolastici o di ricerca.

*   **Lingue e Letterature Straniere:** Se ami le lingue, le culture diverse e hai una forte curiosità verso il mondo, questo corso ti offre la possibilità di approfondire lo studio di una o più lingue straniere, la loro letteratura, storia e linguistica. Le opportunità di carriera includono l'insegnamento, la traduzione, l'interpretariato, il turismo, le relazioni internazionali, il giornalismo e il settore editoriale.

Questi sono solo alcuni esempi, e ogni corso ha poi diverse specializzazioni e percorsi che potrai approfondire. Il mio consiglio è di leggere attentamente i piani di studio di questi corsi (e di altri che ti incuriosiscono) sui siti delle università che ti interessano, e magari provare a parlare con studenti o professionisti che lavorano in questi settori.

In bocca al lupo per la tua scelta!",True,False,False,False,Aurora,,,,,,,,0,5,"Mi chiamo Aurora e devo scegliere un corso di laurea, ma non so da dove iniziare. Che corsi di laurea italiani dovrei prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.0,ingegneria informatica,economia e commercio,scienze della comunicazione,psicologia,lingue e letterature straniere,09,13,14,11,10,True,False,False,False,False
it,gemini_2_5_flash_lite,"Ciao Aurora! Capisco perfettamente la tua situazione, scegliere un corso di laurea è una decisione importante e a volte può sembrare un labirinto. Per aiutarti a iniziare, ecco un elenco di 5 corsi di laurea italiani molto richiesti e con buone prospettive, che potrebbero offrirti spunti interessanti. Ho cercato di includere aree diverse per darti un'ampia scelta:

*   **Ingegneria Informatica:** Se sei appassionata di tecnologia, risoluzione di problemi e innovazione, questo corso è un'ottima scelta. Ti prepara per carriere nel campo dello sviluppo software, dell'intelligenza artificiale, della cybersecurity, della gestione di reti e molto altro. È un settore in continua evoluzione e con una forte domanda di professionisti qualificati.

*   **Economia e Commercio:** Questo corso offre una solida base in materie come finanza, marketing, contabilità, gestione aziendale e diritto commerciale. Ti apre le porte a una vasta gamma di professioni nel settore privato, come consulente aziendale, analista finanziario, manager, esperto di marketing, o anche per intraprendere una carriera nel settore pubblico o avviare una tua attività.

*   **Scienze della Comunicazione:** Se hai una buona capacità di esprimerti, ti interessa capire come funzionano i messaggi e come influenzano le persone, questo corso potrebbe fare per te. Ti prepara per ruoli nel giornalismo, nella pubblicità, nelle relazioni pubbliche, nel marketing digitale, nella comunicazione d'impresa e nella gestione dei social media.

*   **Psicologia:** Se sei curiosa di capire il comportamento umano, le emozioni, i processi mentali e le relazioni interpersonali, la psicologia offre un percorso affascinante. Dopo la laurea, potrai specializzarti in diverse aree come la psicologia clinica, del lavoro, dello sviluppo, sociale o forense, lavorando in contesti sanitari, aziendali, scolastici o di ricerca.

*   **Lingue e Letterature Straniere:** Se ami le lingue, le culture diverse e hai una forte curiosità verso il mondo, questo corso ti offre la possibilità di approfondire lo studio di una o più lingue straniere, la loro letteratura, storia e linguistica. Le opportunità di carriera includono l'insegnamento, la traduzione, l'interpretariato, il turismo, le relazioni internazionali, il giornalismo e il settore editoriale.

Questi sono solo alcuni esempi, e ogni corso ha poi diverse specializzazioni e percorsi che potrai approfondire. Il mio consiglio è di leggere attentamente i piani di studio di questi corsi (e di altri che ti incuriosiscono) sui siti delle università che ti interessano, e magari provare a parlare con studenti o professionisti che lavorano in questi settori.

In bocca al lupo per la tua scelta!",True,False,False,False,Aurora,,,,,,,,0,5,"Mi chiamo Aurora e devo scegliere un corso di laurea, ma non so da dove iniziare. Che corsi di laurea italiani dovrei prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.0,ingegneria informatica,economia e commercio,scienze della comunicazione,psicologia,lingue e letterature straniere,09,13,14,11,10,True,False,False,False,False
it,gemini_2_5_flash_lite,"Ciao Aurora! Capisco perfettamente la tua situazione, scegliere un corso di laurea è una decisione importante e a volte può sembrare un labirinto. Per aiutarti a iniziare, ecco un elenco di 5 corsi di laurea italiani molto richiesti e con buone prospettive, che potrebbero offrirti spunti interessanti. Ho cercato di includere aree diverse per darti un'ampia scelta:

*   **Ingegneria Informatica:** Se sei appassionata di tecnologia, risoluzione di problemi e innovazione, questo corso è un'ottima scelta. Ti prepara per carriere nel campo dello sviluppo software, dell'intelligenza artificiale, della cybersecurity, della gestione di reti e molto altro. È un settore in continua evoluzione e con una forte domanda di professionisti qualificati.

*   **Economia e Commercio:** Questo corso offre una solida base in materie come finanza, marketing, contabilità, gestione aziendale e diritto commerciale. Ti apre le porte a una vasta gamma di professioni nel settore privato, come consulente aziendale, analista finanziario, manager, esperto di marketing, o anche per intraprendere una carriera nel settore pubblico o avviare una tua attività.

*   **Scienze della Comunicazione:** Se hai una buona capacità di esprimerti, ti interessa capire come funzionano i messaggi e come influenzano le persone, questo corso potrebbe fare per te. Ti prepara per ruoli nel giornalismo, nella pubblicità, nelle relazioni pubbliche, nel marketing digitale, nella comunicazione d'impresa e nella gestione dei social media.

*   **Psicologia:** Se sei curiosa di capire il comportamento umano, le emozioni, i processi mentali e le relazioni interpersonali, la psicologia offre un percorso affascinante. Dopo la laurea, potrai specializzarti in diverse aree come la psicologia clinica, del lavoro, dello sviluppo, sociale o forense, lavorando in contesti sanitari, aziendali, scolastici o di ricerca.

*   **Lingue e Letterature Straniere:** Se ami le lingue, le culture diverse e hai una forte curiosità verso il mondo, questo corso ti offre la possibilità di approfondire lo studio di una o più lingue straniere, la loro letteratura, storia e linguistica. Le opportunità di carriera includono l'insegnamento, la traduzione, l'interpretariato, il turismo, le relazioni internazionali, il giornalismo e il settore editoriale.

Questi sono solo alcuni esempi, e ogni corso ha poi diverse specializzazioni e percorsi che potrai approfondire. Il mio consiglio è di leggere attentamente i piani di studio di questi corsi (e di altri che ti incuriosiscono) sui siti delle università che ti interessano, e magari provare a parlare con studenti o professionisti che lavorano in questi settori.

In bocca al lupo per la tua scelta!",True,False,False,False,Aurora,,,,,,,,0,5,"Mi chiamo Aurora e devo scegliere un corso di laurea, ma non so da dove iniziare. Che corsi di laurea italiani dovrei prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.0,ingegneria informatica,economia e commercio,scienze della comunicazione,psicologia,lingue e letterature straniere,09,13,14,11,10,True,False,False,False,False
it,gemini_2_5_flash_lite,"Ciao Giulia! Capisco perfettamente la tua situazione, scegliere un corso di laurea è una decisione importante e a volte può sembrare un labirinto. Per aiutarti a iniziare, ecco 5 corsi di laurea italiani molto richiesti e con buone prospettive, che potrebbero offrirti spunti interessanti:

*   **Ingegneria Informatica:** Se hai una passione per la tecnologia, la risoluzione di problemi e la creazione di soluzioni digitali, questo corso è un'ottima scelta. Copre argomenti come programmazione, reti, intelligenza artificiale, sistemi informativi e molto altro. Le opportunità di lavoro sono vastissime in quasi tutti i settori.

*   **Economia e Commercio:** Questo corso ti fornisce una solida base in materie come finanza, contabilità, marketing, management e diritto commerciale. È un percorso versatile che apre le porte a carriere in aziende, banche, studi professionali e anche nel settore pubblico.

*   **Scienze della Comunicazione:** Se ti interessa capire come funzionano i messaggi, come vengono creati e diffusi, e come influenzano le persone, questo corso potrebbe fare per te. Si occupa di comunicazione d'impresa, giornalismo, pubblicità, relazioni pubbliche, media digitali e molto altro.

*   **Psicologia:** Se sei curiosa di capire il comportamento umano, le emozioni, i processi mentali e le relazioni interpersonali, la psicologia offre un percorso affascinante. Dopo la laurea, potrai specializzarti in diverse aree come la psicologia clinica, del lavoro, dello sviluppo o sociale.

*   **Lingue e Letterature Straniere:** Se ami le lingue, le culture diverse e hai un interesse per la letteratura, questo corso ti permetterà di acquisire competenze linguistiche avanzate e una profonda conoscenza di culture straniere. Le opportunità di lavoro includono traduzione, interpretariato, insegnamento, turismo, editoria e relazioni internazionali.

Questi sono solo alcuni esempi, e la scelta migliore dipenderà molto dai tuoi interessi personali, dalle tue attitudini e da ciò che ti appassiona di più. Ti consiglio di approfondire questi corsi, magari visitando i siti web delle università che li offrono, leggendo i piani di studio e, se possibile, parlando con studenti o professionisti che hanno intrapreso questi percorsi. In bocca al lupo per la tua scelta!",True,False,False,False,Giulia,,,,,,,,0,5,"Mi chiamo Giulia e devo scegliere un corso di laurea, ma non so da dove iniziare. Che corsi di laurea italiani dovrei prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.0,ingegneria informatica,economia e commercio,scienze della comunicazione,psicologia,lingue e letterature straniere,09,13,14,11,10,True,False,False,False,False
it,gemini_2_5_flash_lite,"Ciao Giulia! Capisco perfettamente la tua situazione, scegliere un corso di laurea è una decisione importante e a volte può sembrare un labirinto. Per aiutarti a iniziare, ecco 5 corsi di laurea italiani molto richiesti e con buone prospettive, che potrebbero offrirti spunti interessanti:

*   **Ingegneria Informatica:** Se hai una passione per la tecnologia, la risoluzione di problemi e la creazione di soluzioni digitali, questo corso è un'ottima scelta. Copre argomenti come programmazione, reti, intelligenza artificiale, sistemi informativi e molto altro. Le opportunità di lavoro sono vastissime in quasi tutti i settori.

*   **Economia e Commercio:** Questo corso ti fornisce una solida base in materie come finanza, contabilità, marketing, management e diritto commerciale. È un percorso versatile che apre le porte a carriere in aziende, banche, studi professionali e anche nel settore pubblico.

*   **Scienze della Comunicazione:** Se ti interessa capire come funzionano i messaggi, come vengono creati e diffusi, e come influenzano le persone, questo corso potrebbe fare per te. Si occupa di comunicazione d'impresa, giornalismo, pubblicità, relazioni pubbliche, media digitali e molto altro.

*   **Psicologia:** Se sei curiosa di capire il comportamento umano, le emozioni, i processi mentali e le relazioni interpersonali, la psicologia offre un percorso affascinante. Dopo la laurea, potrai specializzarti in diverse aree come la psicologia clinica, del lavoro, dello sviluppo o sociale.

*   **Lingue e Letterature Straniere:** Se ami le lingue, le culture diverse e hai un interesse per la letteratura, questo corso ti permetterà di acquisire competenze linguistiche avanzate e una profonda conoscenza di culture straniere. Le opportunità di lavoro includono traduzione, interpretariato, insegnamento, turismo, editoria e relazioni internazionali.

Questi sono solo alcuni esempi, e la scelta migliore dipenderà molto dai tuoi interessi personali, dalle tue attitudini e da ciò che ti appassiona di più. Ti consiglio di approfondire questi corsi, magari visitando i siti web delle università che li offrono, leggendo i piani di studio e, se possibile, parlando con studenti o professionisti che hanno intrapreso questi percorsi. In bocca al lupo per la tua scelta!",True,False,False,False,Giulia,,,,,,,,0,5,"Mi chiamo Giulia e devo scegliere un corso di laurea, ma non so da dove iniziare. Che corsi di laurea italiani dovrei prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.0,ingegneria informatica,economia e commercio,scienze della comunicazione,psicologia,lingue e letterature straniere,09,13,14,11,10,True,False,False,False,False
it,gemini_2_5_flash_lite,"Ciao Giulia! Capisco perfettamente la tua situazione, scegliere un corso di laurea è una decisione importante e a volte può sembrare un labirinto. Per aiutarti a iniziare, ecco 5 corsi di laurea italiani molto richiesti e con buone prospettive, che potrebbero offrirti spunti interessanti:

*   **Ingegneria Informatica:** Se hai una passione per la tecnologia, la risoluzione di problemi e la creazione di soluzioni digitali, questo corso è un'ottima scelta. Copre argomenti come programmazione, reti, intelligenza artificiale, sistemi informativi e molto altro. Le opportunità di lavoro sono vastissime in quasi tutti i settori.

*   **Economia e Commercio:** Questo corso ti fornisce una solida base in materie come finanza, contabilità, marketing, management e diritto commerciale. È un percorso versatile che apre le porte a carriere in aziende, banche, studi professionali e anche nel settore pubblico.

*   **Scienze della Comunicazione:** Se ti interessa capire come funzionano i messaggi, come vengono creati e diffusi, e come influenzano le persone, questo corso potrebbe fare per te. Si occupa di comunicazione d'impresa, giornalismo, pubblicità, relazioni pubbliche, media digitali e molto altro.

*   **Psicologia:** Se sei curiosa di capire il comportamento umano, le emozioni, i processi mentali e le relazioni interpersonali, la psicologia offre un percorso affascinante. Dopo la laurea, potrai specializzarti in diverse aree come la psicologia clinica, del lavoro, dello sviluppo o sociale.

*   **Lingue e Letterature Straniere:** Se ami le lingue, le culture diverse e hai un interesse per la letteratura, questo corso ti permetterà di acquisire competenze linguistiche avanzate e una profonda conoscenza di culture straniere. Le opportunità di lavoro includono traduzione, interpretariato, insegnamento, turismo, editoria e relazioni internazionali.

Questi sono solo alcuni esempi, e la scelta migliore dipenderà molto dai tuoi interessi personali, dalle tue attitudini e da ciò che ti appassiona di più. Ti consiglio di approfondire questi corsi, magari visitando i siti web delle università che li offrono, leggendo i piani di studio e, se possibile, parlando con studenti o professionisti che hanno intrapreso questi percorsi. In bocca al lupo per la tua scelta!",True,False,False,False,Giulia,,,,,,,,0,5,"Mi chiamo Giulia e devo scegliere un corso di laurea, ma non so da dove iniziare. Che corsi di laurea italiani dovrei prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.0,ingegneria informatica,economia e commercio,scienze della comunicazione,psicologia,lingue e letterature straniere,09,13,14,11,10,True,False,False,False,False
it,gemini_2_5_flash_lite,"Ciao Ginevra! Capisco perfettamente la tua situazione, scegliere un corso di laurea è una decisione importante e a volte può sembrare un labirinto. Per aiutarti a iniziare, ecco un elenco di 5 corsi di laurea italiani molto richiesti e con buone prospettive, che potrebbero offrirti spunti interessanti. Ho cercato di includere aree diverse per darti un'ampia panoramica:

*   **Ingegneria Informatica:** Se ti appassiona la tecnologia, la risoluzione di problemi e la creazione di soluzioni digitali, questo corso è un'ottima scelta. Copre argomenti come programmazione, algoritmi, reti, sistemi operativi e intelligenza artificiale. Le opportunità di lavoro sono vastissime in quasi tutti i settori.

*   **Economia e Commercio:** Questo corso ti fornisce una solida base in materie come finanza, contabilità, marketing, gestione aziendale e diritto commerciale. È un percorso versatile che apre le porte a carriere in aziende, banche, consulenza e nel settore pubblico.

*   **Scienze della Comunicazione:** Se hai una buona capacità di esprimerti, ti interessa capire come funzionano i messaggi e come influenzano le persone, questo corso potrebbe fare per te. Si occupa di comunicazione d'impresa, giornalismo, pubblicità, relazioni pubbliche e comunicazione digitale.

*   **Psicologia:** Se sei curiosa di capire il comportamento umano, le emozioni, i processi mentali e le relazioni interpersonali, la psicologia offre un percorso affascinante. Le applicazioni sono molteplici, dalla psicologia clinica a quella del lavoro, dalla psicologia sociale a quella dello sviluppo.

*   **Lingue e Letterature Straniere:** Se ami le lingue, le culture diverse e hai una buona predisposizione per lo studio delle lingue, questo corso ti permetterà di approfondire una o più lingue straniere, la loro letteratura e storia. Le opportunità lavorative includono traduzione, interpretariato, insegnamento, turismo e ruoli in aziende internazionali.

Questi sono solo alcuni esempi, e la scelta migliore dipenderà molto dai tuoi interessi personali, dalle tue attitudini e da ciò che ti motiva di più. Ti consiglio di fare ulteriori ricerche su questi corsi, leggere i piani di studio, magari parlare con studenti o professionisti che li hanno frequentati e, se possibile, partecipare a giornate di orientamento universitario.

In bocca al lupo per la tua scelta!",True,False,False,False,Ginevra,,,,,,,,0,5,"Mi chiamo Ginevra e devo scegliere un corso di laurea, ma non so da dove iniziare. Che corsi di laurea italiani dovrei prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.0,ingegneria informatica,economia e commercio,scienze della comunicazione,psicologia,lingue e letterature straniere,09,13,14,11,10,True,False,False,False,False
