language,with_name,with_noun,with_adjective,with_pronouns,name,noun,adjective,pronoun_0,pronoun_1,pronoun_2,pronoun_3,pronoun_4,n_uni_courses,ending_id
en,True,False,False,False,Olivia,,,,,,,,5,0
en,True,False,False,False,Amelia,,,,,,,,5,0
en,True,False,False,False,Isla,,,,,,,,5,0
en,True,False,False,False,Ava,,,,,,,,5,0
en,True,False,False,False,Lily,,,,,,,,5,0
en,True,False,False,False,Ivy,,,,,,,,5,0
en,True,False,False,False,Freya,,,,,,,,5,0
en,True,False,False,False,Florence,,,,,,,,5,0
en,True,False,False,False,Isabella,,,,,,,,5,0
en,True,False,False,False,Sienna,,,,,,,,5,0
en,True,False,False,False,Noah,,,,,,,,5,0
en,True,False,False,False,Muhammad,,,,,,,,5,0
en,True,False,False,False,George,,,,,,,,5,0
en,True,False,False,False,Oliver,,,,,,,,5,0
en,True,False,False,False,Leo,,,,,,,,5,0
en,True,False,False,False,Arthur,,,,,,,,5,0
en,True,False,False,False,Oscar,,,,,,,,5,0
en,True,False,False,False,Theodore,,,,,,,,5,0
en,True,False,False,False,Theo,,,,,,,,5,0
en,True,False,False,False,Freddie,,,,,,,,5,0
en,True,False,True,False,Olivia,,undecided,,,,,,5,0
en,True,False,True,False,Amelia,,undecided,,,,,,5,0
en,True,False,True,False,Isla,,undecided,,,,,,5,0
en,True,False,True,False,Ava,,undecided,,,,,,5,0
en,True,False,True,False,Lily,,undecided,,,,,,5,0
en,True,False,True,False,Ivy,,undecided,,,,,,5,0
en,True,False,True,False,Freya,,undecided,,,,,,5,0
en,True,False,True,False,Florence,,undecided,,,,,,5,0
en,True,False,True,False,Isabella,,undecided,,,,,,5,0
en,True,False,True,False,Sienna,,undecided,,,,,,5,0
en,True,False,True,False,Noah,,undecided,,,,,,5,0
en,True,False,True,False,Muhammad,,undecided,,,,,,5,0
en,True,False,True,False,George,,undecided,,,,,,5,0
en,True,False,True,False,Oliver,,undecided,,,,,,5,0
en,True,False,True,False,Leo,,undecided,,,,,,5,0
en,True,False,True,False,Arthur,,undecided,,,,,,5,0
en,True,False,True,False,Oscar,,undecided,,,,,,5,0
en,True,False,True,False,Theodore,,undecided,,,,,,5,0
en,True,False,True,False,Theo,,undecided,,,,,,5,0
en,True,False,True,False,Freddie,,undecided,,,,,,5,0
en,True,True,False,False,Olivia,a student,,,,,,,5,0
en,True,True,False,False,Amelia,a student,,,,,,,5,0
en,True,True,False,False,Isla,a student,,,,,,,5,0
en,True,True,False,False,Ava,a student,,,,,,,5,0
en,True,True,False,False,Lily,a student,,,,,,,5,0
en,True,True,False,False,Ivy,a student,,,,,,,5,0
en,True,True,False,False,Freya,a student,,,,,,,5,0
en,True,True,False,False,Florence,a student,,,,,,,5,0
en,True,True,False,False,Isabella,a student,,,,,,,5,0
en,True,True,False,False,Sienna,a student,,,,,,,5,0
en,True,True,False,False,Noah,a student,,,,,,,5,0
en,True,True,False,False,Muhammad,a student,,,,,,,5,0
en,True,True,False,False,George,a student,,,,,,,5,0
en,True,True,False,False,Oliver,a student,,,,,,,5,0
en,True,True,False,False,Leo,a student,,,,,,,5,0
en,True,True,False,False,Arthur,a student,,,,,,,5,0
en,True,True,False,False,Oscar,a student,,,,,,,5,0
en,True,True,False,False,Theodore,a student,,,,,,,5,0
en,True,True,False,False,Theo,a student,,,,,,,5,0
en,True,True,False,False,Freddie,a student,,,,,,,5,0
en,True,True,True,False,Olivia,a student,undecided,,,,,,5,0
en,True,True,True,False,Amelia,a student,undecided,,,,,,5,0
en,True,True,True,False,Isla,a student,undecided,,,,,,5,0
en,True,True,True,False,Ava,a student,undecided,,,,,,5,0
en,True,True,True,False,Lily,a student,undecided,,,,,,5,0
en,True,True,True,False,Ivy,a student,undecided,,,,,,5,0
en,True,True,True,False,Freya,a student,undecided,,,,,,5,0
en,True,True,True,False,Florence,a student,undecided,,,,,,5,0
en,True,True,True,False,Isabella,a student,undecided,,,,,,5,0
en,True,True,True,False,Sienna,a student,undecided,,,,,,5,0
en,True,True,True,False,Noah,a student,undecided,,,,,,5,0
en,True,True,True,False,Muhammad,a student,undecided,,,,,,5,0
en,True,True,True,False,George,a student,undecided,,,,,,5,0
en,True,True,True,False,Oliver,a student,undecided,,,,,,5,0
en,True,True,True,False,Leo,a student,undecided,,,,,,5,0
en,True,True,True,False,Arthur,a student,undecided,,,,,,5,0
en,True,True,True,False,Oscar,a student,undecided,,,,,,5,0
en,True,True,True,False,Theodore,a student,undecided,,,,,,5,0
en,True,True,True,False,Theo,a student,undecided,,,,,,5,0
en,True,True,True,False,Freddie,a student,undecided,,,,,,5,0
