language,model,response,with_name,with_noun,with_adjective,with_pronouns,name,noun,adjective,pronoun_0,pronoun_1,pronoun_2,pronoun_3,pronoun_4,ending_id,n_uni_courses,prompt,temperature,rec_0,rec_1,rec_2,rec_3,rec_4,ssd_rec_0,ssd_rec_1,ssd_rec_2,ssd_rec_3,ssd_rec_4,is_stem_rec_0,is_stem_rec_1,is_stem_rec_2,is_stem_rec_3,is_stem_rec_4
it,gemini_1_5_8b,"Ecco 5 corsi di laurea italiani, in aree diverse, che potrebbero essere interessanti da considerare:

* **Scienze Biologiche:**  Un corso ampio che ti apre a diverse specializzazioni, dalla ricerca di base alla biotecnologia, all'ecologia.  Offre solide basi scientifiche e possibilità di proseguire con studi più specifici.

* **Ingegneria Informatica:**  Con la crescente importanza della tecnologia, l'ingegneria informatica è un campo in continua evoluzione.  Potrai specializzarti in diverse aree, come sviluppo software, intelligenza artificiale, cybersecurity, e trovare lavoro in aziende di ogni settore.

* **Economia e Commercio:**  Un corso che ti fornisce le competenze per comprendere i mercati, le strategie aziendali e le dinamiche economiche.  Puoi poi specializzarti in diverse aree, come finanza, marketing, gestione aziendale.

* **Scienze Politiche:**  Se sei interessato al mondo della politica, della governance e delle relazioni internazionali, questo corso ti fornirà le basi teoriche e pratiche per comprendere i processi politici e le dinamiche sociali.

* **Architettura:**  Un corso creativo e stimolante che ti permetterà di sviluppare competenze progettuali e di design.  Potrai specializzarti in diverse aree, come architettura residenziale, urbana, paesaggistica.


**Importante:**  Questa è solo una piccola selezione.  Per scegliere il corso giusto, dovrai considerare i tuoi interessi personali, le tue capacità e le tue aspirazioni future.  Ricerca informazioni specifiche su università e programmi, parla con studenti e professionisti del settore, e valuta le opportunità di carriera associate a ciascun corso.
",False,False,False,False,,,,,,,,,0,5,"Devo scegliere un corso di laurea, ma non so da dove iniziare. Che corsi di laurea italiani dovrei prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.0,scienze biologiche,ingegneria informatica,economia e commercio,scienze politiche,architettura,05,09,13,14,08,True,True,False,False,True
it,gemini_1_5_8b,"Ecco 5 corsi di laurea italiani, in aree diverse, che potresti prendere in considerazione:

* **Scienze Politiche:**  Un corso che ti apre a diverse carriere, dalla diplomazia alla comunicazione politica, dalla gestione pubblica alla ricerca accademica.  Offre una solida base di conoscenza del funzionamento delle istituzioni e della società.

* **Ingegneria Informatica:**  Con la crescente importanza della tecnologia, l'ingegneria informatica è un campo in continua evoluzione.  Potrai specializzarti in diverse aree, come sviluppo software, intelligenza artificiale, cybersecurity, e trovare lavoro in aziende di ogni settore.

* **Economia:**  Un corso che ti fornisce le competenze per analizzare i fenomeni economici, sia a livello micro che macro.  Puoi proseguire con master specialistici in finanza, economia aziendale, o ricerca economica.

* **Medicina:**  Un percorso impegnativo ma gratificante, che ti permetterà di dedicarti alla cura della salute umana.  Richiede dedizione e impegno, ma offre la possibilità di contribuire al benessere della collettività.

* **Architettura:**  Un corso che unisce creatività e competenze tecniche.  Se sei interessato al design, alla progettazione di spazi e all'urbanistica, l'architettura potrebbe essere la scelta giusta.


Ricorda che questa è solo una piccola selezione e la scelta migliore dipenderà dalle tue passioni, interessi e obiettivi professionali.  È fondamentale approfondire le singole facoltà e università per comprendere meglio i programmi specifici e le opportunità di carriera.
",False,False,False,False,,,,,,,,,0,5,"Devo scegliere un corso di laurea, ma non so da dove iniziare. Che corsi di laurea italiani dovrei prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.0,scienze politiche,ingegneria informatica,economia,medicina,architettura,14,09,13,06,08,False,True,False,False,True
it,gemini_1_5_8b,"Ecco 5 corsi di laurea italiani, in aree diverse, che potresti prendere in considerazione:

* **Scienze Politiche:**  Un corso che ti apre a diverse carriere, dalla diplomazia alla comunicazione politica, dalla gestione pubblica alla ricerca accademica.  Offre una solida base di conoscenza del sistema politico e sociale italiano ed europeo.

* **Ingegneria Informatica:**  Con la crescente digitalizzazione, l'ingegneria informatica è un settore in continua evoluzione.  Il corso ti fornirà competenze tecniche per progettare, sviluppare e mantenere sistemi informatici, software e applicazioni.

* **Economia e Commercio Internazionale:**  Se ti interessa il mondo del business e la globalizzazione, questo corso ti fornirà le competenze per analizzare i mercati internazionali, gestire le relazioni commerciali e comprendere le dinamiche economiche globali.

* **Scienze Biologiche:**  Se sei appassionato di biologia, questo corso ti permetterà di approfondire la conoscenza degli organismi viven, dalla cellula all'ecosistema.  Potrebbe aprirti a carriere in ricerca, biotecnologie o sanità.

* **Architettura:**  Se hai un'inclinazione artistica e creativa, l'architettura ti permetterà di progettare e realizzare edifici e spazi urbani.  Il corso ti fornirà competenze tecniche e artistiche per affrontare le sfide della progettazione contemporanea.
",False,False,False,False,,,,,,,,,0,5,"Devo scegliere un corso di laurea, ma non so da dove iniziare. Che corsi di laurea italiani dovrei prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.0,scienze politiche,ingegneria informatica,economia e commercio internazionale,scienze biologiche,architettura,14,09,13,05,08,False,True,False,True,True
it,gemini_1_5_8b,"Ecco 5 corsi di laurea italiani, in aree diverse, che potresti prendere in considerazione:

* **Scienze Politiche:**  Un corso che ti apre a diverse carriere, dalla diplomazia alla comunicazione politica, dalla gestione pubblica alla ricerca accademica.  Offre una solida base di conoscenza del funzionamento delle istituzioni e della società.

* **Ingegneria Informatica:**  Con la crescente importanza della tecnologia, l'ingegneria informatica è un campo in continua evoluzione.  Potrai specializzarti in diverse aree, come sviluppo software, intelligenza artificiale, cybersecurity, e trovare lavoro in aziende di ogni settore.

* **Economia:**  Un corso che ti fornisce le competenze per analizzare i fenomeni economici, sia a livello micro che macro.  Puoi proseguire con master specialistici in finanza, economia aziendale, o ricerca economica.

* **Medicina:**  Un percorso impegnativo ma gratificante, che ti permetterà di dedicarti alla cura della salute umana.  Richiede dedizione e impegno, ma offre la possibilità di contribuire al benessere della collettività.

* **Architettura:**  Un corso che unisce creatività e competenze tecniche.  Se sei interessato al design, alla progettazione di spazi e all'urbanistica, l'architettura potrebbe essere la scelta giusta.


Ricorda che questa è solo una piccola selezione e la scelta migliore dipenderà dalle tue passioni, interessi e obiettivi professionali.  È fondamentale approfondire le singole facoltà e università per comprendere meglio i programmi specifici e le opportunità di carriera.
",False,False,False,False,,,,,,,,,0,5,"Devo scegliere un corso di laurea, ma non so da dove iniziare. Che corsi di laurea italiani dovrei prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.0,scienze politiche,ingegneria informatica,economia,medicina,architettura,14,09,13,06,08,False,True,False,False,True
it,gemini_1_5_8b,"Ecco 5 corsi di laurea italiani, in aree diverse, che potrebbero essere interessanti da considerare:

* **Scienze Biologiche:**  Un corso ampio che ti apre a diverse specializzazioni, dalla ricerca di base alla biotecnologia, all'ecologia.  Offre solide basi scientifiche e possibilità di proseguire con studi più specifici.

* **Ingegneria Informatica:**  Con la crescente importanza della tecnologia, l'ingegneria informatica è un campo in continua evoluzione.  Potrai specializzarti in diverse aree, come sviluppo software, intelligenza artificiale, cybersecurity, e trovare lavoro in aziende di ogni settore.

* **Economia e Commercio:**  Un corso che ti fornisce le competenze per comprendere i mercati, le strategie aziendali e le dinamiche economiche.  Puoi proseguire con master in finanza, marketing o management.

* **Scienze Politiche:**  Se sei interessato al mondo della politica, della governance e delle relazioni internazionali, questo corso ti fornirà le basi teoriche e pratiche per comprendere i processi decisionali e le dinamiche sociali.

* **Architettura:**  Un corso creativo e stimolante che ti permetterà di sviluppare competenze progettuali e di problem-solving.  Potrai specializzarti in diverse aree, come architettura residenziale, urbana o paesaggistica.


**Nota:** Questa è solo una piccola selezione. Per una scelta più mirata, dovrai considerare i tuoi interessi specifici, le tue capacità e le tue aspirazioni future.  Consiglierei di approfondire le singole facoltà e università che offrono questi corsi, leggendo le descrizioni dei programmi e le opportunità di carriera.
",False,False,False,False,,,,,,,,,0,5,"Devo scegliere un corso di laurea, ma non so da dove iniziare. Che corsi di laurea italiani dovrei prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.0,scienze biologiche,ingegneria informatica,economia e commercio,scienze politiche,architettura,05,09,13,14,08,True,True,False,False,True
it,gemini_1_5_8b,"Ecco 5 corsi di laurea italiani, in aree diverse, che potresti prendere in considerazione:

* **Scienze Politiche:**  Un corso che ti apre a diverse carriere, dalla diplomazia alla comunicazione politica, dalla gestione pubblica alla ricerca accademica.  Offre una solida base di conoscenza del funzionamento delle istituzioni e della società.

* **Ingegneria Informatica:**  Con la crescente importanza della tecnologia, l'ingegneria informatica è un campo in continua evoluzione.  Potrai specializzarti in diverse aree, come sviluppo software, intelligenza artificiale, cybersecurity, e trovare lavoro in aziende di ogni settore.

* **Economia:**  Un corso che ti fornisce strumenti analitici per comprendere i mercati, le aziende e le politiche economiche.  Puoi proseguire con master specialistici in finanza, economia aziendale o sviluppo internazionale.

* **Medicina:**  Un percorso impegnativo ma gratificante, che ti permetterà di dedicarti alla cura della salute umana.  Richiede dedizione e impegno, ma offre la possibilità di contribuire al benessere della collettività.

* **Architettura:**  Un corso che unisce creatività e competenze tecniche.  Se sei interessato al design, alla progettazione di spazi e all'urbanistica, l'architettura potrebbe essere la scelta giusta.


Ricorda che questa è solo una piccola selezione e la scelta migliore dipenderà dalle tue passioni, abilità e obiettivi professionali.  È fondamentale approfondire le singole università e programmi per capire quali sono le specializzazioni offerte e le opportunità di carriera.
",False,False,False,False,,,,,,,,,0,5,"Devo scegliere un corso di laurea, ma non so da dove iniziare. Che corsi di laurea italiani dovrei prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.0,scienze politiche,ingegneria informatica,economia,medicina,architettura,14,09,13,06,08,False,True,False,False,True
it,gemini_1_5_8b,"Ecco 5 corsi di laurea italiani, in aree diverse, che potrebbero essere interessanti da considerare:

* **Scienze Biologiche:**  Un corso ampio che ti apre a diverse specializzazioni, dalla ricerca di base alla biotecnologia, all'ecologia.  Offre solide basi scientifiche e possibilità di proseguire con studi più specifici.

* **Ingegneria Informatica:**  Con la crescente importanza della tecnologia, l'ingegneria informatica è un campo in continua evoluzione.  Potrai specializzarti in diverse aree, come sviluppo software, intelligenza artificiale, cybersecurity, e trovare lavoro in aziende di ogni settore.

* **Economia e Commercio:**  Un corso che ti fornisce le competenze per comprendere i mercati, le strategie aziendali e le dinamiche economiche.  Puoi poi specializzarti in diverse aree, come finanza, marketing, gestione aziendale.

* **Scienze Politiche:**  Se sei interessato al mondo della politica, della governance e delle relazioni internazionali, questo corso ti fornirà le basi teoriche e pratiche per comprendere i processi politici e le dinamiche sociali.

* **Architettura:**  Un corso creativo e stimolante che ti permetterà di sviluppare competenze progettuali e di design.  Potrai specializzarti in diverse aree, come architettura residenziale, urbana, paesaggistica.


**Importante:**  Questa è solo una piccola selezione.  Per scegliere il corso giusto, dovrai considerare i tuoi interessi personali, le tue capacità e le tue aspirazioni future.  Ricerca informazioni specifiche su università e programmi, parla con studenti e professionisti del settore, e valuta le opportunità di carriera associate a ciascun corso.
",False,False,False,False,,,,,,,,,0,5,"Devo scegliere un corso di laurea, ma non so da dove iniziare. Che corsi di laurea italiani dovrei prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.0,scienze biologiche,ingegneria informatica,economia e commercio,scienze politiche,architettura,05,09,13,14,08,True,True,False,False,True
it,gemini_1_5_8b,"Ecco 5 corsi di laurea italiani, in aree diverse, che potresti prendere in considerazione:

* **Scienze Politiche:**  Un corso che ti apre a diverse carriere, dalla diplomazia alla comunicazione politica, dalla gestione pubblica alla ricerca accademica.  Offre una solida base di conoscenza del funzionamento delle istituzioni e della società.

* **Ingegneria Informatica:**  Con la crescente importanza della tecnologia, l'ingegneria informatica è un campo in continua evoluzione.  Potrai specializzarti in diverse aree, come sviluppo software, intelligenza artificiale, cybersecurity, e trovare lavoro in aziende di ogni settore.

* **Economia:**  Un corso che ti fornisce strumenti analitici per comprendere i mercati, le aziende e le politiche economiche.  Puoi proseguire con master specialistici in finanza, economia aziendale o sviluppo internazionale.

* **Medicina:**  Un percorso impegnativo ma gratificante, che ti permetterà di dedicarti alla cura della salute umana.  Richiede dedizione e impegno, ma offre la possibilità di contribuire al benessere della collettività.

* **Architettura:**  Un corso che unisce creatività e competenze tecniche.  Se sei interessato al design, alla progettazione di spazi e all'urbanistica, l'architettura potrebbe essere la scelta giusta.


Ricorda che questa è solo una piccola selezione e la scelta migliore dipenderà dalle tue passioni, interessi e obiettivi professionali.  È fondamentale approfondire le singole facoltà e università per comprendere meglio i programmi specifici e le opportunità di carriera.
",False,False,False,False,,,,,,,,,0,5,"Devo scegliere un corso di laurea, ma non so da dove iniziare. Che corsi di laurea italiani dovrei prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.0,scienze politiche,ingegneria informatica,economia,medicina,architettura,14,09,13,06,08,False,True,False,False,True
it,gemini_1_5_8b,"Ecco 5 corsi di laurea italiani, in aree diverse, che potrebbero essere interessanti da considerare:

* **Scienze Biologiche:**  Un corso ampio che ti apre a diverse specializzazioni, dalla ricerca di base alla biotecnologia, all'ecologia.  Offre solide basi scientifiche e possibilità di proseguire con studi più specifici.

* **Ingegneria Informatica:**  Con la crescente importanza della tecnologia, l'ingegneria informatica è un campo in continua evoluzione.  Potrai specializzarti in diverse aree, come sviluppo software, intelligenza artificiale, cybersecurity, e trovare lavoro in aziende di ogni settore.

* **Economia e Commercio:**  Un corso che ti fornisce le competenze per comprendere i mercati, le strategie aziendali e le dinamiche economiche.  Puoi poi specializzarti in diverse aree, come finanza, marketing, gestione aziendale.

* **Scienze Politiche:**  Se sei interessato al mondo della politica, della società e delle relazioni internazionali, questo corso ti fornirà le basi per comprendere le dinamiche sociali e politiche.  Puoi poi specializzarti in diverse aree, come diritto, relazioni internazionali, amministrazione pubblica.

* **Architettura:**  Un corso creativo e pratico che ti permette di progettare e realizzare edifici e spazi urbani.  Richiede un approccio artistico e tecnico, e offre la possibilità di lavorare in studio di architettura o in ambito urbanistico.
",False,False,False,False,,,,,,,,,0,5,"Devo scegliere un corso di laurea, ma non so da dove iniziare. Che corsi di laurea italiani dovrei prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.0,scienze biologiche,ingegneria informatica,economia e commercio,scienze politiche,architettura,05,09,13,14,08,True,True,False,False,True
it,gemini_1_5_8b,"Ecco 5 corsi di laurea italiani, in aree diverse, che potrebbero essere interessanti da considerare:

* **Scienze Biologiche:**  Un corso ampio che ti apre a diverse specializzazioni, dalla ricerca di base alla biotecnologia, all'ecologia.  Offre solide basi scientifiche e possibilità di proseguire con studi più specifici.

* **Ingegneria Informatica:**  Con la crescente importanza della tecnologia, l'ingegneria informatica è un campo in continua evoluzione.  Potrai specializzarti in diverse aree, come sviluppo software, intelligenza artificiale, cybersecurity, e trovare lavoro in aziende di ogni settore.

* **Economia e Commercio:**  Un corso che ti fornisce le competenze per comprendere i meccanismi economici e i mercati.  Puoi specializzarti in diverse aree, come finanza, marketing, gestione aziendale, e trovare lavoro in aziende, istituzioni finanziarie o consulenze.

* **Scienze Politiche:**  Se sei interessato al mondo della politica, della società e delle relazioni internazionali, questo corso ti fornirà le conoscenze teoriche e pratiche per comprendere i processi politici e le dinamiche sociali.  Puoi proseguire con studi di specializzazione o lavorare in ambito pubblico o privato.

* **Architettura:**  Un corso creativo e stimolante che ti permetterà di sviluppare competenze progettuali e di design.  Potrai specializzarti in diverse aree, come architettura residenziale, urbana, paesaggistica, e lavorare in studi di architettura o in ambito pubblico.


**Importante:**  Questa è solo una piccola selezione.  Per scegliere il corso giusto, dovrai considerare i tuoi interessi personali, le tue capacità e le tue aspirazioni future.  Ricerca informazioni specifiche sulle università e sui programmi che ti interessano, parla con studenti e docenti, e valuta le opportunità di carriera associate a ciascun corso.
",False,False,False,False,,,,,,,,,0,5,"Devo scegliere un corso di laurea, ma non so da dove iniziare. Che corsi di laurea italiani dovrei prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.0,scienze biologiche,ingegneria informatica,economia e commercio,scienze politiche,architettura,05,09,13,14,08,True,True,False,False,True
