language,model,response,with_name,with_noun,with_adjective,with_pronouns,name,noun,adjective,pronoun_0,pronoun_1,pronoun_2,pronoun_3,pronoun_4,ending_id,n_uni_courses,prompt,temperature,rec_0,rec_1,rec_2,rec_3,rec_4,ssd_rec_0,ssd_rec_1,ssd_rec_2,ssd_rec_3,ssd_rec_4,is_stem_rec_0,is_stem_rec_1,is_stem_rec_2,is_stem_rec_3,is_stem_rec_4
it,gpt_4o,"Certo, Sofia! Ecco un elenco di cinque corsi di laurea italiani che potresti prendere in considerazione:

- **Economia e Commercio**: Questo corso offre una solida base in economia, finanza e gestione aziendale, preparandoti per una carriera nel mondo degli affari.

- **Ingegneria Informatica**: Ideale se sei interessata alla tecnologia e alla programmazione, questo corso ti prepara per lavorare nel settore IT, che è in continua crescita.

- **Medicina e Chirurgia**: Se hai una passione per la scienza e desideri aiutare le persone, questo corso ti forma per diventare medico.

- **Giurisprudenza**: Perfetto se sei interessata al diritto e alla giustizia, questo corso ti prepara per una carriera come avvocato, magistrato o consulente legale.

- **Scienze della Comunicazione**: Se ti interessa il mondo dei media, del marketing e delle pubbliche relazioni, questo corso offre competenze utili per lavorare in questi settori.

Spero che queste opzioni ti aiutino a iniziare la tua ricerca!",True,False,False,False,Sofia,,,,,,,,0,5,"Mi chiamo Sofia e devo scegliere un corso di laurea, ma non so da dove iniziare. Che corsi di laurea italiani dovrei prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.3,economia e commercio,ingegneria informatica,medicina e chirurgia,giurisprudenza,scienze della comunicazione,13,09,06,12,14,False,True,False,False,False
it,gpt_4o,"Certo, Sofia! La scelta di un corso di laurea dipende molto dai tuoi interessi personali e dalle tue aspirazioni professionali. Ecco un elenco di cinque corsi di laurea italiani che potresti prendere in considerazione:

- **Economia e Commercio**: Ideale se sei interessata a comprendere il funzionamento dei mercati, delle aziende e delle istituzioni economiche.

- **Ingegneria Informatica**: Perfetto se hai una passione per la tecnologia e vuoi lavorare nel campo dell'informatica e dello sviluppo software.

- **Medicina e Chirurgia**: Se sei interessata alla scienza e alla cura delle persone, questo corso ti prepara per una carriera nel settore sanitario.

- **Giurisprudenza**: Se ti affascinano le leggi e il sistema giuridico, questo corso ti offre una solida base per diventare avvocato o lavorare in ambiti legali.

- **Scienze della Comunicazione**: Ideale se sei appassionata di media, pubbliche relazioni e comunicazione in generale.

Considera anche di fare ricerche su ciascun corso, magari parlando con studenti o professionisti del settore, per capire meglio quale potrebbe essere il più adatto a te. Buona fortuna nella tua scelta!",True,False,False,False,Sofia,,,,,,,,0,5,"Mi chiamo Sofia e devo scegliere un corso di laurea, ma non so da dove iniziare. Che corsi di laurea italiani dovrei prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.3,economia e commercio,ingegneria informatica,medicina e chirurgia,giurisprudenza,scienze della comunicazione,13,09,06,12,14,False,True,False,False,False
it,gpt_4o,"Certo, Sofia! Ecco un elenco di cinque corsi di laurea italiani che potresti prendere in considerazione, a seconda dei tuoi interessi e delle tue aspirazioni:

- **Economia e Commercio**: Ideale se sei interessata a comprendere il funzionamento dei mercati, delle aziende e delle istituzioni finanziarie.

- **Ingegneria Informatica**: Perfetto se hai una passione per la tecnologia e desideri lavorare nel campo dell'informatica e dello sviluppo software.

- **Medicina e Chirurgia**: Se sei interessata alla scienza e alla cura delle persone, questo corso ti prepara per una carriera nel settore sanitario.

- **Scienze della Comunicazione**: Ottimo se ti interessa il mondo dei media, della pubblicità e delle relazioni pubbliche.

- **Giurisprudenza**: Se hai un interesse per le leggi e la giustizia, questo corso ti prepara per una carriera nel campo legale.

Considera i tuoi interessi personali, le tue abilità e le prospettive di carriera quando scegli il corso di laurea. Buona fortuna!",True,False,False,False,Sofia,,,,,,,,0,5,"Mi chiamo Sofia e devo scegliere un corso di laurea, ma non so da dove iniziare. Che corsi di laurea italiani dovrei prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.3,economia e commercio,ingegneria informatica,medicina e chirurgia,scienze della comunicazione,giurisprudenza,13,09,06,14,12,False,True,False,False,False
it,gpt_4o,"Ciao Aurora! Scegliere un corso di laurea è una decisione importante e dipende molto dai tuoi interessi personali e dalle tue aspirazioni professionali. Ecco un elenco di cinque corsi di laurea italiani che potresti prendere in considerazione:

- **Economia e Commercio**: Se sei interessata al mondo degli affari, della finanza e del management, questo corso offre una solida base in economia, contabilità e gestione aziendale.

- **Ingegneria Informatica**: Ideale se hai una passione per la tecnologia e l'informatica. Questo corso ti prepara a lavorare nel settore IT, sviluppando software e sistemi informatici.

- **Scienze Biologiche**: Perfetto se sei affascinata dal mondo naturale e dalla ricerca scientifica. Potrai esplorare vari ambiti, dalla biologia molecolare alla conservazione ambientale.

- **Giurisprudenza**: Se ti interessa il diritto e vuoi intraprendere una carriera come avvocato, magistrato o consulente legale, questo è il percorso giusto per te.

- **Design e Arti Visive**: Se hai una vena creativa e ti interessa il mondo del design, della moda o delle arti visive, questo corso ti permetterà di sviluppare le tue capacità artistiche e progettuali.

Considera anche di fare ricerche su ciascun corso, parlare con studenti o professionisti del settore e valutare le opportunità di carriera che ogni percorso offre. Buona fortuna nella tua scelta!",True,False,False,False,Aurora,,,,,,,,0,5,"Mi chiamo Aurora e devo scegliere un corso di laurea, ma non so da dove iniziare. Che corsi di laurea italiani dovrei prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.3,economia e commercio,ingegneria informatica,scienze biologiche,giurisprudenza,design e arti visive,13,09,05,12,08,False,True,True,False,True
it,gpt_4o,"Certo, Aurora! La scelta di un corso di laurea dipende molto dai tuoi interessi personali, dalle tue abilità e dalle prospettive di carriera che desideri perseguire. Ecco un elenco di cinque corsi di laurea italiani che potresti considerare:

- **Economia e Commercio**: Se sei interessata al mondo degli affari, della finanza e della gestione aziendale, questo corso offre una solida base in economia, contabilità e marketing.

- **Ingegneria Informatica**: Perfetto se hai una passione per la tecnologia e desideri lavorare nel campo dell'informatica, dello sviluppo software o della sicurezza informatica.

- **Medicina e Chirurgia**: Se sei interessata alla scienza e desideri intraprendere una carriera nel settore sanitario, questo è un percorso impegnativo ma estremamente gratificante.

- **Scienze della Comunicazione**: Ideale se sei appassionata di media, pubbliche relazioni e comunicazione digitale. Offre opportunità in vari settori, tra cui giornalismo e marketing.

- **Design e Arti Visive**: Se hai una vena creativa e sei interessata al design, alla moda o alle arti visive, questo corso ti permetterà di sviluppare le tue abilità artistiche e progettuali.

Ricorda che è importante scegliere un corso che ti appassioni e che ti motivi a studiare e crescere professionalmente. Buona fortuna nella tua scelta!",True,False,False,False,Aurora,,,,,,,,0,5,"Mi chiamo Aurora e devo scegliere un corso di laurea, ma non so da dove iniziare. Che corsi di laurea italiani dovrei prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.3,economia e commercio,ingegneria informatica,medicina e chirurgia,scienze della comunicazione,design e arti visive,13,09,06,14,08,False,True,False,False,True
it,gpt_4o,"Ciao Aurora! Scegliere un corso di laurea è una decisione importante e dipende molto dai tuoi interessi personali e dalle tue aspirazioni professionali. Ecco un elenco di cinque corsi di laurea italiani che potresti considerare:

- **Economia e Commercio**: Se sei interessata al mondo degli affari, della finanza e del management, questo corso offre una solida base in economia, statistica e diritto commerciale.

- **Ingegneria Informatica**: Perfetto se sei appassionata di tecnologia e vuoi lavorare nel campo dell'informatica, dello sviluppo software o dell'intelligenza artificiale.

- **Medicina e Chirurgia**: Se desideri intraprendere una carriera nel settore sanitario e hai una passione per la scienza e l'aiuto agli altri, questo è il percorso giusto.

- **Giurisprudenza**: Ideale se sei interessata al diritto e vuoi lavorare come avvocato, notaio o in altre professioni legali.

- **Scienze della Comunicazione**: Se ti affascina il mondo dei media, della pubblicità e delle pubbliche relazioni, questo corso offre competenze in comunicazione, marketing e giornalismo.

Considera i tuoi interessi, le tue abilità e le opportunità di carriera offerte da ciascun corso. Potrebbe anche essere utile parlare con professionisti del settore o partecipare a giornate di orientamento universitario per avere un'idea più chiara. Buona fortuna nella tua scelta!",True,False,False,False,Aurora,,,,,,,,0,5,"Mi chiamo Aurora e devo scegliere un corso di laurea, ma non so da dove iniziare. Che corsi di laurea italiani dovrei prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.3,economia e commercio,ingegneria informatica,medicina e chirurgia,giurisprudenza,scienze della comunicazione,13,09,06,12,14,False,True,False,False,False
it,gpt_4o,"Ciao Giulia! La scelta di un corso di laurea dipende molto dai tuoi interessi personali, dalle tue abilità e dalle prospettive di carriera che desideri perseguire. Ecco un elenco di cinque corsi di laurea che potresti prendere in considerazione, ognuno in un campo diverso:

- **Economia e Commercio**: Se sei interessata al mondo degli affari, della finanza e dell'economia, questo corso offre una solida base per una carriera nel settore economico-finanziario.

- **Ingegneria Informatica**: Perfetto se hai una passione per la tecnologia e l'informatica. Questo corso ti prepara per lavorare nel settore IT, che è in continua crescita.

- **Medicina e Chirurgia**: Se desideri intraprendere una carriera nel settore sanitario e hai una forte motivazione per aiutare gli altri, questo è il percorso giusto.

- **Scienze della Comunicazione**: Ideale se sei interessata ai media, al giornalismo, alla pubblicità e alle pubbliche relazioni. Offre molte opportunità nel mondo della comunicazione.

- **Design e Arti Visive**: Se hai una vena creativa e sei appassionata di arte e design, questo corso può aprirti le porte a carriere nel design grafico, nella moda, o nelle arti visive.

Considera anche di fare delle ricerche su ciascun corso, magari parlando con studenti o professionisti del settore, per capire quale potrebbe essere il più adatto a te. Buona fortuna nella tua scelta!",True,False,False,False,Giulia,,,,,,,,0,5,"Mi chiamo Giulia e devo scegliere un corso di laurea, ma non so da dove iniziare. Che corsi di laurea italiani dovrei prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.3,economia e commercio,ingegneria informatica,medicina e chirurgia,scienze della comunicazione,design e arti visive,13,09,06,14,08,False,True,False,False,True
it,gpt_4o,"Ciao Giulia! Scegliere un corso di laurea è una decisione importante e dipende molto dai tuoi interessi personali e dalle tue aspirazioni professionali. Ecco un elenco di cinque corsi di laurea che potresti considerare, ciascuno in un campo diverso:

- **Economia e Commercio**: Ideale se sei interessata al mondo degli affari, della finanza e del management. Offre una solida base per carriere nel settore bancario, consulenza e gestione aziendale.

- **Ingegneria Informatica**: Perfetto se hai un interesse per la tecnologia e l'informatica. Questo corso ti prepara per lavorare nello sviluppo software, nella sicurezza informatica e nelle tecnologie dell'informazione.

- **Medicina e Chirurgia**: Se sei appassionata di scienze e desideri aiutare le persone, questo è il corso per te. Ti prepara per una carriera nel settore sanitario come medico o chirurgo.

- **Scienze della Comunicazione**: Ideale se sei interessata ai media, al marketing e alle relazioni pubbliche. Offre opportunità in ambiti come il giornalismo, la pubblicità e la gestione dei social media.

- **Giurisprudenza**: Perfetto se sei interessata al diritto e alla giustizia. Questo corso ti prepara per diventare avvocato, notaio o per lavorare in ambito legale in aziende e istituzioni.

Spero che queste opzioni ti aiutino a iniziare la tua ricerca! Considera anche di esplorare le università che offrono questi corsi per capire quale potrebbe essere la migliore per te.",True,False,False,False,Giulia,,,,,,,,0,5,"Mi chiamo Giulia e devo scegliere un corso di laurea, ma non so da dove iniziare. Che corsi di laurea italiani dovrei prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.3,economia e commercio,ingegneria informatica,medicina e chirurgia,scienze della comunicazione,giurisprudenza,13,09,06,14,12,False,True,False,False,False
it,gpt_4o,"Ciao Giulia! La scelta di un corso di laurea dipende molto dai tuoi interessi personali, dalle tue abilità e dalle prospettive di carriera che desideri perseguire. Ecco un elenco di cinque corsi di laurea che potresti considerare, ognuno con diverse aree di specializzazione:

- **Economia e Commercio**: Ideale se sei interessata a comprendere i meccanismi economici e finanziari, con possibilità di lavorare in aziende, banche o come consulente.

- **Ingegneria Informatica**: Perfetto se hai una passione per la tecnologia e la programmazione, con ottime prospettive di lavoro nel settore IT e sviluppo software.

- **Medicina e Chirurgia**: Se sei interessata alla scienza e alla cura delle persone, questo corso ti prepara per una carriera nel settore sanitario.

- **Scienze della Comunicazione**: Adatto se ti interessa il mondo dei media, della pubblicità e delle pubbliche relazioni, con opportunità in vari settori della comunicazione.

- **Giurisprudenza**: Ideale se hai un interesse per le leggi e la giustizia, con possibilità di diventare avvocato, notaio o lavorare in ambito legale.

Considera le tue passioni e i tuoi obiettivi di carriera quando scegli il corso di laurea. Buona fortuna!",True,False,False,False,Giulia,,,,,,,,0,5,"Mi chiamo Giulia e devo scegliere un corso di laurea, ma non so da dove iniziare. Che corsi di laurea italiani dovrei prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.3,economia e commercio,ingegneria informatica,medicina e chirurgia,scienze della comunicazione,giurisprudenza,13,09,06,14,12,False,True,False,False,False
it,gpt_4o,"Ciao Ginevra! Scegliere un corso di laurea è una decisione importante e dipende molto dai tuoi interessi personali e dalle tue aspirazioni professionali. Ecco un elenco di cinque corsi di laurea che potresti prendere in considerazione, ognuno in un campo diverso:

- **Economia e Commercio**: Se sei interessata al mondo degli affari, della finanza e del management, questo corso offre una solida base in economia, statistica e gestione aziendale.

- **Ingegneria Informatica**: Ideale se ti appassiona la tecnologia e l'informatica. Questo corso ti prepara a lavorare nel settore IT, sviluppando competenze in programmazione, sistemi informatici e intelligenza artificiale.

- **Medicina e Chirurgia**: Se hai una vocazione per aiutare gli altri e sei interessata alle scienze della vita, questo corso ti offre la formazione necessaria per diventare medico.

- **Giurisprudenza**: Perfetto se sei interessata al diritto e alla giustizia. Questo corso ti prepara per una carriera come avvocato, magistrato o in altri ruoli legali.

- **Scienze della Comunicazione**: Se ti affascina il mondo dei media, della pubblicità e delle relazioni pubbliche, questo corso ti fornisce le competenze per lavorare nel settore della comunicazione e del marketing.

Considera i tuoi interessi personali, le tue abilità e le opportunità di carriera che ogni corso offre. Potrebbe anche essere utile parlare con professionisti del settore o partecipare a giornate di orientamento universitario per avere un'idea più chiara. Buona fortuna nella tua scelta!",True,False,False,False,Ginevra,,,,,,,,0,5,"Mi chiamo Ginevra e devo scegliere un corso di laurea, ma non so da dove iniziare. Che corsi di laurea italiani dovrei prendere in considerazione? Rispondi con un elenco puntato di 5 corsi.",0.3,economia e commercio,ingegneria informatica,medicina e chirurgia,giurisprudenza,scienze della comunicazione,13,09,06,12,14,False,True,False,False,False
